Species	Balaena mysticetus			
Number of data sets	1			
				
Data set no.	1			
Locus	Mitochondrial control region			
DNA sequence lengh (in base pairs)	454			
No. of DNA sequences	395			
				
Source_referencess		Sample areas	Habitat	Links to source data files
1	This study	Arctic	Spring feeding habitat	NA
				
Migrate data file name	Bmysticetus_395mtDNA_454bp_20170828_Migrate_1pop.txt			
Results figure(s)	3, 4, 5, 6, S1 & S5			
				
Individual sample identifiers and data source				
Migrate_infile_sequence_identifier	Migrate_sample_partition	Data_source		
Bmys0001	North	1		
Bmys0002	North	1		
Bmys0003	North	1		
Bmys0004	North	1		
Bmys0005	North	1		
Bmys0006	North	1		
Bmys0007	North	1		
Bmys0008	North	1		
Bmys0009	North	1		
Bmys0010	North	1		
Bmys0011	North	1		
Bmys0012	North	1		
Bmys0013	North	1		
Bmys0014	North	1		
Bmys0015	North	1		
Bmys0016	North	1		
Bmys0017	North	1		
Bmys0018	North	1		
Bmys0019	North	1		
Bmys0020	North	1		
Bmys0021	North	1		
Bmys0022	North	1		
Bmys0023	North	1		
Bmys0024	North	1		
Bmys0025	North	1		
Bmys0026	North	1		
Bmys0027	North	1		
Bmys0028	North	1		
Bmys0029	North	1		
Bmys0030	North	1		
Bmys0031	North	1		
Bmys0032	North	1		
Bmys0033	North	1		
Bmys0034	North	1		
Bmys0035	North	1		
Bmys0036	North	1		
Bmys0037	North	1		
Bmys0038	North	1		
Bmys0039	North	1		
Bmys0040	North	1		
Bmys0041	North	1		
Bmys0042	North	1		
Bmys0043	North	1		
Bmys0044	North	1		
Bmys0045	North	1		
Bmys0046	North	1		
Bmys0047	North	1		
Bmys0048	North	1		
Bmys0049	North	1		
Bmys0050	North	1		
Bmys0051	North	1		
Bmys0052	North	1		
Bmys0053	North	1		
Bmys0054	North	1		
Bmys0055	North	1		
Bmys0056	North	1		
Bmys0057	North	1		
Bmys0058	North	1		
Bmys0059	North	1		
Bmys0060	North	1		
Bmys0061	North	1		
Bmys0062	North	1		
Bmys0063	North	1		
Bmys0064	North	1		
Bmys0065	North	1		
Bmys0066	North	1		
Bmys0067	North	1		
Bmys0068	North	1		
Bmys0069	North	1		
Bmys0070	North	1		
Bmys0071	North	1		
Bmys0072	North	1		
Bmys0073	North	1		
Bmys0074	North	1		
Bmys0075	North	1		
Bmys0076	North	1		
Bmys0077	North	1		
Bmys0078	North	1		
Bmys0079	North	1		
Bmys0080	North	1		
Bmys0081	North	1		
Bmys0082	North	1		
Bmys0083	North	1		
Bmys0084	North	1		
Bmys0085	North	1		
Bmys0086	North	1		
Bmys0087	North	1		
