Species	Balaenoptera acutorostrata			
Number of data sets	1			
				
Data set no.	1			
Locus	Mitochondrial control region			
DNA sequence lengh (in base pairs)	322			
No. of DNA sequences	952			
				
Source_referencess		Sample areas	Habitat	Links to source data files
1	Pastene, L. A., Goto, M., Kanda, N., Zerbini, A. N., Kerem, D., Watanabe, K., … Palsbøll, P. J. (2007). Radiation and speciation of pelagic organisms during periods of global warming: The case of the common minke whale, Balaenoptera acutorostrata. Molecular Ecology, 16(7), 1481–1495. doi: 10.1111/j.1365-294X.2007.03244.x	Brazil	Winter breeding area	GenBank
2	This study	Eastern Canadian seaborder, West Greenland, Iceland, Barents Sea, Central and eeastern North	Summer feeding areas 	
				
Migrate data file name	Bacutorostrata_954mtDNA_322bp_20170827_Migrate_2pop.txt			
Results figure(s)	3, 4, 5, 6, 7, S1,  S3, S5 & S6			
				
Individual sample identifiers and data source				
Migrate_infile_sequence_identifier	Migrate_sample_partition	Data_source	GenBank_Accession_number	Source_DNA_sequence_identifier
Bacu0162	South	1	EF113859.1	
Bacu0163	South	1	EF113859.1	
Bacu0164	South	1	EF113859.1	
Bacu0165	South	1	EF113859.1	
Bacu0166	South	1	EF113860.1	
Bacu0167	South	1	EF113861.1	
Bacu0168	South	1	EF113861.1	
Bacu0169	South	1	EF113861.1	
Bacu0170	South	1	EF113862.1	
Bacu0171	South	1	EF113862.1	
Bacu0172	South	1	EF113863.1	
Bacu0173	South	1	EF113863.1	
Bacu0174	South	1	EF113864.1	
Bacu0175	South	1	EF113864.1	
Bacu0176	South	1	EF113865.1	
Bacu0177	South	1	EF113865.1	
Bacu0178	South	1	EF113865.1	
Bacu0179	South	1	EF113866.1	
Bacu0180	South	1	EF113867.1	
Bacu0181	South	1	EF113868.1	
Bacu0182	South	1	EF113868.1	
Bacu0183	South	1	EF113868.1	
Bacu0184	South	1	EF113869.1	
Bacu1052	North	2		
Bacu1053	North	2		
Bacu1054	North	2		
Bacu1055	North	2		
Bacu1056	North	2		
Bacu1057	North	2		
Bacu1058	North	2		
Bacu1059	North	2		
Bacu1060	North	2		
Bacu1061	North	2		
Bacu1062	North	2		
Bacu1063	North	2		
Bacu1064	North	2		
Bacu1065	North	2		
Bacu1066	North	2		
Bacu1067	North	2		
Bacu1068	North	2		
Bacu1069	North	2		
Bacu1070	North	2		
Bacu1071	North	2		
Bacu1072	North	2		
Bacu1073	North	2		
Bacu1074	North	2		
Bacu1075	North	2		
Bacu1076	North	2		
Bacu1077	North	2		
Bacu1078	North	2		
Bacu1079	North	2		
Bacu1080	North	2		
