Species	Balaenoptera bonaerensis			
Number of data sets	1			
				
Data set no.	1			
Locus	Mitochondrial control region			
DNA sequence lengh (in base pairs)	180			
No. of DNA sequences	337			
				
Source_referencess		Sample areas	Habitat	Links to source data files
1	Pastene, L. A., Goto, M., Kanda, N., Zerbini, A. N., Kerem, D., Watanabe, K., . . . Palsbøll, P. J. (2007). Radiation and speciation of pelagic organisms during periods of global warming: the case of the common minke whale, Balaenoptera acutorostrata. Molecular Ecology, 16(7), 1481-1495. doi: 10.1111/j.1365-294X.2007.03244.x	Antarctica	Summer feeding areas	GenBank
				
Migrate data file name	Bbonaerensis_180mtDNA_337bp_20170828_Migrate_1pop.txt			
Results figure(s)	3, 4, 5, 6, S1 & S5			
				
Individual sample identifiers and data source				
Migrate_infile_sequence_identifier	Migrate_sample_partition	Data_source	GenBank_Accession_number	Source_DNA_sequence_identifier
Bbon0001	South	1	EF113709	Bb001
Bbon0002	South	1	EF113709	Bb001
Bbon0003	South	1	EF113709	Bb001
Bbon0004	South	1	EF113710	Bb002
Bbon0005	South	1	EF113710	Bb002
Bbon0006	South	1	EF113711	Bb003
Bbon0007	South	1	EF113712	Bb004
Bbon0008	South	1	EF113713	Bb005
Bbon0009	South	1	EF113714	Bb006
Bbon0010	South	1	EF113715	Bb007
Bbon0011	South	1	EF113716	Bb008
Bbon0012	South	1	EF113717	Bb008
Bbon0013	South	1	EF113718	Bb008
Bbon0014	South	1	EF113719	Bb008
Bbon0015	South	1	EF113720	Bb008
Bbon0016	South	1	EF113721	Bb008
Bbon0017	South	1	EF113722	Bb008
Bbon0018	South	1	EF113723	Bb008
Bbon0019	South	1	EF113724	Bb008
Bbon0020	South	1	EF113725	Bb008
Bbon0021	South	1	EF113726	Bb008
Bbon0022	South	1	EF113727	Bb008
Bbon0023	South	1	EF113728	Bb008
Bbon0024	South	1	EF113729	Bb008
Bbon0025	South	1	EF113730	Bb008
Bbon0026	South	1	EF113731	Bb008
Bbon0027	South	1	EF113732	Bb008
Bbon0028	South	1	EF113717	Bb009
Bbon0029	South	1	EF113717	Bb009
Bbon0030	South	1	EF113718	Bb010
Bbon0031	South	1	EF113719	Bb011
Bbon0032	South	1	EF113720	Bb012
Bbon0033	South	1	EF113720	Bb012
Bbon0034	South	1	EF113720	Bb012
Bbon0035	South	1	EF113721	Bb013
Bbon0036	South	1	EF113721	Bb013
Bbon0037	South	1	EF113721	Bb013
Bbon0038	South	1	EF113722	Bb014
Bbon0039	South	1	EF113723	Bb015
Bbon0040	South	1	EF113724	Bb016
