Species	Balaenoptera physalus			
Number of data sets	1			
				
Data set no.	1			
Locus	Mitochondrial control region			
DNA sequence lengh (in base pairs)	391			
No. of DNA sequences	341			
				
Data source references:		Sample areas	Habitat	Links to source data files
1	Archer, F. I., Morin, P. A., Hancock-Hanser, B. L., Robertson, K. M., Leslie, M. S., Bérubé, M., . . . Taylor, B. L. (2013). Mitogenomic Phylogenetics of Fin Whales: Genetic Evidence for Revision of Subspecies. PLoS One, 8(5), e63396. doi: 10.1371/journal.pone.0063396	Eastern US seaborder, Antarctica	Summer feeding area	https://datadryad.org/stash/dataset/doi:10.5061%2Fdryad.084g8
2	This study	Eastern US and Canadian seaborder	Summer feeding area	
				
Migrate data file name	Bphysalus_341mtDNA_391bp_20170827_Migrate_2pop.txt			
Results figure(s)	3, 4, 5, 6, 7, S1,  S3, S5 & S6			
				
Individual sample identifiers and data source				
Migrate_infile_sequence_identifier	Migrate_sample_partition	Data_source	GenBank_Accession_number	Source_DNA_sequence_identifier
Bphy0001	North	1	KC572708	
Bphy0002	North	1	KC572709	
Bphy0007	North	1	KC572714	
Bphy0084	South	1	KC572791	
Bphy0085	South	1	KC572792	
Bphy0086	South	1	KC572793	
Bphy0087	South	1	KC572794	
Bphy0088	South	1	KC572795	
Bphy0089	South	1	KC572796	
Bphy0090	South	1	KC572797	
Bphy0091	South	1	KC572798	
Bphy0092	South	1	KC572799	
Bphy0093	South	1	KC572800	
Bphy0094	South	1	KC572801	
Bphy0095	South	1	KC572802	
Bphy0096	South	1	KC572803	
Bphy0097	South	1	KC572804	
Bphy0098	South	1	KC572805	
Bphy0099	South	1	KC572806	
Bphy0118	North	1	KC572825	
Bphy0119	North	1	KC572826	
Bphy0120	North	1	KC572827	
Bphy0121	North	1	KC572828	
Bphy0122	North	1	KC572829	
Bphy0123	South	1	KC572830	
Bphy0124	South	1	KC572831	
Bphy0125	South	1	KC572832	
Bphy0126	South	1	KC572833	
Bphy0127	South	1	KC572834	
Bphy0128	South	1	KC572835	
Bphy0129	South	1	KC572836	
Bphy0130	South	1	KC572837	
Bphy0131	South	1	KC572838	
Bphy0132	South	1	KC572839	
Bphy0133	South	1	KC572840	
Bphy0134	South	1	KC572841	
Bphy0135	South	1	KC572842	
Bphy0136	South	1	KC572843	
Bphy0137	South	1	KC572844	
Bphy0138	South	1	KC572845	
Bphy0139	South	1	KC572846	
Bphy0140	South	1	KC572847	
Bphy0141	South	1	KC572848	
Bphy0142	South	1	KC572849	
Bphy0143	South	1	KC572850	
Bphy0144	South	1	KC572851	
