Species	Eubalaena spp. (Eaus: E. australis; Egla: E. glacialis)			
Number of data sets	1			
				
Data set no.	1			
Locus	Mitochondrial control region			
DNA sequence lengh (in base pairs)	391			
No. of DNA sequences	341			
				
Data source references:		Sample areas	Habitat	Links to source data files
1	This study	South Atlantic	Winter breeding area	
2	Valenzuela, L. O., Sironi, M., Rowntree, V. J., & Seger, J. (2009). Isotopic and genetic evidence for culturally inherited site fidelity to feeding grounds in southern right whales (Eubalaena australis). Molecular Ecology, 18(5), 782–791. doi: 10.1111/j.1365-294X.2008.04069.x	Argentina	Winter breeding area	GenBank
3	Malik, S., Brown, M. W., Kraus, S. D., Knowlton, A. R., Hamilton, P. K., & White, B. N. (1999). Assessment of mitochondrial DNA structuring and nursery use in the North right whale (Eubalaena glacialis). Canadian Journal of Zoology, 77(8), 1217–1222. doi: 10.1139/z99-073	eastern US & Canadian sea border	Summer nursing & feeding area	GenBank
				
Migrate data file name	Eubalaena_750mtDNA_381bp_20170827_Migrate_2pop.txt			
Results figure(s)	3, 4, 5, 6, 7, S1,  S3, S5 & S6			
				
Individual sample identifiers and data source				
Migrate_infile_sequence_identifier	Migrate_sample_partition	Data_source	GenBank_Accession_number	Source_DNA_sequence_identifier
Eaus0001	South	1		
Eaus0002	South	1		
Eaus0003	South	1		
Eaus0004	South	1		
Eaus0005	South	1		
Eaus0006	South	1		
Eaus0007	South	1		
Eaus0008	South	1		
Eaus0009	South	1		
Eaus0010	South	1		
Eaus0011	South	1		
Eaus0012	South	1		
Eaus0013	South	1		
Eaus0014	South	1		
Eaus0015	South	1		
Eaus0016	South	1		
Eaus0017	South	1		
Eaus0018	South	1		
Eaus0019	South	1		
Eaus0020	South	1		
Eaus0021	South	1		
Eaus0022	South	1		
Eaus0023	South	1		
Eaus0024	South	1		
Eaus0025	South	1		
Eaus0026	South	1		
Eaus0027	South	1		
Eaus0028	South	1		
Eaus0029	South	1		
Eaus0030	South	1		
Eaus0031	South	1		
Eaus0032	South	1		
Eaus0033	South	1		
Eaus0034	South	1		
Eaus0035	South	1		
Eaus0036	South	1		
Eaus0037	South	1		
Eaus0038	South	1		
Eaus0039	South	1		
Eaus0040	South	1		
Eaus0041	South	1		
Eaus0042	South	1		
Eaus0043	South	1		
Eaus0044	South	1		
Eaus0045	South	1		
Eaus0046	South	1		
Eaus0047	South	1		
Eaus0048	South	1		
Eaus0049	South	1		
Eaus0050	South	1		
Eaus0051	South	1		
Eaus0052	South	1		
Eaus0053	South	1		
Eaus0054	South	1		
Eaus0055	South	1		
Eaus0056	South	1		
