Species	Megaptera novaeangliae			
Number of data sets	1			
				
Data set no.	1			
Locus	Mitochondrial control region			
DNA sequence lengh (in base pairs)	1586			
No. of DNA sequences	396			
				
Data source references:		Sample areas	Habitat	Links to source data files
1	Jackson, J. A., Steel, D. J., Beerli, P., Congdon, B. C., Olavarria, C., Leslie, M. S., … Baker, C. S. (2014). Global diversity and oceanic divergence of humpback whales (\emph{Megaptera novaeangliae}). Proceedings of the Royal Society of London B Biological Sciences, 281(1786), 20133222. doi: 10.1098/rspb.2013.3222	South Atlantic Ocean	Winter breeding grounds	Dr. Jennifer Jackson, Personal communication 
2	This study	western North Atlantic Ocean	Winter breeding ground	
				
Migrate data file name	Mnovaeanliae_1586mtDNA_396bp_20170902_Migrate_2pop.txt			
Results figure(s)	4, S1 & S6			
				
Individual sample identifiers and data source				
Migrate_infile_sequence_identifier	Migrate_sample_partition	Data_source	GenBank_Accession_number	Source_DNA_sequence_identifier
Mnov1490	South	1		12C3_1
Mnov1491	South	1		12C3_2
Mnov1492	South	1		12C3_3
Mnov1493	South	1		12C3_4
Mnov1494	South	1		14C3_1
Mnov1495	South	1		14C3_2
Mnov1496	South	1		14C3_3
Mnov1497	South	1		16C3_1
Mnov1498	South	1		16C3_2
Mnov1499	South	1		23C3_1
Mnov1500	South	1		23C3_2
Mnov1501	South	1		29C3_1
Mnov1502	South	1		29C3_2
Mnov1503	South	1		29C3_3
Mnov1504	South	1		29C3_4
Mnov1505	South	1		29C3_5
Mnov1506	South	1		29C3_6
Mnov1507	South	1		29C3_7
Mnov1508	South	1		29C3_8
Mnov1509	South	1		29C3_9
Mnov1510	South	1		29C3_10
Mnov1511	South	1		29C3_11
Mnov1512	South	1		31C3_1
Mnov1513	South	1		32C3_1
Mnov1514	South	1		33C3_1
Mnov1515	South	1		34C3_1
Mnov1516	South	1		34C3_2
Mnov1517	South	1		35C3_1
Mnov1518	South	1		35C3_2
Mnov1519	South	1		35C3_3
Mnov1520	South	1		39C3_1
Mnov1521	South	1		39C3_2
Mnov1522	South	1		39C3_3
Mnov1523	South	1		39C3_4
Mnov1524	South	1		39C3_5
Mnov1525	South	1		39C3_6
Mnov1526	South	1		39C3_7
Mnov1527	South	1		39C3_8
Mnov1528	South	1		39C3_9
Mnov1529	South	1		39C3_10
Mnov1530	South	1		39C3_11
Mnov1531	South	1		39C3_12
Mnov1532	South	1		39C3_13
Mnov1533	South	1		39C3_14
Mnov1534	South	1		39C3_15
Mnov1535	South	1		39C3_16
Mnov1536	South	1		39C3_17
Mnov1537	South	1		39C3_18
