Locus,Parameter-number,Bin,Age,Parameter-value,Parameter-Frequency,Standard-deviation,Counts-per-bin,Autocorrelation-per-bin
1,1,1,0.0005,0.07690151,0.000463484,0.000119441,219929.5625,0.015088924
1,1,2,0.0015,0.070577078,0.002866425,0.000171953,100094.125,0.067462526
1,1,3,0.0025,0.059136737,0.006475228,0.000171327,87742.39063,0.184319899
1,1,4,0.0035,0.052135624,0.010811079,0.000191655,77450.28906,0.370076954
1,1,5,0.0045,0.045313276,0.015339946,0.000219537,68977.94531,0.537732601
1,1,6,0.0055,0.039254792,0.019351674,0.000213498,65624.83594,0.599572659
1,1,7,0.0065,0.035847798,0.023027722,0.000188071,62725.48828,0.598286808
1,1,8,0.0075,0.035045128,0.027035685,0.000174807,57673.23047,0.607622862
1,1,9,0.0085,0.035078004,0.031219535,0.000186514,52186.20703,0.67380929
1,1,10,0.009500001,0.034309108,0.034404539,0.0002183,49016.66797,0.754555881
1,1,11,0.010500001,0.032381229,0.03614853,0.000254273,48528.01953,0.807930648
1,1,12,0.011500001,0.029738605,0.036491271,0.00027091,49924.89063,0.823427439
1,1,13,0.012500001,0.027004499,0.0361389,0.000260101,51252.37891,0.804432154
1,1,14,0.013500001,0.02453219,0.035669051,0.000244019,50710.17969,0.770920694
1,1,15,0.014500001,0.022399506,0.0352237,0.000232562,47666.10938,0.733005881
1,1,16,0.015500001,0.020701861,0.034937404,0.000229051,41974.32813,0.69513917
1,1,17,0.016500001,0.019396041,0.034721199,0.000233098,34705.51953,0.658714771
1,1,18,0.017500001,0.018444359,0.034505229,0.000245767,27064.80859,0.627090275
1,1,19,0.018500001,0.017743664,0.034393217,0.000266093,20021.62891,0.59897393
1,1,20,0.019500001,0.017329654,0.034158237,0.000294536,14124.75977,0.572546542
1,1,21,0.020500001,0.017243693,0.034142092,0.000338151,9481.889648,0.554124057
1,1,22,0.021500001,0.017357213,0.0339109,0.000376479,6184.489746,0.509933114
1,1,23,0.022500001,0.017577397,0.033866111,0.000445599,3892.789795,0.503581584
1,1,24,0.023500001,0.017868113,0.033573456,0.000496342,2387.419922,0.451221049
1,1,25,0.024500001,0.018418571,0.033362597,0.00062685,1413.880005,0.487045705
1,1,26,0.025500001,0.01926085,0.033512555,0.000790076,804.8299561,0.485381931
1,1,27,0.026500001,0.020388445,0.033010349,0.001001157,461.5799866,0.486292481
1,1,28,0.027500001,0.021367304,0.033692204,0.001099388,257.4499817,0.419172496
1,1,29,0.028500001,0.022269882,0.032604948,0.00144212,143.8600006,0.479109883
1,1,30,0.029500001,0.023636175,0.031569861,0.002663125,76.11999512,0.675929725
1,1,31,0.030500001,0.025083883,0.031721242,0.002775623,39.06999969,0.496410251
1,1,32,0.031500002,0.025463214,0.031527299,0.005320915,17.73999977,0.60307467
1,1,33,0.032500002,0.024013201,0.026098449,0.003303524,11.09000015,0.221201748
