Locus,Parameter-number,Bin,Age,Parameter-value,Parameter-Frequency,Standard-deviation,Counts-per-bin,Autocorrelation-per-bin
1,1,1,0.0005,0.077042908,0.00043444,0.000120623,217348.5156,0.014342224
1,1,2,0.0015,0.072536342,0.00268709,0.000180551,94206.94531,0.064025909
1,1,3,0.0025,0.060370419,0.005886784,0.000211284,72118.17188,0.242064044
1,1,4,0.0035,0.046811052,0.00914135,0.00022423,63435.14844,0.423045814
1,1,5,0.0045,0.03506558,0.012961964,0.000218841,56137.08984,0.558001161
1,1,6,0.0055,0.026682796,0.017163554,0.000188906,54750.95703,0.630884826
1,1,7,0.0065,0.02149811,0.021009754,0.000151997,56849.71875,0.652855337
1,1,8,0.0075,0.018427078,0.025089933,0.000121723,58572.86719,0.657642126
1,1,9,0.0085,0.016615391,0.029438419,0.000102863,59286.25781,0.67592001
1,1,10,0.009500001,0.015555905,0.033394836,9.28E-05,59098.96875,0.702085316
1,1,11,0.010500001,0.014975284,0.036041666,8.65E-05,58001.55859,0.717422366
1,1,12,0.011500001,0.014756224,0.037396409,8.17E-05,55525.80859,0.718947411
1,1,13,0.012500001,0.014891289,0.037776452,7.99E-05,51260.25781,0.718679249
1,1,14,0.013500001,0.015330563,0.037610158,8.10E-05,45207.21094,0.717686772
1,1,15,0.014500001,0.016032994,0.037152592,8.60072E-05,37935.00781,0.722108424
1,1,16,0.015500001,0.016965101,0.03655177,9.46E-05,30299.11914,0.727889121
1,1,17,0.016500001,0.018061969,0.03596811,0.000105853,23081.47852,0.726712883
1,1,18,0.017500001,0.019296892,0.035417114,0.000126302,16811.83984,0.742657185
1,1,19,0.018500001,0.020640731,0.03483846,0.000151611,11820.20996,0.748983681
1,1,20,0.019500001,0.022096681,0.034263428,0.000184331,8010.599609,0.751849175
1,1,21,0.020500001,0.023629282,0.033838645,0.000223666,5221.169922,0.743603468
1,1,22,0.021500001,0.02521036,0.033542898,0.000270072,3306.73999,0.726703346
1,1,23,0.022500001,0.026783561,0.03331415,0.000351352,2058.550049,0.742379844
1,1,24,0.023500001,0.028498633,0.032510333,0.000446963,1251.25,0.73670131
1,1,25,0.024500001,0.030261999,0.032510664,0.000568594,732.4400024,0.722093761
1,1,26,0.025500001,0.031984318,0.032370325,0.000720061,422.75,0.701630235
1,1,27,0.026500001,0.033674836,0.032162055,0.000898686,242.7200012,0.66740036
1,1,28,0.027500001,0.035400499,0.032262407,0.001145598,137.6499939,0.636517465
1,1,29,0.028500001,0.037150957,0.032245334,0.001454807,78.93000031,0.605173171
1,1,30,0.029500001,0.038870659,0.030510988,0.001746769,44.34999847,0.545159638
1,1,31,0.030500001,0.040535323,0.031557538,0.002533973,23.69999886,0.566371143
1,1,32,0.031500002,0.042040043,0.030230496,0.00298878,13.22999954,0.495382011
1,1,33,0.032500002,0.040010147,0.028381769,0.004867104,6.259999752,0.483295918
1,1,34,0.033500002,0.034628417,0.022548579,0.006455278,3.399999857,0.338270634
