Locus,Parameter-number,Bin,Age,Parameter-value,Parameter-Frequency,Standard-deviation,Counts-per-bin,Autocorrelation-per-bin
1,1,1,0.0005,0.074627854,0.000458487,0.000116202,220144.8594,0.017532066
1,1,2,0.0015,0.070207231,0.002909849,0.000168058,101963.4375,0.065386243
1,1,3,0.0025,0.061688662,0.006577923,0.000177223,88450.69531,0.187713951
1,1,4,0.0035,0.056268081,0.010926588,0.000215436,75112.64844,0.400749564
1,1,5,0.0045,0.048401259,0.014979722,0.000250781,66677.72656,0.56579417
1,1,6,0.0055,0.040475123,0.018555487,0.000228177,64975.58984,0.605747998
1,1,7,0.0065,0.036122616,0.022004198,0.00019051,63719.52734,0.593231678
1,1,8,0.0075,0.03501188,0.025893683,0.000174122,59144.64844,0.602299333
1,1,9,0.0085,0.035058871,0.02994976,0.000180823,53639.64063,0.657128274
1,1,10,0.009500001,0.034466952,0.033214439,0.000208239,49933.48047,0.736374915
1,1,11,0.010500001,0.03268785,0.035110958,0.000247491,48989.62891,0.801435828
1,1,12,0.011500001,0.030107969,0.035708316,0.000269114,50006.11719,0.822856247
1,1,13,0.012500001,0.027402243,0.035474606,0.000263186,51337.75,0.809183359
1,1,14,0.013500001,0.024905831,0.035029411,0.000247815,51089.34766,0.778087616
1,1,15,0.014500001,0.022795787,0.03459046,0.000235767,48304.25781,0.740583301
1,1,16,0.015500001,0.021046592,0.034355946,0.000232081,42915.96094,0.704627991
1,1,17,0.016500001,0.019701771,0.03407656,0.000234358,35976.89844,0.667317629
1,1,18,0.017500001,0.01869769,0.033824582,0.000246284,28372.59961,0.636518002
1,1,19,0.018500001,0.017992534,0.033663765,0.000264877,21173.66992,0.605181754
1,1,20,0.019500001,0.017609,0.033652477,0.000296033,15030.18945,0.584349155
1,1,21,0.020500001,0.017414149,0.033524118,0.00033268,10284.79004,0.558072627
1,1,22,0.021500001,0.017474623,0.033294488,0.000386182,6762.929688,0.543728292
1,1,23,0.022500001,0.017816419,0.033199418,0.000464435,4281.120117,0.537851751
1,1,24,0.023500001,0.018430751,0.033139028,0.000556652,2624.629883,0.510492981
1,1,25,0.024500001,0.019054487,0.032765012,0.000674362,1585.150024,0.497511953
1,1,26,0.025500001,0.019836349,0.032591,0.000827745,929.0299683,0.484230399
1,1,27,0.026500001,0.020823991,0.032732081,0.000929945,535.25,0.398148358
1,1,28,0.027500001,0.021527017,0.032820821,0.001347892,305.3999939,0.534684241
1,1,29,0.028500001,0.02293919,0.032507248,0.001735191,172.3099976,0.5134027
1,1,30,0.029500001,0.024730897,0.032858271,0.002328481,95.63999939,0.523315847
1,1,31,0.030500001,0.026137661,0.032064777,0.002521221,52.40999985,0.466293365
1,1,32,0.031500002,0.027488254,0.031676073,0.004969674,27.09000015,0.60255909
1,1,33,0.032500002,0.028329939,0.027929302,0.003190167,15.09999943,-0.065643832
1,1,34,0.033500002,0.024364634,0.02488287,0.006350345,7.079999924,0.441439152
1,1,35,0.034500002,0.018025123,0.020076118,0.015932193,3.460000038,0.441738874
