Locus,Parameter-number,Bin,Age,Parameter-value,Parameter-Frequency,Standard-deviation,Counts-per-bin,Autocorrelation-per-bin
1,1,1,0.0005,0.010504019,0.000228416,0.000339713,2301.52002,0.009099142
1,1,2,0.0015,0.019140638,0.001524337,0.000703584,1809.469971,0.022384249
1,1,3,0.0025,0.021189433,0.003753352,0.000782906,1901.640015,0.049200259
1,1,4,0.0035,0.018924998,0.006634501,0.000723077,1924.409912,0.08905343
1,1,5,0.0045,0.016833875,0.009762114,0.000798959,1787.719971,0.197082356
1,1,6,0.0055,0.015803801,0.012715143,0.000623019,1572.169922,0.117229924
1,1,7,0.0065,0.017389629,0.016030598,0.000754619,1503.859985,0.252535313
1,1,8,0.0075,0.020613162,0.019000396,0.000811247,1832.439941,0.343234778
1,1,9,0.0085,0.022494955,0.021916313,0.000726784,2581.709961,0.395229191
1,1,10,0.009500001,0.02338025,0.024198189,0.000615474,3617.809814,0.393235624
1,1,11,0.010500001,0.02311698,0.026041027,0.000525162,4767.939941,0.403343856
1,1,12,0.011500001,0.022518907,0.027168721,0.000459563,5899.699707,0.405242562
1,1,13,0.012500001,0.021984384,0.027877776,0.000415765,6916.959961,0.401574224
1,1,14,0.013500001,0.02160288,0.028856836,0.000393548,7450.169922,0.398278654
1,1,15,0.014500001,0.021337284,0.02935764,0.000383818,7648.199707,0.397965819
1,1,16,0.015500001,0.021132184,0.029757157,0.000381228,7532.82959,0.392297328
1,1,17,0.016500001,0.021249928,0.02985058,0.000394124,7116.649902,0.388294965
1,1,18,0.017500001,0.021539509,0.02991535,0.000414418,6471.359863,0.378825426
1,1,19,0.018500001,0.022033023,0.029924111,0.000447798,5653.25,0.368062198
1,1,20,0.019500001,0.022804771,0.029820837,0.000501046,4773.830078,0.359957337
1,1,21,0.020500001,0.023672499,0.029662922,0.000572795,3939.689941,0.352470517
1,1,22,0.021500001,0.024536716,0.029762641,0.000664573,3138.169922,0.342095882
1,1,23,0.022500001,0.025497682,0.02936982,0.000784421,2452.790039,0.333383024
1,1,24,0.023500001,0.02648513,0.029299339,0.001421094,1877.769897,0.408551008
1,1,25,0.024500001,0.027631098,0.02896465,0.001153262,1404.130005,0.322197855
1,1,26,0.025500001,0.028977977,0.029190505,0.001377129,1026.819946,0.307813734
1,1,27,0.026500001,0.029937903,0.029063756,0.001669361,753.4799805,0.306388319
1,1,28,0.027500001,0.030566683,0.028659741,0.002042108,546.25,0.324644238
1,1,29,0.028500001,0.031667016,0.028262131,0.002527095,385.8699951,0.314440489
1,1,30,0.029500001,0.032822873,0.027945509,0.00319843,270.3099976,0.276418328
1,1,31,0.030500001,0.034168001,0.02826626,0.004078875,187.269989,0.242864221
1,1,32,0.031500002,0.035818644,0.02818732,0.005018561,121.1800003,0.278974265
1,1,33,0.032500002,0.038480394,0.028036194,0.008551622,80.29000092,0.336518377
1,1,34,0.033500002,0.039816536,0.028862814,0.013809245,57.47999954,0.413831443
1,1,35,0.034500002,0.042157739,0.029623877,0.018887032,39.30999756,0.41545704
1,1,36,0.035500002,0.046860013,0.028145667,0.02832857,25.63999939,0.432871699
1,1,37,0.036500002,0.044718817,0.025684824,0.042637568,16.20999908,0.418334305
1,1,38,0.037500002,0.043830156,0.025882533,0.059843421,11.84000015,0.43157649
1,1,39,0.038500002,0.045026574,0.020932248,0.096063845,8.510000229,0.43598938
1,1,40,0.039500002,0.044433463,0.01946339,0.153941333,5.289999962,0.425823152
1,1,41,0.040500002,0.035780631,0.015319536,0.046405204,3.230000019,0.175084263
1,1,42,0.041500002,0.02533689,0.01247095,0.135948405,1.539999962,0.121925697
1,2,1,0.0005,0.077442981,0.000314268,0.000219933,200067.5156,0.007036985
1,2,2,0.0015,0.081048727,0.00195681,0.000443753,69831.53125,0.028766735
1,2,3,0.0025,0.058812656,0.004044555,0.000398031,51122.75,0.083946884
1,2,4,0.0035,0.041853942,0.006613046,0.000313435,47003.59766,0.158053562
1,2,5,0.0045,0.030564109,0.009475322,0.000239162,47654.57031,0.235036373
1,2,6,0.0055,0.024409151,0.012447109,0.000200417,48959.75781,0.314555019
