Locus,Parameter-number,Bin,Age,Parameter-value,Parameter-Frequency,Standard-deviation,Counts-per-bin,Autocorrelation-per-bin
1,1,1,0.0005,0.011152997,0.000243382,0.000345574,2473.119873,0.011845511
1,1,2,0.0015,0.02051275,0.001627258,0.000743279,1948.609985,0.037087299
1,1,3,0.0025,0.022183312,0.003961768,0.000765256,2065.399902,0.041759946
1,1,4,0.0035,0.019484438,0.006856815,0.000695201,2068.780029,0.057858396
1,1,5,0.0045,0.017542038,0.010176851,0.000617844,1939.589966,0.076450348
1,1,6,0.0055,0.016674552,0.013210512,0.000658115,1703.25,0.145268038
1,1,7,0.0065,0.018348174,0.016111786,0.00075536,1702.5,0.252476543
1,1,8,0.0075,0.021228308,0.019610548,0.000773781,2132.709961,0.353089005
1,1,9,0.0085,0.022611175,0.022709752,0.000685157,2943.889893,0.396592408
1,1,10,0.009500001,0.023180435,0.024392469,0.000580297,4134.359863,0.405029476
1,1,11,0.010500001,0.023201287,0.025786707,0.000498803,5465.409668,0.404511333
1,1,12,0.011500001,0.022761071,0.027455133,0.000441503,6648.909668,0.412453324
1,1,13,0.012500001,0.022299828,0.028625719,0.000407872,7492.419922,0.410240531
1,1,14,0.013500001,0.021896962,0.029287973,0.000382154,8127.629883,0.402345091
1,1,15,0.014500001,0.021692183,0.029932894,0.000374835,8276.599609,0.396881104
1,1,16,0.015500001,0.021584742,0.029980267,0.000374447,8151.47998,0.390012771
1,1,17,0.016500001,0.021643553,0.030094864,0.000383686,7676.109863,0.378715813
1,1,18,0.017500001,0.02199851,0.030242298,0.000407631,6912.649902,0.373711199
1,1,19,0.018500001,0.022700079,0.030133588,0.000473994,6020.080078,0.340973944
1,1,20,0.019500001,0.022880642,0.02919646,0.0005041,4990.129883,0.348899245
1,1,21,0.020500001,0.023872351,0.029979801,0.00056121,4161.759766,0.351197928
1,1,22,0.021500001,0.024875546,0.030005803,0.000657327,3292.179932,0.342556596
1,1,23,0.022500001,0.025892615,0.02981294,0.000783648,2604.839844,0.336418927
1,1,24,0.023500001,0.026954636,0.029551212,0.000934316,2008.919922,0.325535089
1,1,25,0.024500001,0.028134652,0.029217161,0.001141684,1507.27002,0.334759504
1,1,26,0.025500001,0.0293335,0.029269781,0.00141379,1108.939941,0.329934031
1,1,27,0.026500001,0.03138686,0.029006723,0.001776914,792.7699585,0.314118713
1,1,28,0.027500001,0.032475554,0.029134443,0.002144107,568.5100098,0.305242598
1,1,29,0.028500001,0.033025537,0.028306834,0.002629582,408.1399841,0.305166692
1,1,30,0.029500001,0.033413287,0.028695401,0.003263417,285.0099792,0.311063111
1,1,31,0.030500001,0.034154382,0.028091591,0.004109642,198.3899994,0.302069366
1,1,32,0.031500002,0.035806458,0.028629588,0.005016633,136.6199951,0.301881462
1,1,33,0.032500002,0.037174463,0.028032251,0.005578042,95.41999817,0.282118142
1,1,34,0.033500002,0.037322108,0.026403947,0.006804537,60.89999771,0.253400356
1,1,35,0.034500002,0.038593341,0.027859006,0.008711997,38.72999954,0.229290575
1,1,36,0.035500002,0.037353225,0.026589619,0.010864211,27.26000023,0.219364733
1,1,37,0.036500002,0.035591286,0.025790457,0.013946529,18.25,0.231765673
