Locus,Parameter-number,Bin,Age,Parameter-value,Parameter-Frequency,Standard-deviation,Counts-per-bin,Autocorrelation-per-bin
1,1,1,0.0005,0.010384097,0.000228351,0.000339862,2518.589844,0.050235987
1,1,2,0.0015,0.019076297,0.001531063,0.000666598,1956.059937,0.027962511
1,1,3,0.0025,0.021224903,0.003731339,0.000783656,2060.919922,0.070737936
1,1,4,0.0035,0.019009739,0.006551051,0.000650836,2079.189941,0.052961018
1,1,5,0.0045,0.017376481,0.009675112,0.000626761,1917.869995,0.074242026
1,1,6,0.0055,0.016153157,0.012670687,0.000634973,1679.5,0.132923603
1,1,7,0.0065,0.017508946,0.015897675,0.0007485,1563.049927,0.265954703
1,1,8,0.0075,0.020360865,0.018676326,0.000798955,1888.109985,0.3555457
1,1,9,0.0085,0.021734664,0.021724019,0.000704059,2609.939941,0.398109198
1,1,10,0.009500001,0.02238125,0.023935018,0.000600162,3631.47998,0.40948531
1,1,11,0.010500001,0.022667266,0.025865242,0.000522269,4751.370117,0.407770604
1,1,12,0.011500001,0.022237122,0.026987281,0.000461611,5924.209961,0.412398398
1,1,13,0.012500001,0.021927804,0.028155519,0.000424013,6808.859863,0.406319976
1,1,14,0.013500001,0.021606002,0.029038474,0.000399325,7361.129883,0.399506092
1,1,15,0.014500001,0.021377904,0.029438434,0.000385612,7630.560059,0.393717468
1,1,16,0.015500001,0.021239804,0.029943503,0.000385472,7491.819824,0.389358074
1,1,17,0.016500001,0.021463811,0.029978506,0.000397997,7116.259766,0.381319732
1,1,18,0.017500001,0.02175344,0.029860891,0.000420146,6526.549805,0.374566823
1,1,19,0.018500001,0.022228913,0.030015012,0.000454227,5697.810059,0.363020301
1,1,20,0.019500001,0.022799248,0.030000893,0.000503612,4834.759766,0.359122157
1,1,21,0.020500001,0.023680998,0.029697757,0.000575501,3975.919922,0.351144522
1,1,22,0.021500001,0.024656273,0.029517032,0.000671484,3168.069824,0.343659937
1,1,23,0.022500001,0.025352584,0.029740227,0.000786453,2475.929932,0.342561722
1,1,24,0.023500001,0.026397647,0.029156342,0.000929477,1936.049927,0.336419404
1,1,25,0.024500001,0.027378073,0.029376918,0.001120664,1432.72998,0.334232718
1,1,26,0.025500001,0.028897153,0.029084453,0.001389436,1039.449951,0.323501498
1,1,27,0.026500001,0.03009679,0.028794311,0.001671939,755.5599976,0.311119348
1,1,28,0.027500001,0.030920526,0.029136673,0.002074236,537.2999878,0.314650536
