Locus,Parameter-number,Bin,Age,Parameter-value,Parameter-Frequency,Standard-deviation,Counts-per-bin,Autocorrelation-per-bin
1,1,1,0.0005,0.57697016,0.00061236,0.002439218,29522.32031,0.02231371
1,1,2,0.0015,0.499397963,0.001145344,0.002078187,32263.75977,0.042837955
1,1,3,0.0025,0.412265986,0.001814208,0.001808937,31936.76953,0.083152808
1,1,4,0.0035,0.341230929,0.002662105,0.00157097,31652.34961,0.128413633
1,1,5,0.0045,0.282952726,0.003682367,0.001396064,31101.68945,0.18424052
1,1,6,0.0055,0.240446463,0.004982699,0.001285358,30509.46875,0.249301031
1,1,7,0.0065,0.207698271,0.006559184,0.001209022,30128.29883,0.326335758
1,1,8,0.0075,0.181577504,0.008325378,0.001157806,30445.33008,0.407402635
1,1,9,0.0085,0.157837167,0.010062775,0.001093257,31441.47852,0.479252964
1,1,10,0.009500001,0.136228263,0.011860112,0.001011121,32663.85938,0.532862604
1,1,11,0.010500001,0.11612618,0.013549681,0.000929632,34047.98828,0.582019627
1,1,12,0.011500001,0.096853778,0.015101031,0.000836754,36072.25781,0.625273109
1,1,13,0.012500001,0.079388954,0.016738163,0.000730181,38746.14063,0.657792926
1,1,14,0.013500001,0.06435132,0.01830676,0.000630015,41938.46875,0.690322518
1,1,15,0.014500001,0.05172246,0.019879509,0.000531927,45825.60938,0.713319063
1,1,16,0.015500001,0.041798558,0.021467382,0.000454394,49581.58984,0.736153185
1,1,17,0.016500001,0.033979949,0.023104403,0.000391073,52679.58984,0.755609393
1,1,18,0.017500001,0.028147034,0.024567204,0.000339494,54337.12891,0.766309857
1,1,19,0.018500001,0.023823103,0.025893016,0.000306329,54077.07813,0.780487955
1,1,20,0.019500001,0.020793114,0.026937379,0.000276706,51591.07031,0.780999422
1,1,21,0.020500001,0.01860767,0.027768072,0.000254965,47256.80859,0.774688721
1,1,22,0.021500001,0.017131673,0.028440556,0.000238633,41276.52734,0.758702338
1,1,23,0.022500001,0.016192533,0.028958255,0.000234246,34487.96875,0.747092068
1,1,24,0.023500001,0.015668379,0.029423259,0.000234261,27625.92969,0.726575136
1,1,25,0.024500001,0.015484634,0.029803814,0.000246727,21336.70898,0.714137673
1,1,26,0.025500001,0.015544902,0.030015543,0.00026505,15923.58008,0.695322633
1,1,27,0.026500001,0.01577666,0.030265804,0.000289673,11522.54004,0.675147414
1,1,28,0.027500001,0.016213432,0.030298868,0.000338441,8152.899902,0.678405702
1,1,29,0.028500001,0.016797932,0.030456634,0.000385562,5594.949707,0.65373975
1,1,30,0.029500001,0.017604785,0.03058053,0.000486016,3752.419922,0.677061856
1,1,31,0.030500001,0.01859111,0.030699797,0.000582165,2484.679932,0.665449143
1,1,32,0.031500002,0.019468183,0.031029966,0.000733677,1639.51001,0.686159313
1,1,33,0.032500002,0.02049941,0.030485943,0.000812495,1102.26001,0.633455515
1,1,34,0.033500002,0.021531405,0.031043269,0.001096496,696.7999878,0.676598549
1,1,35,0.034500002,0.022839388,0.030945275,0.001271791,452.4599915,0.646265507
1,1,36,0.035500002,0.024282638,0.031123951,0.001923757,285.8999939,0.722915709
1,1,37,0.036500002,0.025770107,0.030970058,0.002184043,185.8699951,0.668698311
1,1,38,0.037500002,0.027131338,0.030384392,0.001770507,119.5400009,0.387492448
1,1,39,0.038500002,0.028389799,0.031752002,0.003620882,74.68999481,0.758571982
1,1,40,0.039500002,0.029129695,0.030515309,0.004361431,46.96999741,0.725530624
1,1,41,0.040500002,0.030675391,0.028246295,0.004707134,29.81999969,0.646415472
1,1,42,0.041500002,0.026366634,0.024143558,0.005175711,18.76000023,0.593235016
1,1,43,0.042500002,0.024035618,0.021600211,0.011806192,11.5,0.728987217
