Locus,Parameter-number,Bin,Age,Parameter-value,Parameter-Frequency,Standard-deviation,Counts-per-bin,Autocorrelation-per-bin
1,1,1,0.0005,0.577855587,0.000620751,0.002443959,29382.95898,0.021543924
1,1,2,0.0015,0.499522358,0.001157735,0.002070091,32175.78906,0.041281294
1,1,3,0.0025,0.41415897,0.001845299,0.001812995,31791.80859,0.08433824
1,1,4,0.0035,0.340316922,0.002682679,0.001561171,31634.51953,0.122864902
1,1,5,0.0045,0.283703566,0.003735642,0.001403944,31250.22852,0.186249122
1,1,6,0.0055,0.2388926,0.005022864,0.001279916,30576.86914,0.254174292
1,1,7,0.0065,0.208393395,0.006648829,0.001230302,30096.83008,0.336948872
1,1,8,0.0075,0.181442887,0.008399788,0.001158909,30524.61914,0.409001708
1,1,9,0.0085,0.15928939,0.010254542,0.001097379,31562.79883,0.478002012
1,1,10,0.009500001,0.137297764,0.012026868,0.001020231,32709.39844,0.533837974
1,1,11,0.010500001,0.116617464,0.013684552,0.000929738,34147.75781,0.581523597
1,1,12,0.011500001,0.097398661,0.015353476,0.000832885,36072.34766,0.62265712
1,1,13,0.012500001,0.080065675,0.016933093,0.000731635,38586.26953,0.658219874
1,1,14,0.013500001,0.064924046,0.018472038,0.000629096,42253.66797,0.688067317
1,1,15,0.014500001,0.052523244,0.020180197,0.000534741,45794.1875,0.711015821
1,1,16,0.015500001,0.042503394,0.021683915,0.000455236,49522.05859,0.732560515
1,1,17,0.016500001,0.034587491,0.023418756,0.000398594,52191.58984,0.757585764
1,1,18,0.017500001,0.028583519,0.024799254,0.000346732,54123.98828,0.769979298
1,1,19,0.018500001,0.024091927,0.026169663,0.000307199,53930.70703,0.778352559
1,1,20,0.019500001,0.02083776,0.027154569,0.000275491,51826.34766,0.780379117
1,1,21,0.020500001,0.018608324,0.028144475,0.000252459,47453.20703,0.772884846
1,1,22,0.021500001,0.017067988,0.028755628,0.000234651,41702.46875,0.756914079
1,1,23,0.022500001,0.01613936,0.029321862,0.000229929,34827.03906,0.744196296
1,1,24,0.023500001,0.015576122,0.029843312,0.000231837,27928.96875,0.727389395
1,1,25,0.024500001,0.015399463,0.030147515,0.000245141,21583.37891,0.716637075
1,1,26,0.025500001,0.015496103,0.030452658,0.000263224,16091.89941,0.697902739
1,1,27,0.026500001,0.01571947,0.030543013,0.000284175,11719.33008,0.675894439
1,1,28,0.027500001,0.016159756,0.030856952,0.000331964,8248.55957,0.67787075
1,1,29,0.028500001,0.0167458,0.030775357,0.000380049,5737.52002,0.65874958
1,1,30,0.029500001,0.017335502,0.031046378,0.000436963,3863.829834,0.643295646
1,1,31,0.030500001,0.018139893,0.031153549,0.00054238,2583.449951,0.656318903
1,1,32,0.031500002,0.019139055,0.031178072,0.000677493,1717.059937,0.667619407
1,1,33,0.032500002,0.020382525,0.031177077,0.000828098,1108.689941,0.656083226
1,1,34,0.033500002,0.021658959,0.031223329,0.001062676,721.0700073,0.673472226
1,1,35,0.034500002,0.023037965,0.030718153,0.001315335,459.4799805,0.668501675
1,1,36,0.035500002,0.024405913,0.031229185,0.001427828,284.8899841,0.596635103
1,1,37,0.036500002,0.026195904,0.030990996,0.0020641,178.9899902,0.683535934
1,1,38,0.037500002,0.027459081,0.031391144,0.00245286,113.5199966,0.650736988
1,1,39,0.038500002,0.027958058,0.032392521,0.003074687,74.97000122,0.673288941
1,1,40,0.039500002,0.029473361,0.030042006,0.003834594,49.93000031,0.688904703
1,1,41,0.040500002,0.029963138,0.029028621,0.005299381,32.55999756,0.73564893
1,1,42,0.041500002,0.028175535,0.025628189,0.006768854,19.79999924,0.710132837
1,1,43,0.042500002,0.023076883,0.021425411,0.010704045,12.90999985,0.719623387
1,1,44,0.043500002,0.017620873,0.016875492,0.015913656,8.039999962,0.674233139
1,1,45,0.044500002,0.015586042,0.013416999,0.015010851,6.150000095,0.581157923
