Locus,Parameter-number,Bin,Age,Parameter-value,Parameter-Frequency,Standard-deviation,Counts-per-bin,Autocorrelation-per-bin
1,1,1,0.0005,0.210609883,0.000342543,0.001869438,25266.35938,-0.002924273
1,1,2,0.0015,0.224051535,0.001771361,0.003471454,9352.919922,0.033020515
1,1,3,0.0025,0.184972897,0.003520981,0.003696022,6387.199707,0.080813974
1,1,4,0.0035,0.144334778,0.00528441,0.003407895,5198.859863,0.14189741
1,1,5,0.0045,0.122180872,0.007496992,0.00354616,3815.309814,0.193452805
1,1,6,0.0055,0.108170211,0.010521341,0.003844705,2804.030029,0.268579722
1,1,7,0.0065,0.088220254,0.013132137,0.003362357,2420.800049,0.291299641
1,1,8,0.0075,0.073780775,0.016140517,0.003143008,2197.5,0.351247102
1,1,9,0.0085,0.060036507,0.019786909,0.002864617,2293.570068,0.421277702
1,1,10,0.009500001,0.04897476,0.022658749,0.002173703,2442.800049,0.454284787
1,1,11,0.010500001,0.042075452,0.025991652,0.001920556,2578.429932,0.473110139
1,1,12,0.011500001,0.035735112,0.028977111,0.001669118,2729.399902,0.51440227
1,1,13,0.012500001,0.032658536,0.031774476,0.001963502,2849.540039,0.625516892
1,1,14,0.013500001,0.029453192,0.034343381,0.001729456,2833.819824,0.568983734
1,1,15,0.014500001,0.026942369,0.035402972,0.001302884,2705.550049,0.472322077
1,1,16,0.015500001,0.026305445,0.038097158,0.001279764,2496.689941,0.470234126
1,1,17,0.016500001,0.026841827,0.040319547,0.00135609,2245.909912,0.451376557
1,1,18,0.017500001,0.026923239,0.040684916,0.001410969,2012,0.431124449
1,1,19,0.018500001,0.027568139,0.040389955,0.001545157,1752.380005,0.410888523
1,1,20,0.019500001,0.028656857,0.042708349,0.001704336,1418.409912,0.434610367
1,1,21,0.020500001,0.030011995,0.041425686,0.001993254,1131.839966,0.402178705
1,1,22,0.021500001,0.032313753,0.041533362,0.002230523,878.7399902,0.402524591
1,1,23,0.022500001,0.034683555,0.042058926,0.004162748,654.6900024,0.411646634
1,1,24,0.023500001,0.056192834,0.040774208,0.00335706,485,0.370884299
1,1,25,0.024500001,0.037094448,0.039666534,0.006062473,350.2200012,0.429607809
