Locus,Parameter-number,Bin,Age,Parameter-value,Parameter-Frequency,Standard-deviation,Counts-per-bin,Autocorrelation-per-bin
1,1,1,0.0005,0.211406991,0.000326649,0.00183317,26913.07031,0.000908083
1,1,2,0.0015,0.222977728,0.00170578,0.003290149,9981.80957,0.021532469
1,1,3,0.0025,0.18419525,0.003389012,0.00370432,6914.649902,0.110424623
1,1,4,0.0035,0.144762099,0.005060383,0.003298431,5447.299805,0.12966767
1,1,5,0.0045,0.12369176,0.007198717,0.00380186,3756.589844,0.210109964
1,1,6,0.0055,0.10270606,0.009881715,0.00407648,2807.589844,0.29912582
1,1,7,0.0065,0.090406947,0.01297554,0.00359706,2422.25,0.305605382
1,1,8,0.0075,0.070238553,0.015851498,0.002853152,2370.23999,0.342288882
1,1,9,0.0085,0.056371536,0.019286504,0.002290202,2501.179932,0.395203441
1,1,10,0.009500001,0.045973949,0.022076374,0.002093409,2602.709961,0.442229658
1,1,11,0.010500001,0.038503669,0.024304034,0.001765026,2838.790039,0.499087721
1,1,12,0.011500001,0.033382874,0.028328292,0.001583927,3023.5,0.520278215
1,1,13,0.012500001,0.030342652,0.031258281,0.001442129,3082.75,0.520800769
1,1,14,0.013500001,0.028157771,0.032791182,0.0014,3040.719971,0.530483484
1,1,15,0.014500001,0.026378946,0.035272848,0.001304832,2903.300049,0.521195948
1,1,16,0.015500001,0.025261112,0.036205962,0.001262853,2709.099854,0.499560148
1,1,17,0.016500001,0.024895826,0.037921954,0.001275097,2344.790039,0.502150059
1,1,18,0.017500001,0.025285551,0.039008468,0.001369256,2036.609985,0.47762537
1,1,19,0.018500001,0.02622363,0.039083794,0.001538012,1721.599976,0.462887913
1,1,20,0.019500001,0.026411613,0.039609116,0.001613382,1396.390015,0.436218947
1,1,21,0.020500001,0.027786767,0.041007694,0.001785976,1162.819946,0.426195562
1,1,22,0.021500001,0.031630542,0.038812541,0.002720277,926.0899658,0.442889571
1,1,23,0.022500001,0.033522483,0.041580517,0.002948544,678.9400024,0.408548415
1,1,24,0.023500001,0.035254385,0.038699832,0.003698853,501,0.391011089
1,1,25,0.024500001,0.032737147,0.037673187,0.003659464,365.019989,0.334201276
1,1,26,0.025500001,0.037638977,0.039495368,0.005596222,256.4700012,0.39513427
1,1,27,0.026500001,0.042972449,0.038118772,0.007244982,184.3999939,0.387397587
1,1,28,0.027500001,0.040122736,0.039546192,0.010859906,116.4899979,0.382541627
1,1,29,0.028500001,0.167544514,0.037445881,0.018511474,74.41999817,0.340503216
1,1,30,0.029500001,0.048342712,0.03235716,0.024727609,49.27000046,0.400530905
1,1,31,0.030500001,0.042668261,0.034356158,0.018733949,31.31999969,0.170410022
1,1,32,0.031500002,0.045305949,0.032058101,0.02578702,22.57999992,0.13873823
1,1,33,0.032500002,0.050415114,0.027928501,0.044728726,14.67999935,0.149696842
1,1,34,0.033500002,0.044639666,0.025412597,0.060990576,10.32999992,0.146823898
1,1,35,0.034500002,0.030198008,0.020877769,0.073263876,6.799999714,0.205166981
1,1,36,0.035500002,0.022716347,0.010928653,0.165606186,3.75,0.139983147
1,2,1,0.0005,0.011629838,0.000102544,3.82E-05,221842.2344,0.014763511
1,2,2,0.0015,0.010347408,0.00088001,7.31E-05,55375.51953,0.079147711
1,2,3,0.0025,0.013687977,0.001965605,1.15E-04,45429.36719,0.150156066
1,2,4,0.0035,0.016781274,0.003564932,0.000142039,46209.05078,0.182981297
1,2,5,0.0045,0.018608516,0.005474656,0.000164212,47579.37891,0.229544252
1,2,6,0.0055,0.018612899,0.007752745,0.00017528,45205,0.287906408
1,2,7,0.0065,0.016781861,0.010031854,0.000162545,45054.55859,0.326475143
1,2,8,0.0075,0.015029173,0.012572547,0.000144545,47669,0.376747817
1,2,9,0.0085,0.013993715,0.015125643,0.000137005,49363.92969,0.431077153
1,2,10,0.009500001,0.013099041,0.017519044,0.000129138,48762.21875,0.455340803
1,2,11,0.010500001,0.012674056,0.019913863,0.000128429,46828.57031,0.484748036
1,2,12,0.011500001,0.012503671,0.022535354,0.00013132,43697.66016,0.510659874
1,2,13,0.012500001,0.012303359,0.024522947,0.000132789,41039.58984,0.529316485
1,2,14,0.013500001,0.012152791,0.026437877,0.000134385,38588.17969,0.54491514
1,2,15,0.014500001,0.01188753,0.028241951,0.000134477,36159.09766,0.566693127
1,2,16,0.015500001,0.011792032,0.02960423,0.000134908,33451.71094,0.56559813
1,2,17,0.016500001,0.011862977,0.03078649,0.000140149,30076.43945,0.56582135
1,2,18,0.017500001,0.011991804,0.031859409,0.000147278,26057.20898,0.557725787
1,2,19,0.018500001,0.012327095,0.032466568,0.000160615,21851.43945,0.548508704
1,2,20,0.019500001,0.012762538,0.032973148,0.000180257,17746.71875,0.536897004
1,2,21,0.020500001,0.013292477,0.033407785,0.000210401,14012.84961,0.5371539
1,2,22,0.021500001,0.013949072,0.033557084,0.000249752,10743.81934,0.52718842
1,2,23,0.022500001,0.014581659,0.033646755,0.000311708,8041.489746,0.525820553
1,2,24,0.023500001,0.015060891,0.033047691,0.000386844,5733.290039,0.512183368
1,2,25,0.024500001,0.01607726,0.033528179,0.000459689,4230.25,0.500717342
1,2,26,0.025500001,0.016708676,0.033678304,0.000568491,2961.25,0.494828969
1,2,27,0.026500001,0.017412536,0.033499137,0.000726217,2042.429932,0.483383864
1,2,28,0.027500001,0.017929042,0.033651054,0.000912385,1394.849976,0.451987654
1,2,29,0.028500001,0.018155271,0.033140548,0.001153571,933.1599731,0.459813714
1,2,30,0.029500001,0.01886279,0.032971561,0.001467574,619.5999756,0.433292151
1,2,31,0.030500001,0.019113826,0.033152171,0.001835466,410.9199829,0.418508202
1,2,32,0.031500002,0.018872295,0.032906015,0.002226199,262.9700012,0.431205303
1,2,33,0.032500002,0.020008208,0.032400496,0.002992115,160.7299957,0.407264411
1,2,34,0.033500002,0.020089652,0.033909984,0.003691609,95.22000122,0.376802504
1,2,35,0.034500002,0.020969693,0.030832499,0.00503619,61.11999893,0.369210541
1,2,36,0.035500002,0.02182992,0.033462871,0.005464955,38.70000076,0.337999821
1,2,37,0.036500002,0.021693887,0.028690372,0.007463212,27.26000023,0.342778325
1,2,38,0.037500002,0.019683594,0.024162758,0.011860135,15.5199995,-0.054862898
1,2,39,0.038500002,0.018900104,0.019946775,0.016688598,9.269999504,-0.089172527
1,2,40,0.039500002,0.012134044,0.014405083,0.032472603,5.369999886,0.369779378
1,2,41,0.040500002,0.009749786,0.011263176,0.032196861,3.569999933,0.228206679
1,2,42,0.041500002,0.005232557,0.007233649,0.079882093,2.889999867,0.451184243
1,3,1,0.0005,2068.496582,0.033355571,261.1254883,533.75,0.252101094
1,3,2,0.0015,922.2857056,0.033355571,91.37532806,1021.779968,0.310859293
1,3,3,0.0025,1015.196533,0.033355571,2135.048584,1083.459961,0.465348005
1,3,4,0.0035,703.2483521,0.033355571,64.56763458,1421.609985,0.502434075
1,3,5,0.0045,766.5412598,0.033355571,107.4724274,1634.01001,0.712468445
1,3,6,0.0055,802.9797974,0.033355571,101.8917542,1569.339966,0.664699733
1,3,7,0.0065,850.8401489,0.033355571,79.3028717,1448.26001,0.593346
1,3,8,0.0075,886.2123413,0.033355571,76.71287537,1343.349976,0.57994318
1,3,9,0.0085,975.5749512,0.033355571,102.9677963,1141.530029,0.645572424
1,3,10,0.009500001,941.7885132,0.033355571,112.4473724,1039.949951,0.686823964
1,3,11,0.010500001,1001.883789,0.033355571,106.4689789,990.2799683,0.668813109
1,3,12,0.011500001,988.6103516,0.033355571,164.8611298,916.4299927,0.74785018
1,3,13,0.012500001,905.8416748,0.033355571,121.6671448,910.1999512,0.71333915
1,3,14,0.013500001,975.4430542,0.033355571,174.7850952,844.8399658,0.80058533
1,3,15,0.014500001,1036.062256,0.033355571,187.675705,753.6799927,0.816021621
1,3,16,0.015500001,1000.231873,0.033355571,204.2540894,669.1799927,0.838397265
1,3,17,0.016500001,949.2384033,0.033355571,220.958725,529.7600098,0.820328593
1,3,18,0.017500001,1070.624634,0.033355571,866.3731689,435.4100037,0.928030372
1,3,19,0.018500001,969.9107666,0.033355571,285.1061096,327.2099915,0.849241853
1,3,20,0.019500001,1046.841431,0.033355571,413.3808594,249.0099945,0.847835243
1,3,21,0.020500001,1387.332642,0.033355571,2103.459961,197.3600006,0.948657155
