Locus,Parameter-number,Bin,Age,Parameter-value,Parameter-Frequency,Standard-deviation,Counts-per-bin,Autocorrelation-per-bin
1,1,1,0.0005,0.208219543,0.000318901,0.001844697,26116.24023,0.001351974
1,1,2,0.0015,0.222387463,0.001681506,0.003374161,9672.769531,0.030636709
1,1,3,0.0025,0.181804687,0.003342153,0.003541164,6633.790039,0.081400275
1,1,4,0.0035,0.146023855,0.005119364,0.003416893,5462.22998,0.156259492
1,1,5,0.0045,0.122002415,0.007191736,0.003696972,3970.459961,0.214178145
1,1,6,0.0055,0.099717245,0.00975314,0.00364451,3014.219971,0.279326439
1,1,7,0.0065,0.082323931,0.012879741,0.003642868,2724.48999,0.394661754
1,1,8,0.0075,0.066549882,0.015734775,0.002615681,2677.97998,0.375185102
1,1,9,0.0085,0.053215679,0.019639477,0.002308823,2756.530029,0.441021174
1,1,10,0.009500001,0.046643455,0.022736557,0.001978007,2879.309814,0.444865257
1,1,11,0.010500001,0.037612002,0.025116427,0.001672675,2999.300049,0.49486804
1,1,12,0.011500001,0.035859369,0.027642645,0.001537103,3127.050049,0.509940803
1,1,13,0.012500001,0.032690562,0.030131314,0.001406245,3049.72998,0.497110218
1,1,14,0.013500001,0.029599328,0.032902859,0.001405028,2921.849854,0.532113552
1,1,15,0.014500001,0.026858034,0.034468629,0.001288934,2795.419922,0.503433526
1,1,16,0.015500001,0.026402619,0.036656208,0.001307121,2550.540039,0.491545767
1,1,17,0.016500001,0.026811639,0.037970528,0.001374515,2222.25,0.477566212
1,1,18,0.017500001,0.025507242,0.038097613,0.001361835,1936.919922,0.438364953
1,1,19,0.018500001,0.026345663,0.038901746,0.001485049,1625.419922,0.412631422
1,1,20,0.019500001,0.027614959,0.039036501,0.001789393,1257.319946,0.364053756
1,1,21,0.020500001,0.02801582,0.040432833,0.002071082,1025.380005,0.352787733
1,1,22,0.021500001,0.031591669,0.03985155,0.002613118,784.9199829,0.363425791
1,1,23,0.022500001,0.041147258,0.041231297,0.003392417,593.8499756,0.376491875
1,1,24,0.023500001,0.041071184,0.038834937,0.004173075,436.5899963,0.320802748
1,1,25,0.024500001,0.045846466,0.039208662,0.004741173,324.2999878,0.262172818
1,1,26,0.025500001,0.045378819,0.040431451,0.005706654,238.0399933,0.280283302
1,1,27,0.026500001,0.04415511,0.037097789,0.006909841,169.5999908,0.255525976
1,1,28,0.027500001,0.047652185,0.040468577,0.008220101,114.4599991,0.265131056
1,1,29,0.028500001,0.049000245,0.035244998,0.010160695,80.58999634,0.263011247
1,1,30,0.029500001,0.047039393,0.031957075,0.012186832,57.38999939,0.309706152
1,1,31,0.030500001,0.036476824,0.030590739,0.013886805,34.13999939,0.260969698
1,1,32,0.031500002,0.124572583,0.027306564,0.155101836,22.75,0.557315171
1,1,33,0.032500002,0.13595137,0.024438035,0.448253095,15.84999943,0.79118973
1,1,34,0.033500002,0.14109382,0.021448931,0.365318596,8.899999619,0.445852608
1,1,35,0.034500002,0.150295422,0.020743173,0.627053201,5.799999714,0.434402496
1,1,36,0.035500002,0.148648158,0.017064137,0.862122178,4.989999771,0.436984479
1,1,37,0.036500002,0.130661145,0.010397217,-999,3.279999971,0.816765428
1,1,38,0.037500002,0.119905338,0.005648688,1.83E+00,1.639999986,0.11076469
1,2,1,0.0005,0.013025721,0.00010189,4.35E-05,221165.3906,0.018562669
1,2,2,0.0015,0.011484526,0.000868871,8.20098E-05,56254.05859,0.081059136
1,2,3,0.0025,0.014953245,0.001945746,0.000127415,45094.32031,0.152912438
1,2,4,0.0035,0.01852219,0.00354812,0.000161004,46054.19922,0.187022507
1,2,5,0.0045,0.020169267,0.005498438,0.000177097,46691.60938,0.229475945
1,2,6,0.0055,0.020039512,0.00768375,0.000188601,44763.78906,0.279477328
1,2,7,0.0065,0.018487182,0.010039364,0.00018272,44815.34766,0.339351594
1,2,8,0.0075,0.016545465,0.0124855,0.000164608,46762.23828,0.389434516
1,2,9,0.0085,0.01475207,0.014936346,0.000143623,49266.32813,0.427333921
1,2,10,0.009500001,0.013696404,0.017476756,0.000131937,49410.58984,0.45393768
1,2,11,0.010500001,0.013309811,0.020066479,0.000133734,47099.48828,0.496869117
1,2,12,0.011500001,0.012894251,0.022148721,0.000132357,44413.23047,0.514798999
1,2,13,0.012500001,0.012591402,0.024503678,0.000132784,41950.14844,0.540458679
1,2,14,0.013500001,0.012370945,0.026235499,0.000134688,39742.44922,0.562052727
1,2,15,0.014500001,0.012104439,0.028048514,0.00013267,37232.60938,0.5682199
1,2,16,0.015500001,0.011940639,0.029514389,0.000134419,34361.07813,0.576133072
1,2,17,0.016500001,0.011891617,0.030694906,0.000137704,30700.66016,0.574154377
1,2,18,0.017500001,0.012018928,0.031588599,0.000145532,26652.22852,0.57081151
1,2,19,0.018500001,0.01231132,0.032407142,0.000157849,22269.18945,0.562787354
1,2,20,0.019500001,0.012702428,0.033025812,0.00017689,18046.91992,0.557775796
1,2,21,0.020500001,0.013236653,0.033387788,0.00020313,14234.92969,0.545988143
1,2,22,0.021500001,0.013858929,0.033366706,0.000242115,10946.72949,0.5487113
1,2,23,0.022500001,0.01456122,0.033487447,0.000291248,8201.429688,0.53807354
1,2,24,0.023500001,0.015192655,0.033598557,0.000358864,6029.299805,0.523638785
1,2,25,0.024500001,0.015801206,0.033638202,0.000445324,4341.5,0.530341625
1,2,26,0.025500001,0.016654691,0.033292219,0.000583057,3063.069824,0.520700574
1,2,27,0.026500001,0.017574579,0.033189807,0.000739217,2067.22998,0.497597665
1,2,28,0.027500001,0.018492336,0.033060819,0.000954616,1393.26001,0.469147265
1,2,29,0.028500001,0.018694047,0.033379942,0.001211478,936.0599976,0.47958678
1,2,30,0.029500001,0.018567558,0.032980543,0.001594584,634.0199585,0.509431183
1,2,31,0.030500001,0.018797163,0.031887151,0.001977745,393.3599854,0.477873981
1,2,32,0.031500002,0.019897213,0.032418348,0.002585253,247.9599915,0.455001354
1,2,33,0.032500002,0.022717793,0.029802375,0.003501328,151.8899994,0.436796963
1,2,34,0.033500002,0.022096587,0.03145884,0.004706117,85.75999451,0.422289401
1,2,35,0.034500002,0.025078241,0.030658709,0.005469344,56.25,0.443217069
1,2,36,0.035500002,0.027479572,0.030436302,0.00749475,34.14999771,0.339340508
1,2,37,0.036500002,0.023648555,0.02685974,0.013026792,21.45999908,0.236188367
1,2,38,0.037500002,0.017672172,0.025488649,0.023463642,12.47999954,0.232834026
1,2,39,0.038500002,0.015595418,0.020899469,0.030230451,6.629999638,0.114213795
1,2,40,0.039500002,0.012509476,0.018831916,0.047697388,3.859999895,0.03988149
1,3,1,0.0005,2062.3125,0.033932813,323.5318909,508.7799988,0.318519265
1,3,2,0.0015,966.4824829,0.033932813,89.23094177,990.6699829,0.306433737
1,3,3,0.0025,790.9588013,0.033932813,300.3623352,1043.069946,0.628866613
1,3,4,0.0035,691.3605347,0.033932813,65.94473267,1378.27002,0.511776447
1,3,5,0.0045,908.3280029,0.033932813,471.895874,1598.679932,0.829394281
1,3,6,0.0055,774.7994995,0.033932813,78.22674561,1514.699951,0.597175241
1,3,7,0.0065,828.1033936,0.033932813,101.6459885,1409.119995,0.651699603
