Locus,Parameter-number,Bin,Age,Parameter-value,Parameter-Frequency,Standard-deviation,Counts-per-bin,Autocorrelation-per-bin
1,1,1,0.0005,0.191211388,0.000425665,0.010420494,712.4699707,-0.009178345
1,1,2,0.0015,0.32307604,0.001860362,0.014677825,1074.199951,0.013838591
1,1,3,0.0025,0.283653796,0.0036019,0.010611125,1462.079956,0.024865251
1,1,4,0.0035,0.197428316,0.005438675,0.00631022,1808.329956,0.043072052
1,1,5,0.0045,0.134281397,0.007472764,0.003844056,2204.679932,0.074914716
1,1,6,0.0055,0.091099873,0.009743427,0.002308527,2695.790039,0.106210195
1,1,7,0.0065,0.063138329,0.012335504,0.001498062,3177.23999,0.160867289
1,1,8,0.0075,0.045035806,0.015445783,0.001024803,3768.23999,0.24157384
1,1,9,0.0085,0.033963967,0.018880155,0.000779022,4700.699707,0.37612474
1,1,10,0.009500001,0.027344996,0.02250726,0.000634945,6384.699707,0.527042091
1,1,11,0.010500001,0.022455374,0.025582487,0.000505405,9370.299805,0.638258994
1,1,12,0.011500001,0.018719968,0.02851912,0.000399259,13443.18945,0.710743249
1,1,13,0.012500001,0.015916674,0.031002635,0.000307231,18183.62891,0.740580678
1,1,14,0.013500001,0.014066328,0.033144392,0.000248883,22203.58008,0.757039487
1,1,15,0.014500001,0.01295364,0.034815151,0.000218598,24518.33984,0.769843221
1,1,16,0.015500001,0.012382146,0.03596478,0.000195874,24676.59961,0.757599711
1,1,17,0.016500001,0.012146988,0.036873642,0.000190313,22903.38867,0.755624831
1,1,18,0.017500001,0.012195238,0.03730347,0.000194072,19950.79883,0.749099731
1,1,19,0.018500001,0.012461,0.037853491,0.000209337,16237.37988,0.742964327
1,1,20,0.019500001,0.012949107,0.038144566,0.000229308,12573.96973,0.728183508
1,1,21,0.020500001,0.013473113,0.038085818,0.000261732,9368.429688,0.722147465
1,1,22,0.021500001,0.01413573,0.037858725,0.000318868,6769.149902,0.732253492
1,1,23,0.022500001,0.014934746,0.038655724,0.000383669,4708.109863,0.722513735
1,1,24,0.023500001,0.015771378,0.038008433,0.000475084,3228.189941,0.719263494
1,1,25,0.024500001,0.016696377,0.038182914,0.000613367,2143.909912,0.724029601
1,1,26,0.025500001,0.017748097,0.038225859,0.000757113,1387.530029,0.713125348
1,1,27,0.026500001,0.01893851,0.038738612,0.001005977,862.8099976,0.709899724
1,1,28,0.027500001,0.020370964,0.037402786,0.001386808,541.3800049,0.708197653
1,1,29,0.028500001,0.021758147,0.037987303,0.00176888,321.269989,0.661649406
1,1,30,0.029500001,0.022939973,0.036946844,0.001738678,191.3099976,0.454900324
1,1,31,0.030500001,0.024342625,0.036719263,0.002787249,104.7099991,0.592316926
1,1,32,0.031500002,0.024509698,0.035205305,0.003423211,63.45999908,0.538913965
1,1,33,0.032500002,0.024161078,0.030593654,0.004601398,37.09999847,0.486041904
1,1,34,0.033500002,0.021830723,0.028615661,0.005206355,25.62999916,0.416297704
1,1,35,0.034500002,0.019376375,0.022540985,0.006917031,17.63999939,0.471466005
1,1,36,0.035500002,0.013329748,0.012268067,0.012256828,8.710000038,0.257641286
1,1,37,0.036500002,0.007701439,0.008558488,0.026377915,3.159999847,0.068611652
1,2,1,0.0005,0.069486871,0.000343047,0.00020186,240473.0313,0.006703945
1,2,2,0.0015,0.043358829,0.001396542,0.000306504,51694.91016,0.053621698
1,2,3,0.0025,0.026571151,0.002503711,0.000267067,33177.83984,0.156499431
1,2,4,0.0035,0.019853201,0.004118775,0.000220667,28954.33984,0.217744052
1,2,5,0.0045,0.015653724,0.006382247,0.000195429,27207.08984,0.300134957
1,2,6,0.0055,0.011759286,0.009224095,0.000160828,26839.12891,0.379593343
1,2,7,0.0065,0.008722469,0.012541433,0.000127128,26799.99023,0.453148037
1,2,8,0.0075,0.007026827,0.015972,0.000112325,25120.83008,0.527262747
1,2,9,0.0085,0.006322293,0.019241288,0.000109705,21412.21875,0.570896328
1,2,10,0.009500001,0.006370162,0.022779863,0.000126374,16810.16016,0.613375008
1,2,11,0.010500001,0.006869715,0.025515147,0.000150173,13108.89941,0.631189227
1,2,12,0.011500001,0.007764035,0.028360704,0.000180251,10742.41016,0.652272821
1,2,13,0.012500001,0.008830859,0.03112923,0.000201356,9697.009766,0.660859466
1,2,14,0.013500001,0.009589366,0.033635061,0.000204926,9587.069336,0.65775162
1,2,15,0.014500001,0.009923228,0.0358232,0.000197156,9868.30957,0.649146915
1,2,16,0.015500001,0.010043644,0.037157606,0.000198627,9892.200195,0.654687107
1,2,17,0.016500001,0.0103071,0.038012449,0.000201471,9298.929688,0.636918187
1,2,18,0.017500001,0.010694454,0.038408823,0.000217415,8230.799805,0.630396009
1,2,19,0.018500001,0.011110191,0.038734168,0.000245162,6876.889648,0.625457704
1,2,20,0.019500001,0.011750326,0.038536515,0.000288407,5478.600098,0.622312963
1,2,21,0.020500001,0.012334091,0.038511243,0.000343864,4219.149902,0.612404048
1,2,22,0.021500001,0.012837207,0.039300807,0.000417491,3148.189941,0.610098481
1,2,23,0.022500001,0.013747745,0.038891729,0.000516058,2254.629883,0.592797637
1,2,24,0.023500001,0.014578719,0.039031304,0.000647111,1542.77002,0.572738588
