Locus,Parameter-number,Bin,Age,Parameter-value,Parameter-Frequency,Standard-deviation,Counts-per-bin,Autocorrelation-per-bin
1,1,1,0.0005,0.195976332,0.000442618,0.011340168,658.3599854,-0.003042218
1,1,2,0.0015,0.333609462,0.001916795,0.016149875,998.7199707,0.027007939
1,1,3,0.0025,0.280213535,0.003645908,0.010979502,1350.359985,0.036288839
1,1,4,0.0035,0.195666596,0.005502425,0.00674532,1668.169922,0.048874933
1,1,5,0.0045,0.135120109,0.00755349,0.004684541,2041.039917,0.16125153
1,1,6,0.0055,0.089701094,0.009758253,0.002285028,2520.639893,0.105118386
1,1,7,0.0065,0.062529914,0.012235453,0.001515369,2996.26001,0.155774742
1,1,8,0.0075,0.045939859,0.015399588,0.001113407,3626.25,0.295919806
1,1,9,0.0085,0.035252545,0.018875983,0.000866209,4807.439941,0.447949261
1,1,10,0.009500001,0.027653217,0.022115201,0.000648484,6867.609863,0.5662902
1,1,11,0.010500001,0.022483531,0.02528201,0.00050815,10178.18945,0.668000937
1,1,12,0.011500001,0.018682672,0.028149633,0.000391385,14533.0498,0.720018208
1,1,13,0.012500001,0.015823828,0.030522483,0.000307475,19261.55859,0.752583623
1,1,14,0.013500001,0.01399578,0.032741554,0.000246947,22956.79883,0.758381426
1,1,15,0.014500001,0.012884315,0.034170754,0.000215186,24985.47852,0.76545006
1,1,16,0.015500001,0.012278405,0.035514906,0.000193577,24783.09961,0.755279064
1,1,17,0.016500001,0.012074225,0.036145706,0.000184941,22712.41016,0.743153393
1,1,18,0.017500001,0.012124108,0.036858004,0.000188937,19381.95898,0.735725343
1,1,19,0.018500001,0.0123747,0.037160244,0.000198569,15733.38965,0.721447885
1,1,20,0.019500001,0.012607529,0.037078861,0.000220444,11955.72949,0.712297738
1,1,21,0.020500001,0.01335401,0.037556861,0.000261271,8898.120117,0.723185659
1,1,22,0.021500001,0.014044903,0.037576802,0.000307143,6360.97998,0.709611535
1,1,23,0.022500001,0.014848779,0.037559357,0.000385984,4393.949707,0.72113198
1,1,24,0.023500001,0.01579939,0.037222099,0.000466882,2960.439941,0.707435131
1,1,25,0.024500001,0.016690621,0.037632722,0.000617536,1923.689941,0.728162825
1,1,26,0.025500001,0.01790214,0.037472341,0.000806193,1233.429932,0.725031436
1,1,27,0.026500001,0.018948058,0.036324315,0.001071719,765.4500122,0.723959327
1,1,28,0.027500001,0.019959591,0.037804116,0.001457605,477.4299927,0.726241827
1,1,29,0.028500001,0.021096224,0.035242282,0.001837033,288.1399841,0.68905139
1,1,30,0.029500001,0.02316248,0.037928712,0.002620417,158.2099915,0.685029388
1,1,31,0.030500001,0.024714166,0.036801089,0.002651071,101.409996,0.553137302
1,1,32,0.031500002,0.026098942,0.03727733,0.003594165,56.66999817,0.564751267
1,1,33,0.032500002,0.026000368,0.03508506,0.004391179,35.61999893,0.516138315
1,1,34,0.033500002,0.023945961,0.027441008,0.005871446,22.98999977,0.513988078
1,1,35,0.034500002,0.019510128,0.021964742,0.010741598,11.75,0.395373732
1,1,36,0.035500002,0.01647602,0.015918059,0.008394678,6.839999676,0.237099543
1,2,1,0.0005,0.064287603,0.000345973,0.000182987,250811.1719,0.005917143
1,2,2,0.0015,0.038445123,0.001407382,0.0002655,54344.48828,0.057436734
1,2,3,0.0025,0.023603728,0.002514628,0.000228002,35159.08984,0.162483454
1,2,4,0.0035,0.017613232,0.00411149,0.00019589,30162.08008,0.230397195
1,2,5,0.0045,0.014062343,0.006454716,0.000194928,27674.60938,0.359629154
1,2,6,0.0055,0.01040051,0.00925819,0.000143908,27122.58008,0.395331115
1,2,7,0.0065,0.007966245,0.012513629,0.000119552,26771.34961,0.470218211
1,2,8,0.0075,0.006755898,0.016005686,0.000110329,24191.49023,0.533329129
1,2,9,0.0085,0.006181698,0.019521982,0.000110716,20070.33008,0.577603638
1,2,10,0.009500001,0.006285813,0.022650549,0.000127121,15500.87988,0.612377465
1,2,11,0.010500001,0.006859516,0.025380814,0.000155584,11900.51953,0.633836329
1,2,12,0.011500001,0.007763566,0.028253872,0.0001883,9766.240234,0.654099286
1,2,13,0.012500001,0.008772164,0.03146214,0.000206167,8943.139648,0.654059231
1,2,14,0.013500001,0.009472072,0.033465818,0.000206592,9180.830078,0.65233618
1,2,15,0.014500001,0.009829641,0.035493288,0.00020149,9438.319336,0.648122907
1,2,16,0.015500001,0.010025657,0.037038114,0.000199709,9423.439453,0.6428532
1,2,17,0.016500001,0.010326442,0.037686646,0.000204489,8919.069336,0.630565822
1,2,18,0.017500001,0.010631814,0.037681691,0.00021633,8016,0.621440113
1,2,19,0.018500001,0.011034434,0.038653951,0.00024617,6674.069824,0.62281096
1,2,20,0.019500001,0.011601547,0.038359314,0.000285728,5334.120117,0.614562333
1,2,21,0.020500001,0.012149562,0.038712241,0.000344158,4053.189941,0.60969311
1,2,22,0.021500001,0.012939135,0.038471337,0.00042787,2919.209961,0.603298187
1,2,23,0.022500001,0.013940467,0.038452312,0.000544537,2011.75,0.581510544
1,2,24,0.023500001,0.014660777,0.038678452,0.000701478,1388.76001,0.578784585
1,2,25,0.024500001,0.016199766,0.038826946,0.00092154,891.9699707,0.538897336
1,2,26,0.025500001,0.017724546,0.038418181,0.001206348,579.5700073,0.504528225
1,2,27,0.026500001,0.018352671,0.038290903,0.001665853,363.1300049,0.500233948
1,2,28,0.027500001,0.020206055,0.03824649,0.002250113,217.5599976,0.462431908
1,2,29,0.028500001,0.021962388,0.038543806,0.00298644,130.8099976,0.468961299
1,2,30,0.029500001,0.022938732,0.037872654,0.003861221,83.47000122,0.478230029
1,2,31,0.030500001,0.023602206,0.038417183,0.005080595,46.29999924,0.404230863
1,2,32,0.031500002,0.024259731,0.038183358,0.005645729,29.76999855,0.327501148
1,2,33,0.032500002,0.023374625,0.028290017,0.00767898,16.90999985,0.170137063
1,2,34,0.033500002,0.016682062,0.022094645,0.011884533,7.619999886,0.202536628
1,2,35,0.034500002,0.012039377,0.015438313,0.015159872,6.199999809,0.304989338
1,2,36,0.035500002,0.029074943,0.010491842,0.162768796,4.480000019,0.003729865
1,2,37,0.036500002,0.026950665,0.008264043,0.40359652,2.349999905,0.000398576
1,3,1,0.0005,5270.006836,0.038174637,6145.598145,3.720000029,0.084872402
1,3,2,0.0015,1087.460083,0.039052215,916.2999878,8.349999428,0.300945938
1,3,3,0.0025,1078.813599,0.038613427,761.6530151,14.86999989,0.301999629
1,3,4,0.0035,998.8959351,0.042562526,7476.646973,21.32999992,0.854519427
1,3,5,0.0045,689.9920654,0.042123739,599.7022705,21.93000031,0.21983096
1,3,6,0.0055,667.3490601,0.043440104,226.2560883,25.62999916,0.345168293
1,3,7,0.0065,648.6068726,0.043878894,248.1651154,39.25,0.36005646
1,3,8,0.0075,670.4874878,0.043878894,199.4714813,48.22999954,0.293377757
1,3,9,0.0085,876.9885864,0.043878894,361.0271912,74.18000031,0.591921508
1,3,10,0.009500001,712.0388184,0.043878894,184.6000671,130.0299988,0.517416537
1,3,11,0.010500001,781.8449097,0.043878894,189.5574799,204.3499908,0.614596486
1,3,12,0.011500001,863.8407593,0.043878894,214.878891,273.7299805,0.632014513
1,3,13,0.012500001,811.6449585,0.043878894,152.2253571,276.5099792,0.623272538
1,3,14,0.013500001,824.0612793,0.043878894,173.1931915,254.4899902,0.645958602
1,3,15,0.014500001,1112.711792,0.043878894,407.5240784,194,0.651548326
1,3,16,0.015500001,983.5311279,0.043878894,363.53302,142.3999939,0.731568098
1,3,17,0.016500001,1155.57373,0.043878894,538.2902222,97.73999786,0.575098455
1,3,18,0.017500001,1497.215698,0.043878894,3580.973633,61.25999832,0.705065727
1,3,19,0.018500001,2991.564941,0.043878894,6717.153809,32.98999786,0.467215955
1,3,20,0.019500001,1528.4729,0.043878894,3861.299561,18.1099987,0.617282748
1,3,21,0.020500001,1311.192261,0.039929792,1434.979248,10.30000019,0.309109867
1,3,22,0.021500001,3412.749512,0.038613427,725.2304077,7.069999695,0.372871012
1,3,23,0.022500001,1173.673706,0.024572181,1600.23291,3.809999943,0.455362231
1,4,1,0.0005,2833.370605,0.042462844,809.1419678,94.30999756,0.162160054
1,4,2,0.0015,1513.143188,0.042462844,843.3387451,57.05999756,0.290849477
1,4,3,0.0025,2647.299072,0.040339701,4218.796387,32.63000107,0.716667056
1,4,4,0.0035,2877.710449,0.042038214,3625.771729,45.5,0.784113705
1,4,5,0.0045,6294.480957,0.042462844,2307.290283,136.9199982,0.783872306
1,4,6,0.0055,4517.355957,0.042462844,1942.460205,509.8699951,0.881210685
1,4,7,0.0065,4672.68457,0.042462844,4940.564453,1361.449951,0.974181652
1,4,8,0.0075,3244.191162,0.042462844,537.3063354,2620.550049,0.934129477
1,4,9,0.0085,2780.952393,0.042462844,1521.160767,3992.219971,0.976076484
1,4,10,0.009500001,2130.5896,0.042462844,273.8528137,5057.649902,0.939342141
1,4,11,0.010500001,1623.173828,0.042462844,183.0960236,5384.989746,0.937350988
1,4,12,0.011500001,1301.279297,0.042462844,157.7490082,5065.919922,0.940608919
1,4,13,0.012500001,1256.478516,0.042462844,204.6319122,4282.339844,0.939228475
1,4,14,0.013500001,1129.883301,0.042462844,155.3597565,3203.52002,0.932606041
1,4,15,0.014500001,1120.581421,0.042462844,195.4831238,2176.449951,0.929622173
1,4,16,0.015500001,1155.163452,0.042462844,237.6156311,1282.26001,0.917204142
1,4,17,0.016500001,1117.621582,0.042462844,327.1357117,732.6900024,0.916822135
1,4,18,0.017500001,1188.745605,0.042462844,372.1583252,403.1699829,0.898946047
1,4,19,0.018500001,1229.022827,0.042462844,416.7787476,208.3699951,0.784200966
1,4,20,0.019500001,1484.802979,0.042038214,1317.097534,102.3199997,0.900064051
1,4,21,0.020500001,1310.375977,0.041188959,830.8569336,61.39999771,0.519624651
1,4,22,0.021500001,2660.248047,0.038216561,17572.62891,29.53999901,0.781946182
1,4,23,0.022500001,2555.638184,0.028874734,2615.787109,11.25,0.806008518
