Locus,Parameter-number,Bin,Age,Parameter-value,Parameter-Frequency,Standard-deviation,Counts-per-bin,Autocorrelation-per-bin
1,1,1,0.0005,0.1994486,0.000430604,0.012267884,668.8499756,0.021058198
1,1,2,0.0015,0.330428451,0.001898231,0.015315178,997.1300049,0.009378675
1,1,3,0.0025,0.279287189,0.003607376,0.010658197,1368.929932,0.023187829
1,1,4,0.0035,0.197218984,0.005466541,0.006463021,1705.02002,0.034594961
1,1,5,0.0045,0.133775666,0.007499951,0.003935568,2070.599854,0.06949839
1,1,6,0.0055,0.089075305,0.009823377,0.002347585,2497.439941,0.103562094
1,1,7,0.0065,0.060929775,0.012284033,0.001465775,3004.26001,0.163899064
1,1,8,0.0075,0.0445632,0.015362151,0.001064044,3656.719971,0.280558884
1,1,9,0.0085,0.034417648,0.018897075,0.000818783,4728.850098,0.418863267
1,1,10,0.009500001,0.027680313,0.022398792,0.000640288,6720.810059,0.559793592
1,1,11,0.010500001,0.022628931,0.025510127,0.000510761,9931.349609,0.663026452
1,1,12,0.011500001,0.018564764,0.028357668,0.000384338,14532.31934,0.718042433
1,1,13,0.012500001,0.015761536,0.031036511,0.000300022,19222.96875,0.747517347
1,1,14,0.013500001,0.013981965,0.033337727,0.000247215,22960.25,0.7635203
1,1,15,0.014500001,0.012938917,0.034713816,0.000211359,24965.22852,0.76140976
1,1,16,0.015500001,0.012358923,0.035887864,0.000192509,24884.05859,0.756040335
1,1,17,0.016500001,0.01214282,0.036464162,0.000182706,22986.13867,0.741349876
1,1,18,0.017500001,0.012188477,0.037075166,0.00019016,19628.55859,0.742422164
1,1,19,0.018500001,0.012472579,0.037666,0.000202291,15825.88965,0.730648041
1,1,20,0.019500001,0.012924071,0.037665151,0.000226615,12206.16016,0.726486981
1,1,21,0.020500001,0.013580072,0.037780684,0.000252472,8977.30957,0.70505017
1,1,22,0.021500001,0.01429865,0.038120884,0.000314506,6370.189941,0.725063384
1,1,23,0.022500001,0.015242183,0.037926413,0.000369126,4406.089844,0.703686178
1,1,24,0.023500001,0.015841344,0.037928097,0.000478528,2930.829834,0.719297767
1,1,25,0.024500001,0.016719591,0.038143653,0.000603757,1934.25,0.719471216
1,1,26,0.025500001,0.017805355,0.037335396,0.000769562,1220.76001,0.701921344
1,1,27,0.026500001,0.018925481,0.037899386,0.001032887,753.4899902,0.705575109
1,1,28,0.027500001,0.020599548,0.037056558,0.001321347,471.8999939,0.70942986
1,1,29,0.028500001,0.022502767,0.038120266,0.001767932,278.3599854,0.679614961
1,1,30,0.029500001,0.023430208,0.037442945,0.00227937,178.1999969,0.646353126
1,1,31,0.030500001,0.025236337,0.037451144,0.002699551,106.4899979,0.606835902
1,1,32,0.031500002,0.025658369,0.037424456,0.003334109,67.65000153,0.583290815
1,1,33,0.032500002,0.026564727,0.031811517,0.004109118,40.95999908,0.494994015
1,1,34,0.033500002,0.018837357,0.025997339,0.006118288,23.72999954,0.536158204
1,1,35,0.034500002,0.015046825,0.018006129,0.009602749,12.96999931,0.482636452
1,1,36,0.035500002,0.010966978,0.013645986,0.024039989,5.929999828,0.472263187
1,1,37,0.036500002,0.007229331,0.009353315,0.028332098,3.5,0.288727939
1,2,1,0.0005,0.06703008,0.00034104,0.000190476,249393.4688,0.005834445
1,2,2,0.0015,0.040997129,0.001394239,0.000284072,53596.75,0.056362312
1,2,3,0.0025,0.024963806,0.002491294,0.000236764,35185.39063,0.149228156
1,2,4,0.0035,0.018732594,0.004105734,0.000203089,30687.49023,0.223515198
1,2,5,0.0045,0.014654535,0.006328648,0.000181501,28672.61914,0.311867297
1,2,6,0.0055,0.010780931,0.009165946,0.000144506,28400.14844,0.390824735
1,2,7,0.0065,0.008200838,0.012370416,0.000118786,27721.03906,0.463153541
1,2,8,0.0075,0.006783099,0.015704727,0.000108344,24943.82031,0.529072583
1,2,9,0.0085,0.006315867,0.019179959,0.000112673,20210.71875,0.574470878
1,2,10,0.009500001,0.006390654,0.022422735,0.000129815,15449.0498,0.604172826
1,2,11,0.010500001,0.007008246,0.025289252,0.00016179,11824.7998,0.630539835
1,2,12,0.011500001,0.008033612,0.028339194,0.000197356,9848,0.652300179
1,2,13,0.012500001,0.008991796,0.030858241,0.000212029,9309.299805,0.661273539
1,2,14,0.013500001,0.009606767,0.033514414,0.000207986,9505.740234,0.658870459
1,2,15,0.014500001,0.009947964,0.035680722,0.000202845,9615.5,0.651414216
1,2,16,0.015500001,0.01008452,0.036746509,0.000200657,9660.179688,0.651530683
1,2,17,0.016500001,0.010330491,0.037701089,0.000205772,9046.169922,0.641296029
1,2,18,0.017500001,0.010691317,0.037501011,0.000223165,8020.069824,0.637955129
1,2,19,0.018500001,0.011110849,0.038471364,0.000253754,6594.399902,0.633897066
1,2,20,0.019500001,0.011842677,0.039394505,0.000295259,5050.549805,0.615134597
1,2,21,0.020500001,0.012593512,0.03865983,0.000357962,3864,0.610390365
1,2,22,0.021500001,0.013409659,0.03816966,0.000440827,2775.099854,0.583453655
1,2,23,0.022500001,0.01420786,0.03908708,0.00054917,1938.890015,0.563843727
1,2,24,0.023500001,0.015353212,0.038342439,0.000712122,1289.099976,0.533120453
1,2,25,0.024500001,0.016607888,0.03779348,0.000950486,829.6499634,0.524119437
1,2,26,0.025500001,0.01777833,0.038781405,0.001269234,522.9699707,0.500627458
1,2,27,0.026500001,0.019273646,0.038537677,0.001866907,338.7599792,0.498766542
1,2,28,0.027500001,0.019512411,0.039254822,0.002525403,225.6299896,0.522244215
1,2,29,0.028500001,0.021667799,0.038752027,0.004036713,143.1999969,0.515190303
1,2,30,0.029500001,0.024498096,0.040606283,0.00605654,89.47999573,0.481310487
1,2,31,0.030500001,0.026128847,0.037094995,0.007985479,61.3599968,0.47502777
1,2,32,0.031500002,0.024871681,0.033049382,0.013339642,36.13999939,0.441873133
1,2,33,0.032500002,0.025713293,0.030866923,0.01658964,17.86999893,0.34797743
1,2,34,0.033500002,0.01744874,0.021985874,0.016925607,11.75,0.304503322
1,2,35,0.034500002,0.009525591,0.016823307,0.013649057,6.609999657,0.083859533
1,2,36,0.035500002,0.005726328,0.011337662,0.009561571,3.720000029,0.130437598
1,2,37,0.036500002,0.003890595,0.007023573,0.017753545,1.849999905,0.075560607
1,3,1,0.0005,7903.696289,0.038779955,8284.151367,3.980000019,0.193564773
1,3,2,0.0015,2730.010254,0.039651416,4623.239746,9.170000076,0.429861456
1,3,3,0.0025,1559.33313,0.040087145,1610.788818,14.22999954,0.606921971
1,3,4,0.0035,684.9006958,0.041394334,310.5688477,19.90999985,0.391955763
1,3,5,0.0045,645.00177,0.040522877,404.3963318,26.12999916,0.331937462
1,3,6,0.0055,909.847168,0.042701524,1217.983887,33.21999741,0.738138139
1,3,7,0.0065,808.8880005,0.043572985,1032.517456,48.22999954,0.484337121
1,3,8,0.0075,1099.866699,0.043572985,669.6882324,59.39999771,0.428374499
1,3,9,0.0085,738.6663818,0.043572985,442.8290405,84.20999908,0.68964994
1,3,10,0.009500001,755.6757813,0.043572985,177.8643646,144.2799988,0.524295867
1,3,11,0.010500001,796.7914429,0.043572985,205.0900879,203.0699921,0.655270934
1,3,12,0.011500001,895.7590332,0.043572985,205.7341309,275.1000061,0.674892306
1,3,13,0.012500001,796.4643555,0.043572985,148.8652344,287.1499939,0.638620377
1,3,14,0.013500001,885.8430176,0.043572985,210.334549,246.75,0.688116908
1,3,15,0.014500001,925.739563,0.043572985,237.850647,191.4599915,0.643250048
1,3,16,0.015500001,961.4599609,0.043572985,349.8600769,131.5999908,0.722245753
1,3,17,0.016500001,1008.927002,0.043572985,393.3216858,89.72999573,0.69574362
1,3,18,0.017500001,1390.532471,0.043572985,744.5997925,50.84999847,0.558102906
1,3,19,0.018500001,1365.691528,0.043572985,1978.269775,28.86999893,0.491751969
1,3,20,0.019500001,1085.378784,0.042701524,754.3834229,17.37999916,0.344064802
1,3,21,0.020500001,2410.632813,0.040522877,5368.899902,11.46999931,0.652224541
1,4,1,0.0005,2589.437256,0.042194095,3384.888428,87.22000122,0.409837484
1,4,2,0.0015,1933.779175,0.04177215,1098.027222,48.18999863,0.408209443
1,4,3,0.0025,1884.118896,0.040084388,1191.028076,36.86999893,0.391222954
1,4,4,0.0035,2878.654053,0.040928271,1518.632568,41.02000046,0.304321557
1,4,5,0.0045,3002.73584,0.042194095,1474.384277,96.25999451,0.791305244
1,4,6,0.0055,3577.864258,0.042194095,1895.757446,434.8199768,0.91856122
1,4,7,0.0065,4018.294678,0.042194095,1169.801758,1315.419922,0.936626077
1,4,8,0.0075,3514.528564,0.042194095,632.3466187,2658.199951,0.939259112
1,4,9,0.0085,2532.361084,0.042194095,362.0048218,4027.469971,0.942699492
1,4,10,0.009500001,1922.767456,0.042194095,233.1098938,4937.810059,0.939282358
1,4,11,0.010500001,1600.405884,0.042194095,186.6494446,5379.429688,0.935037613
1,4,12,0.011500001,1293.659302,0.042194095,147.6853027,5136.169922,0.939735532
1,4,13,0.012500001,1201.921509,0.042194095,172.3346405,4279.959961,0.942418814
1,4,14,0.013500001,1096.822632,0.042194095,167.2712555,3129.050049,0.937469006
1,4,15,0.014500001,1123.034912,0.042194095,198.1685333,2128.829834,0.931773007
1,4,16,0.015500001,1177.849243,0.042194095,324.4498901,1326.75,0.937256634
1,4,17,0.016500001,1138.727661,0.042194095,325.7510986,747.3099976,0.924823403
1,4,18,0.017500001,1098.651245,0.04177215,454.4226074,419.1099854,0.901735425
1,4,19,0.018500001,1052.308472,0.042194095,640.456604,201.1499939,0.880910277
1,4,20,0.019500001,2872.379639,0.042194095,2846.726318,100.2900009,0.911455274
1,4,21,0.020500001,1610.021973,0.04177215,4476.696289,56.77000046,0.922571957
1,4,22,0.021500001,1159.292114,0.037552744,1405.981201,19.69999886,0.786798477
