Locus,Parameter-number,Bin,Age,Parameter-value,Parameter-Frequency,Standard-deviation,Counts-per-bin,Autocorrelation-per-bin
1,1,1,0.0005,0.141470462,0.000205128,0.001156809,19281.16992,0.00442684
1,1,2,0.0015,0.186108336,0.001328042,0.002932081,6060.369629,0.040498994
1,1,3,0.0025,0.182835534,0.003001738,0.003858532,3320.919922,0.080679901
1,1,4,0.0035,0.153985068,0.004774463,0.003334721,2835.339844,0.150460184
1,1,5,0.0045,0.132901505,0.0065474,0.002805965,2850.409912,0.233268797
1,1,6,0.0055,0.116366081,0.008050162,0.00269392,2952.109863,0.332113147
1,1,7,0.0065,0.102081753,0.009474062,0.00240106,3024.859863,0.355851919
1,1,8,0.0075,0.091098443,0.010969129,0.002087505,3187.01001,0.36934796
1,1,9,0.0085,0.084007911,0.012623923,0.001936082,3393.419922,0.394301146
1,1,10,0.009500001,0.077659331,0.01399376,0.001727378,3786.899902,0.396060765
1,1,11,0.010500001,0.071191594,0.015012903,0.00154828,4369.929688,0.424450636
1,1,12,0.011500001,0.064973392,0.015717616,0.001353191,5171.859863,0.447331488
1,1,13,0.012500001,0.058446605,0.016142221,0.001139023,6455.339844,0.486345977
1,1,14,0.013500001,0.052883744,0.016712314,0.00094642,8012.790039,0.512258351
1,1,15,0.014500001,0.048400383,0.017295312,0.000789634,9967.330078,0.541584253
1,1,16,0.015500001,0.044204116,0.018070478,0.000662859,12382.20996,0.573287249
1,1,17,0.016500001,0.040442746,0.0187077,0.000567701,15232.08008,0.611335516
1,1,18,0.017500001,0.037251648,0.019514103,0.000502848,18264.50977,0.650521994
1,1,19,0.018500001,0.034491383,0.020078013,0.000457549,21493.87891,0.687805593
1,1,20,0.019500001,0.032038227,0.020538682,0.00041878,24690.67969,0.712423205
1,1,21,0.020500001,0.029926924,0.020828869,0.000383105,27756.25977,0.725624263
1,1,22,0.021500001,0.02805792,0.020983398,0.00035378,30432.01953,0.733184397
1,1,23,0.022500001,0.026509907,0.021256652,0.000331347,32223.28906,0.736244083
1,1,24,0.023500001,0.025186427,0.021412442,0.000310919,33358.57813,0.734154463
1,1,25,0.024500001,0.02418278,0.021488214,0.000295932,33547.09766,0.729676068
1,1,26,0.025500001,0.023354765,0.021494212,0.000278924,32808.75781,0.713983238
1,1,27,0.026500001,0.022738036,0.021538355,0.000275755,31084.2793,0.713298082
1,1,28,0.027500001,0.022367718,0.021597233,0.00027501,28682.69922,0.708086133
1,1,29,0.028500001,0.02222931,0.021525368,0.000276511,25898.69922,0.701298297
1,1,30,0.029500001,0.022275515,0.021466248,0.000278954,22715.95898,0.686047971
1,1,31,0.030500001,0.022463718,0.021427359,0.000290755,19488.07031,0.683238983
1,1,32,0.031500002,0.022776876,0.021464307,0.000304942,16382.95996,0.675579965
1,1,33,0.032500002,0.023259878,0.021378188,0.000330888,13521.2998,0.67636925
1,1,34,0.033500002,0.023905231,0.02133088,0.000364735,10957.79004,0.678292394
1,1,35,0.034500002,0.024680726,0.021181421,0.000395962,8734.219727,0.663949966
1,1,36,0.035500002,0.025439842,0.021228468,0.000452441,6812.679688,0.667907298
1,1,37,0.036500002,0.026186556,0.021104192,0.000529331,5316.149902,0.677430093
1,1,38,0.037500002,0.027160147,0.020986259,0.000605784,4065.299805,0.663552463
1,1,39,0.038500002,0.028082263,0.020796029,0.000715668,3081.079834,0.665485799
1,1,40,0.039500002,0.029150037,0.020859757,0.000842282,2297.27002,0.652953148
1,1,41,0.040500002,0.030175848,0.020829426,0.001040075,1695.159912,0.669370234
1,1,42,0.041500002,0.031583849,0.020634031,0.001218841,1245.199951,0.646673441
1,1,43,0.042500002,0.032356914,0.020313978,0.001445803,893.1999512,0.629070103
1,1,44,0.043500002,0.033776939,0.020231934,0.00178841,638.3200073,0.621935606
1,1,45,0.044500002,0.035300937,0.020585539,0.002193782,444.6300049,0.598652422
1,1,46,0.045500002,0.036739897,0.020848526,0.002690941,311.9199829,0.592876852
1,1,47,0.046500002,0.037973333,0.019904207,0.003178359,221.6900024,0.554742217
1,1,48,0.047500002,0.039764479,0.019297456,0.003998919,149.7799988,0.5281533
1,1,49,0.048500002,0.043501481,0.020361483,0.00468417,101.3499985,0.483505368
1,1,50,0.049500002,0.044303112,0.020843785,0.005865968,69.22000122,0.452500403
1,1,51,0.050500002,0.044576868,0.019650945,0.007140087,50.09999847,0.50514555
1,1,52,0.051500002,0.044366188,0.01990333,0.007947327,36.45000076,0.477733195
1,1,53,0.052500003,0.043553498,0.01666088,0.00985302,22.78999901,0.391393036
1,1,54,0.053500003,0.042147439,0.017427463,0.012708825,13.90999985,0.357700497
1,1,55,0.054500003,0.035966635,0.015187744,0.015345156,9.279999733,0.284520418
1,1,56,0.055500003,0.029149095,0.011881192,0.018429732,6.420000076,0.228193164
1,1,57,0.056500003,0.020879425,0.008422798,0.022490734,4.489999771,0.067729496
1,1,58,0.057500003,0.013373406,6.16E-03,3.28E-02,2.99000001,0.141765043
1,2,1,0.0005,0.001987688,6.53357E-05,5.68E-06,334986.2813,0.041988455
1,2,2,0.0015,0.001524085,9.40E-04,2.41E-05,28265.2793,0.373240084
1,2,3,0.0025,0.0015838,0.002041883,2.95E-05,17102.21875,0.418238401
1,2,4,0.0035,0.002011655,0.003338282,4.97E-05,9922.919922,0.431505114
1,2,5,0.0045,0.00266234,0.004908038,9.61E-05,4844.879883,0.442079932
1,2,6,0.0055,0.003371949,0.006749074,0.000178154,2168.820068,0.443625718
1,2,7,0.0065,0.004594375,0.009134367,0.000404864,898.0899658,0.462565064
1,2,8,0.0075,0.005331689,0.011314103,0.000770133,381.75,0.486565173
1,2,9,0.0085,0.009293316,0.012846808,0.005315411,167.1799927,0.384543091
1,2,10,0.009500001,0.009535825,0.014445805,0.007334789,110.9700012,0.283968329
1,2,11,0.010500001,0.012333113,0.019551443,0.004259656,144.8399963,0.318628252
1,2,12,0.011500001,0.011765166,0.018154573,0.002259449,231.4299927,0.396223754
1,2,13,0.012500001,0.009668818,0.018743046,0.001452404,328.4299927,0.409699112
1,2,14,0.013500001,0.009285519,0.01971877,0.001250023,466.0899963,0.405803472
1,2,15,0.014500001,0.009189427,0.021752346,0.001103806,545.2699585,0.377079576
1,2,16,0.015500001,0.007548319,0.022075322,0.000906642,624.0199585,0.37637654
1,2,17,0.016500001,0.00740261,0.021653419,0.000824511,667.4400024,0.406771958
1,2,18,0.017500001,0.008215645,0.022918107,0.000716108,698.8099976,0.3432419
1,2,19,0.018500001,0.007382629,0.02237615,0.000599585,758.2199707,0.542927384
1,2,20,0.019500001,0.007237856,0.023501217,0.000534591,854.6199951,0.564776897
1,2,21,0.020500001,0.006986546,0.02412534,0.000495872,905.1399536,0.567873597
1,2,22,0.021500001,0.007182309,0.023542371,0.000458374,986.1199951,0.578454614
1,2,23,0.022500001,0.006704554,0.024441423,0.000434561,1116.809937,0.651757658
1,2,24,0.023500001,0.006686898,0.02430946,0.0003891,1247.429932,0.641442716
1,2,25,0.024500001,0.006492961,0.0237893,0.000366805,1396.380005,0.641990423
1,2,26,0.025500001,0.00655447,0.024408452,0.000371278,1428.369995,0.655400395
1,2,27,0.026500001,0.006656418,0.024208402,0.000374089,1430.51001,0.649786592
1,2,28,0.027500001,0.00659264,0.024571082,0.000371664,1472.659912,0.666585147
1,2,29,0.028500001,0.00644174,0.023819733,0.000374972,1480.51001,0.668673813
1,2,30,0.029500001,0.006540845,0.023912527,0.000379924,1444.73999,0.675278723
1,2,31,0.030500001,0.006334765,0.024197131,0.000391697,1385.650024,0.698137105
1,2,32,0.031500002,0.006490082,0.024182985,0.000418618,1221.48999,0.701939106
1,2,33,0.032500002,0.006428642,0.024322452,0.000428627,1125.459961,0.695089936
1,2,34,0.033500002,0.006569247,0.024491306,0.000474908,940.0099487,0.685467422
1,2,35,0.034500002,0.006523695,0.024114039,0.000522893,771.1699829,0.685091794
1,2,36,0.035500002,0.006671467,0.024660572,0.000623994,599.3999634,0.709423363
1,2,37,0.036500002,0.006856337,0.02406726,0.000694353,475.2200012,0.666030109
1,2,38,0.037500002,0.006781099,0.024050182,0.000821,363.3199768,0.679053843
1,2,39,0.038500002,0.006824955,0.024438247,0.000924601,287.7299805,0.685057759
1,2,40,0.039500002,0.006548621,0.024084263,0.000999477,218.8999939,0.652197063
1,2,41,0.040500002,0.006728168,0.022273917,0.001149634,159.5,0.653383613
1,2,42,0.041500002,0.0063679,0.022720439,0.00114629,115.2099991,0.620250762
1,2,43,0.042500002,0.006198449,0.023366341,0.001186442,89.87999725,0.61299324
1,2,44,0.043500002,0.006453688,0.023397556,0.001558264,66.33000183,0.659284413
1,2,45,0.044500002,0.006110292,0.024237901,0.001890757,49.2899971,0.637274981
1,2,46,0.045500002,0.006280802,0.024964521,0.002448841,32.97999954,0.604559422
1,2,47,0.046500002,0.005407751,0.01912247,0.002483082,22.60000038,0.509564459
1,2,48,0.047500002,0.004521882,0.01765066,0.002042712,19.86999893,0.382847071
1,2,49,0.048500002,0.003193609,0.014985379,0.002795705,19.60000038,0.675163388
1,2,50,0.049500002,0.002542665,0.012413653,0.002699447,10.07999992,0.406706959
1,2,51,0.050500002,0.001941866,0.008333833,0.00385546,4.710000038,0.240280137
1,2,52,0.051500002,0.001717067,0.006346718,0.007250564,3.230000019,0.169274077
1,2,53,0.052500003,0.001497144,0.005653776,0.011540681,1.779999971,0.009982911
1,3,1,0.0005,3566.633789,0.0174482,3559.688965,4.679999828,0.223291099
1,3,2,0.0015,242.1203308,0.019356597,1122.788818,12.03999996,0.772369266
1,3,3,0.0025,639.8587646,0.023718648,343.3424072,19.02999878,0.407987952
1,3,4,0.0035,2328.089111,0.024809159,946.4647827,27.89999962,0.656827509
1,3,5,0.0045,970.2540894,0.025081787,908.050293,20.71999931,0.383890897
1,3,6,0.0055,694.6077271,0.024536531,940.5408936,27.59999847,0.762233317
1,3,7,0.0065,334.0626526,0.026172301,233.3814545,40.38999939,0.619753957
1,3,8,0.0075,441.43396,0.026990185,241.3356171,43.29000092,0.704905927
1,3,9,0.0085,287.2062683,0.026990185,616.3897095,53.91999817,0.873884022
1,3,10,0.009500001,342.9510498,0.027262814,255.806427,65.30999756,0.830675781
1,3,11,0.010500001,285.0986328,0.027262814,1702.405151,71.43000031,0.957680643
1,3,12,0.011500001,151.3058014,0.027262814,92.73271942,77.20999908,0.7974388
1,3,13,0.012500001,113.0206909,0.027262814,61.57891846,80.48999786,0.555723846
1,3,14,0.013500001,154.6452789,0.027262814,61.66119766,109.8999939,0.769859552
1,3,15,0.014500001,196.63974,0.027262814,174.8735657,114.7399979,0.661881506
1,3,16,0.015500001,172.7746582,0.027262814,65.79897308,145.5200043,0.802947879
1,3,17,0.016500001,183.6695709,0.027262814,63.44236374,144.8199921,0.748198628
1,3,18,0.017500001,247.1964569,0.027262814,111.6720963,160.2899933,0.830064654
1,3,19,0.018500001,206.4498596,0.027262814,67.43203735,169.0899963,0.786260128
1,3,20,0.019500001,226.3035431,0.027262814,55.26519394,179.8600006,0.686322928
1,3,21,0.020500001,242.0226898,0.027262814,70.50786591,181.0099945,0.759725094
1,3,22,0.021500001,276.1073608,0.027262814,73.19262695,184.3899994,0.737336814
1,3,23,0.022500001,336.7913513,0.027262814,149.0581665,168.6699982,0.743727267
1,3,24,0.023500001,439.6354675,0.027262814,1405.66333,153.1399994,0.93833065
1,3,25,0.024500001,360.2042542,0.027262814,113.9672241,134.75,0.690387666
1,3,26,0.025500001,369.7341614,0.027262814,138.2772827,120.7299957,0.749245584
1,3,27,0.026500001,379.2368164,0.027262814,133.646286,97.13999939,0.72487098
1,3,28,0.027500001,462.2280884,0.027262814,668.3823853,80.20999908,0.804454088
1,3,29,0.028500001,360.775238,0.027262814,118.3479462,57.36999893,0.627802014
1,3,30,0.029500001,720.6392822,0.027262814,792.8591919,41.27000046,0.704509735
1,3,31,0.030500001,991.6108398,0.027262814,1139.504517,31.87999916,0.565579295
1,3,32,0.031500002,1763.123901,0.026990185,4480.020996,24.63999939,0.651950479
1,3,33,0.032500002,570.9689331,0.026717557,399.7625122,17.38999939,0.624033094
1,3,34,0.033500002,600.3322754,0.025081787,465.9325867,10.25,0.322467178
1,3,35,0.034500002,683.289856,0.02181025,661.527771,8.760000229,0.478554696
1,3,36,0.035500002,467.0220947,0.020174483,835.9279175,5.559999943,0.507956028
1,4,1,0.0005,226895.9531,0.019077901,1124207.5,10.63000011,0.735116541
1,4,2,0.0015,36776.16406,0.023052465,62399.86719,29.01999855,0.703211904
1,4,3,0.0025,7085.359863,0.026232114,5875.026367,148.7200012,0.912380993
1,4,4,0.0035,2231.938965,0.026497085,2269.911865,355.6600037,0.838910341
1,4,5,0.0045,1326.768433,0.026497085,571.819397,545.2000122,0.709828675
1,4,6,0.0055,1140.140503,0.026497085,557.8132935,883.0700073,0.929538429
1,4,7,0.0065,1647.987671,0.026497085,4331.81543,1060.569946,0.946780086
1,4,8,0.0075,1030.359619,0.026497085,419.0693054,1508.76001,0.952051282
1,4,9,0.0085,957.9104614,0.026497085,397.4457703,1768,0.950875104
1,4,10,0.009500001,818.9648438,0.026497085,214.8201904,2013.219971,0.941888988
1,4,11,0.010500001,979.9815674,0.026497085,461.2629089,2583.72998,0.940427363
1,4,12,0.011500001,835.1464844,0.026497085,158.3435211,2881.949951,0.939437866
