Locus,Parameter-number,Bin,Age,Parameter-value,Parameter-Frequency,Standard-deviation,Counts-per-bin,Autocorrelation-per-bin
1,1,1,0.0005,0.139669433,0.000201188,0.001105849,20686.74023,0.002680977
1,1,2,0.0015,0.185222238,0.001348382,0.00280248,6294.509766,0.026318179
1,1,3,0.0025,0.179100037,0.003008286,0.003711605,3631.559814,0.085200533
1,1,4,0.0035,0.149530679,0.004781283,0.003052541,3173.169922,0.148444563
1,1,5,0.0045,0.132735446,0.006617476,0.002682123,3213.23999,0.237882182
1,1,6,0.0055,0.116034441,0.00808196,0.002458091,3281.25,0.319004744
1,1,7,0.0065,0.101015039,0.009451057,0.002188156,3355.780029,0.356948793
1,1,8,0.0075,0.091124483,0.01111408,0.002049012,3418.189941,0.388238519
1,1,9,0.0085,0.083283782,0.012662637,0.001851042,3673.540039,0.392295569
1,1,10,0.009500001,0.076572061,0.014038963,0.001677183,4078.139893,0.408782184
1,1,11,0.010500001,0.070135228,0.014855601,0.001500138,4709.75,0.434529156
1,1,12,0.011500001,0.063920379,0.015642805,0.001302341,5574.069824,0.46249029
1,1,13,0.012500001,0.058103412,0.01635786,0.001112229,6678.189941,0.48830244
1,1,14,0.013500001,0.052802648,0.01676272,0.00091589,8269.280273,0.506198645
1,1,15,0.014500001,0.048120722,0.017375404,0.000765958,10251.35938,0.538169563
1,1,16,0.015500001,0.044005774,0.018004378,0.000648297,12768.89941,0.575345099
1,1,17,0.016500001,0.040417489,0.018721728,0.000562269,15570.06934,0.615715861
1,1,18,0.017500001,0.037230246,0.019414432,0.000501479,18588.24023,0.654904604
1,1,19,0.018500001,0.034318481,0.019970026,0.000452076,21875.20898,0.689136505
1,1,20,0.019500001,0.03187488,0.020436706,0.000415483,25103.16992,0.715530872
1,1,21,0.020500001,0.029789176,0.020800103,0.000383785,28076.5,0.730397761
1,1,22,0.021500001,0.027917156,0.020986343,0.000353548,30710.43945,0.735662043
1,1,23,0.022500001,0.026330525,0.021143537,0.000329642,32624.88867,0.737526774
1,1,24,0.023500001,0.025045244,0.02124358,0.000307268,33640.64844,0.731131554
1,1,25,0.024500001,0.023937991,0.021339683,0.000288695,33712.85938,0.722660482
1,1,26,0.025500001,0.023019433,0.021390542,0.000275816,32841.55859,0.714544058
1,1,27,0.026500001,0.02243939,0.021425417,0.000267747,31042.54883,0.705221474
