Locus,Parameter-number,Bin,Age,Parameter-value,Parameter-Frequency,Standard-deviation,Counts-per-bin,Autocorrelation-per-bin
1,1,1,0.0005,0.142249927,0.000200537,0.001115252,20045.83984,0.002858645
1,1,2,0.0015,0.179171309,0.001254602,0.002636754,6585.330078,0.026426559
1,1,3,0.0025,0.174094215,0.002849476,0.003753876,3337.709961,0.086469837
1,1,4,0.0035,0.153569803,0.00474671,0.00334741,2890.949951,0.164431483
1,1,5,0.0045,0.130451605,0.006476719,0.002751534,2926.27002,0.251820296
1,1,6,0.0055,0.115038537,0.007965167,0.002515881,2980.849854,0.320585489
1,1,7,0.0065,0.102564685,0.009448251,0.002358167,3021.399902,0.357179046
1,1,8,0.0075,0.092615284,0.010998115,0.002220817,3107.849854,0.383777648
1,1,9,0.0085,0.086330898,0.012538516,0.001990052,3359.159912,0.372901946
1,1,10,0.009500001,0.083047643,0.01413983,0.001829397,3782.699951,0.384701908
1,1,11,0.010500001,0.080106393,0.015438846,0.001678736,4469.459961,0.419864714
1,1,12,0.011500001,0.075542554,0.016216088,0.001505649,5427.909668,0.459042907
1,1,13,0.012500001,0.070194833,0.016632145,0.001336527,6653.379883,0.49662745
1,1,14,0.013500001,0.063597061,0.016860018,0.001140921,8302.280273,0.530888796
1,1,15,0.014500001,0.056751072,0.017278904,0.00095555,10356.17969,0.564069986
1,1,16,0.015500001,0.050269425,0.017759614,0.000802323,12961.37988,0.601717353
1,1,17,0.016500001,0.044939235,0.018342201,0.000673019,15841.58984,0.637393653
1,1,18,0.017500001,0.040390119,0.01906997,0.000582237,19069.15039,0.67308712
1,1,19,0.018500001,0.036572225,0.019652095,0.000502586,22575.16016,0.699892998
1,1,20,0.019500001,0.033515982,0.020173809,0.000447134,26168.11914,0.726004183
1,1,21,0.020500001,0.031147948,0.0206021,0.000401103,29429.24023,0.73763597
1,1,22,0.021500001,0.029191198,0.020998089,0.000367074,32091.04883,0.744070053
1,1,23,0.022500001,0.027565785,0.021241767,0.000341006,34140.71094,0.746463001
1,1,24,0.023500001,0.026257798,0.021420909,0.000319694,35352.71875,0.74306488
1,1,25,0.024500001,0.025166372,0.021471849,0.000304565,35614.05078,0.740704954
1,1,26,0.025500001,0.024302878,0.021496777,0.000292022,34989.52734,0.7324754
1,1,27,0.026500001,0.023607135,0.021559464,0.000281595,33445.59766,0.721259713
1,1,28,0.027500001,0.023163149,0.021552024,0.000278607,31081.50977,0.714732885
1,1,29,0.028500001,0.022894353,0.021451645,0.00027727,28273.08984,0.704509378
1,1,30,0.029500001,0.022861561,0.021422302,0.000283474,24937.28906,0.697039366
1,1,31,0.030500001,0.022956824,0.021395382,0.000295172,21551.57031,0.693239927
1,1,32,0.031500002,0.023200963,0.02129853,0.000306219,18194.66016,0.67906189
1,1,33,0.032500002,0.023567261,0.02124662,0.000334218,15089.30957,0.685053825
1,1,34,0.033500002,0.024070747,0.02120145,0.000367354,12272.41992,0.685611963
1,1,35,0.034500002,0.02468084,0.021057241,0.000396108,9831,0.667447388
1,1,36,0.035500002,0.025390647,0.02108128,0.000452585,7675.549805,0.674319387
1,1,37,0.036500002,0.026328333,0.020935481,0.000510014,5928.290039,0.664138556
1,1,38,0.037500002,0.027307009,0.020880805,0.000579561,4515.699707,0.653039098
1,1,39,0.038500002,0.028263707,0.020795714,0.000679663,3415.329834,0.65313983
1,1,40,0.039500002,0.029184831,0.020753147,0.000782764,2534.5,0.642069161
1,1,41,0.040500002,0.030244356,0.020794768,0.000986919,1861.679932,0.66356796
1,1,42,0.041500002,0.03144386,0.020361504,0.001141715,1373.299927,0.636889815
1,1,43,0.042500002,0.032826763,0.020477261,0.001380752,964.1300049,0.618659616
1,1,44,0.043500002,0.03375667,0.020191727,0.001592602,671.3800049,0.565320909
1,1,45,0.044500002,0.035532698,0.020187471,0.002050896,481.7999878,0.588522792
1,1,46,0.045500002,0.037389718,0.020147234,0.002544981,331.1799927,0.562657297
1,1,47,0.046500002,0.038945988,0.020824691,0.003060082,228.7299957,0.531193078
1,1,48,0.047500002,0.040081777,0.02047082,0.003776602,162.7599945,0.533590794
1,1,49,0.048500002,0.040585503,0.019709287,0.004776413,116.0799942,0.501479268
1,1,50,0.049500002,0.043084789,0.020039341,0.005887993,79.97999573,0.4699184
1,1,51,0.050500002,0.046949182,0.019969419,0.006791368,54.30999756,0.388000786
1,1,52,0.051500002,0.05088304,0.018787818,0.009296736,32.20999908,0.280709148
1,1,53,0.052500003,0.049151998,0.018892031,0.011664257,21.14999962,0.198211402
1,1,54,0.053500003,0.046774134,0.018054115,0.01382801,14.52999973,0.195272028
1,1,55,0.054500003,0.045854215,0.015471919,0.017628184,10.71000004,0.141630352
1,1,56,0.055500003,0.0336986,0.011119722,0.022383757,6.569999695,0.003406742
1,1,57,0.056500003,0.023497237,0.007323515,0.02762772,4.069999695,0.053473525
1,2,1,0.0005,0.001874226,6.41E-05,5.39E-06,336347.125,0.044733092
