Locus,Parameter-number,Bin,Age,Parameter-value,Parameter-Frequency,Standard-deviation,Counts-per-bin,Autocorrelation-per-bin
1,1,1,0.0005,0.286718726,0.0003096,0.002638913,23063.44922,0.005906608
1,1,2,0.0015,0.309675336,0.001576787,0.003448133,16891.15039,0.046500891
1,1,3,0.0025,0.290086806,0.003084643,0.003523205,15952.46973,0.102358252
1,1,4,0.0035,0.261032343,0.004775462,0.004620108,12512.29004,0.251806676
1,1,5,0.0045,0.209944949,0.006738487,0.003626195,10747.9502,0.249425635
1,1,6,0.0055,0.16937767,0.008779331,0.00292692,10778.46973,0.288094312
1,1,7,0.0065,0.139545828,0.011064628,0.002582006,10427.79004,0.336418271
1,1,8,0.0075,0.126839161,0.014057515,0.002635337,9933.359375,0.403071404
1,1,9,0.0085,0.115775503,0.017066661,0.00259479,9486.349609,0.428424925
1,1,10,0.009500001,0.103657335,0.019858459,0.002385637,9479.859375,0.458671928
1,1,11,0.010500001,0.090115249,0.022164896,0.002080297,9633.689453,0.484760523
1,1,12,0.011500001,0.076817647,0.024619671,0.001851935,9685.609375,0.508176923
1,1,13,0.012500001,0.06667649,0.026807694,0.001652769,9628.549805,0.533104062
1,1,14,0.013500001,0.053197518,0.028350275,0.001383455,9809.979492,0.566996515
1,1,15,0.014500001,0.043894537,0.030266147,0.001171879,9771.629883,0.586307645
1,1,16,0.015500001,0.036311414,0.031781092,0.000979045,9957.009766,0.581211448
1,1,17,0.016500001,0.03055644,0.033667609,0.000841085,10057.29004,0.641302705
1,1,18,0.017500001,0.026345871,0.034386445,0.000716545,10261.87012,0.654806852
1,1,19,0.018500001,0.023528731,0.036159687,0.000670327,9755.599609,0.674692094
1,1,20,0.019500001,0.021600358,0.035989739,0.000640967,9207.55957,0.671332359
1,1,21,0.020500001,0.020162424,0.03734589,0.000646352,8051.699707,0.669321835
1,1,22,0.021500001,0.019334478,0.03734947,0.000649959,6886.669922,0.660335422
1,1,23,0.022500001,0.019197932,0.037480969,0.000695546,5458.589844,0.641951561
1,1,24,0.023500001,0.019252623,0.036987204,0.00073876,4143.029785,0.592808783
1,1,25,0.024500001,0.020019706,0.038549345,0.000836034,3056.540039,0.585721493
1,1,26,0.025500001,0.020801982,0.038585182,0.000928773,2188.780029,0.549880743
1,1,27,0.026500001,0.019736098,0.037010312,0.001121912,1512.75,0.554832101
1,1,28,0.027500001,0.02127927,0.037352618,0.001410744,984.25,0.529358625
1,1,29,0.028500001,0.024691267,0.035700496,0.002021513,621.2399902,0.474610001
1,1,30,0.029500001,0.028452227,0.037410446,0.002609742,382.8399963,0.416605622
1,1,31,0.030500001,0.027993698,0.037463274,0.003233997,257.019989,0.412243456
1,1,32,0.031500002,0.030976178,0.03639419,0.004397071,151.9199982,0.329367489
1,1,33,0.032500002,0.033023529,0.035009529,0.008399259,89.3299942,0.32829082
1,1,34,0.033500002,0.035024796,0.03348669,0.009435162,51.56999969,0.254250318
1,1,35,0.034500002,0.031201158,0.027499549,0.012292869,31.68999863,0.187846601
1,1,36,0.035500002,0.027749898,0.023447277,0.019523725,15.88000011,0.28264758
1,1,37,0.036500002,0.02045843,0.016193068,0.015024981,9.159999847,0.13978231
1,1,38,0.037500002,0.006758909,0.010257539,0.046118427,3.970000029,0.461830765
1,2,1,0.0005,0.012467633,0.000106694,4.04E-05,232777.0938,0.017008832
1,2,2,0.0015,0.009274367,0.000776889,9.51E-05,33357.4375,0.161517039
1,2,3,0.0025,0.010924558,0.001842081,1.41E-04,25440.90039,0.221554145
1,2,4,0.0035,0.011865697,0.003152035,0.000139071,31150.05859,0.216593891
1,2,5,0.0045,0.012377382,0.004775642,0.000153869,30280.50977,0.25936982
1,2,6,0.0055,0.013149513,0.006765758,0.000187855,25478.85938,0.327682942
1,2,7,0.0065,0.014470072,0.009148295,0.000244877,21236.43945,0.400138617
1,2,8,0.0075,0.015948966,0.012090822,0.000293425,18608.75977,0.430215269
1,2,9,0.0085,0.017290328,0.014982819,0.000338283,17728.53906,0.475277752
1,2,10,0.009500001,0.018696886,0.017980618,0.000379446,16483.37891,0.494137853
1,2,11,0.010500001,0.018703889,0.020555444,0.000380666,15856.10938,0.525315166
1,2,12,0.011500001,0.018669404,0.022624569,0.000379793,15847.7793,0.549994528
1,2,13,0.012500001,0.017763617,0.024827784,0.000349745,16346.37012,0.564094365
1,2,14,0.013500001,0.016552538,0.026407911,0.000305203,17744.15039,0.572480321
1,2,15,0.014500001,0.015168573,0.028198712,0.000255122,20064.36914,0.58581394
1,2,16,0.015500001,0.013741167,0.029956104,0.000218658,22580.95898,0.605730176
1,2,17,0.016500001,0.0124954,0.031215366,0.000184441,25319.08008,0.614070475
1,2,18,0.017500001,0.011474063,0.032485396,0.000157285,27270.08984,0.609112084
1,2,19,0.018500001,0.010845072,0.033395365,0.000143573,27631.24023,0.604142904
1,2,20,0.019500001,0.010511126,0.034226839,0.000139345,25828.0293,0.594139338
1,2,21,0.020500001,0.010381589,0.034635317,0.000141261,22770.12891,0.581782818
1,2,22,0.021500001,0.010428062,0.035193943,0.000150858,18705.70898,0.560667753
1,2,23,0.022500001,0.010653481,0.035555642,0.00017236,14437.37988,0.550239503
1,2,24,0.023500001,0.010881913,0.03554523,0.000198523,11050.10938,0.545516968
1,2,25,0.024500001,0.011289311,0.035745502,0.000239865,7934.339844,0.543548346
1,2,26,0.025500001,0.011905199,0.036601655,0.000304651,5275.429688,0.529043078
1,2,27,0.026500001,0.012571328,0.03603648,0.000394604,3470.599854,0.51838994
1,2,28,0.027500001,0.013270268,0.035821326,0.000510689,2196.25,0.504831612
1,2,29,0.028500001,0.013719771,0.036247961,0.000684609,1358.869995,0.519746006
1,2,30,0.029500001,0.014308843,0.036102653,0.000960713,843.2999878,0.519727051
1,2,31,0.030500001,0.014375211,0.035723709,0.00114572,513.7399902,0.485161424
1,2,32,0.031500002,0.015108195,0.035622664,0.005574362,301.1900024,0.263821989
1,2,33,0.032500002,0.016608562,0.0349655,0.001943966,177.6799927,0.382011205
1,2,34,0.033500002,0.018588277,0.033705968,0.002929314,92.81999969,0.381373972
1,2,35,0.034500002,0.020007234,0.035075281,0.00470071,47.45999908,0.332212538
1,2,36,0.035500002,0.019539459,0.034648545,0.006774025,23.95999908,0.288447619
1,2,37,0.036500002,0.018525666,0.025268804,0.007627562,13.88999939,0.244270638
1,2,38,0.037500002,0.012350304,0.019099381,0.012804335,7.379999638,0.192492679
1,2,39,0.038500002,0.009187955,0.014269839,0.032400966,3.379999876,0.168502748
1,3,1,0.0005,1626.348755,0.032701112,1357.841309,81.63999939,0.333918333
1,3,2,0.0015,830.7022705,0.032701112,230.9553223,353.0599976,0.419846147
1,3,3,0.0025,620.262146,0.032701112,89.0113678,547.2600098,0.414521366
1,3,4,0.0035,545.1181641,0.032701112,66.28730011,653.5700073,0.471285552
1,3,5,0.0045,839.8059082,0.032701112,368.2530212,643.7099609,0.85645473
1,3,6,0.0055,637.1802368,0.032701112,90.4788208,652.1199951,0.618752241
1,3,7,0.0065,562.9823608,0.032701112,99.42379761,749.8200073,0.684580207
1,3,8,0.0075,583.2915649,0.032701112,101.4616165,894.7999878,0.672921181
