Locus,Parameter-number,Bin,Age,Parameter-value,Parameter-Frequency,Standard-deviation,Counts-per-bin,Autocorrelation-per-bin
1,1,1,0.0005,0.295302093,0.000314092,0.00276388,21864.09961,0.00857637
1,1,2,0.0015,0.314014435,0.001559844,0.003396376,18561.75,0.063797243
1,1,3,0.0025,0.2942231,0.002993946,0.003460386,17025.37891,0.095679216
1,1,4,0.0035,0.254045337,0.004719168,0.003644738,12919.01953,0.162211672
1,1,5,0.0045,0.210273236,0.006702183,0.003430155,11147.24023,0.228592023
1,1,6,0.0055,0.176191211,0.008914834,0.003159416,10558.43945,0.299941182
1,1,7,0.0065,0.145470098,0.010956772,0.00277698,10153.05957,0.330037534
1,1,8,0.0075,0.126880318,0.013834291,0.002479576,9941.219727,0.375641465
1,1,9,0.0085,0.116632037,0.016900975,0.002452622,9650.950195,0.421456903
1,1,10,0.009500001,0.101630695,0.019552145,0.002216986,9942.599609,0.472818613
1,1,11,0.010500001,0.092707411,0.022029605,0.002100667,9953.919922,0.481120765
1,1,12,0.011500001,0.077921063,0.024316626,0.001768857,9987.609375,0.500055909
1,1,13,0.012500001,0.063448153,0.025771458,0.00146433,10274.21973,0.522944808
1,1,14,0.013500001,0.054464631,0.027851012,0.001335683,10226.37988,0.542564333
1,1,15,0.014500001,0.046465822,0.030155744,0.001176126,10298.08008,0.570310652
1,1,16,0.015500001,0.037221506,0.03119088,0.000978477,10632.91992,0.60193789
1,1,17,0.016500001,0.031479981,0.032796595,0.000834539,10714.41992,0.614852071
1,1,18,0.017500001,0.027079057,0.034217566,0.000747553,10568.71973,0.639548183
1,1,19,0.018500001,0.024178395,0.03520944,0.000679072,10229.66016,0.656382203
1,1,20,0.019500001,0.022153739,0.035852391,0.000619059,9625.05957,0.656612814
1,1,21,0.020500001,0.020898756,0.036935948,0.00060987,8428.719727,0.648140431
1,1,22,0.021500001,0.020262167,0.037482336,0.000644761,7019.169922,0.638312757
1,1,23,0.022500001,0.019849913,0.036430765,0.000684863,5670.810059,0.610266089
1,1,24,0.023500001,0.019318681,0.037516292,0.000731904,4379.629883,0.599259734
1,1,25,0.024500001,0.020311754,0.037430521,0.001736483,3220.800049,0.51133132
1,1,26,0.025500001,0.021270633,0.037357181,0.00134552,2235.709961,0.498357266
1,1,27,0.026500001,0.021280408,0.037286632,0.001163721,1567.569946,0.513789594
1,1,28,0.027500001,0.023867838,0.037384216,0.001484626,1038.77002,0.505542696
1,1,29,0.028500001,0.02652074,0.037488844,0.001868032,667.9099731,0.478196234
1,1,30,0.029500001,0.031436414,0.037405115,0.00666737,440.1900024,0.496158034
1,1,31,0.030500001,0.028552238,0.037808951,0.003368541,267.7999878,0.481417626
1,1,32,0.031500002,0.031536605,0.03505924,0.004749057,157.0299988,0.411291152
1,1,33,0.032500002,0.035130467,0.029692167,0.006638978,98.23999786,0.326880157
1,1,34,0.033500002,0.032258425,0.030639621,0.010770315,51.22999954,0.380732089
1,1,35,0.034500002,0.029779987,0.027617022,0.02103073,24.70999908,0.233890921
1,1,36,0.035500002,0.030611839,0.022198902,0.033806674,15.3399992,0.139499649
1,1,37,0.036500002,0.030680554,0.019657468,0.061377909,8.840000153,0.081166737
1,1,38,0.037500002,0.030125722,0.016106406,0.08177945,6.289999962,0.008443688
1,1,39,0.038500002,0.014575047,0.010256405,0.080210224,4.389999867,-0.023713671
1,1,40,0.039500002,0.011396911,0.007279822,0.13194187,2.720000029,-0.066423208
1,2,1,0.0005,0.011566616,0.000100046,3.72E-05,237075.75,0.016714463
