Locus,Parameter-number,Bin,Age,Parameter-value,Parameter-Frequency,Standard-deviation,Counts-per-bin,Autocorrelation-per-bin
1,1,1,0.0005,0.291459918,0.000314048,0.002651836,23008.16992,0.008566186
1,1,2,0.0015,0.323880792,0.001575323,0.003525995,16907.33984,0.045009803
1,1,3,0.0025,0.296650559,0.002933567,0.00355033,16199.65918,0.098071627
1,1,4,0.0035,0.254329234,0.00456875,0.003851691,12462.26953,0.194283187
1,1,5,0.0045,0.21254991,0.006568489,0.003572548,10953.66016,0.256010652
1,1,6,0.0055,0.165988296,0.008422874,0.002900858,10963.54004,0.299471229
1,1,7,0.0065,0.137946367,0.010485095,0.003014164,10760.87012,0.338930488
1,1,8,0.0075,0.117754228,0.013355667,0.00229978,10277.5,0.387916714
1,1,9,0.0085,0.106660642,0.016520422,0.002179686,10164.91992,0.425529271
1,1,10,0.009500001,0.098222017,0.019688256,0.002027337,10143.75,0.44378826
1,1,11,0.010500001,0.090086877,0.02238014,0.001885214,10143.70996,0.462575853
1,1,12,0.011500001,0.078926854,0.024893822,0.001720052,10182.4502,0.491682589
1,1,13,0.012500001,0.068523586,0.026389722,0.001597669,10137.47949,0.523445368
1,1,14,0.013500001,0.059090927,0.028318975,0.001480886,10129.91992,0.547899544
1,1,15,0.014500001,0.051388577,0.030097092,0.001315964,10083.33008,0.560114682
1,1,16,0.015500001,0.042404592,0.031423017,0.001127362,10178.37012,0.584665239
1,1,17,0.016500001,0.03522953,0.032548133,0.000968592,10144.67969,0.625317931
1,1,18,0.017500001,0.029719323,0.033808786,0.000814002,10157.25,0.636189878
1,1,19,0.018500001,0.025220074,0.034712229,0.00072257,9816.620117,0.66141963
1,1,20,0.019500001,0.022975892,0.035244543,0.000674648,9160.790039,0.663597763
1,1,21,0.020500001,0.021208184,0.035539538,0.000626178,8202.780273,0.640378177
1,1,22,0.021500001,0.019707527,0.036472317,0.000615286,6960.619629,0.635183871
1,1,23,0.022500001,0.019249406,0.036666803,0.000629546,5676.159668,0.61301136
1,1,24,0.023500001,0.0194012,0.03681102,0.000718857,4341.609863,0.616256952
1,1,25,0.024500001,0.020292301,0.037471619,0.000817313,3155.119873,0.565249264
1,1,26,0.025500001,0.020657381,0.036919128,0.000963503,2285.5,0.513925374
1,1,27,0.026500001,0.022323728,0.036373656,0.001297925,1567.400024,0.486064225
1,1,28,0.027500001,0.024576541,0.038506288,0.001771194,997.0799561,0.459950626
1,1,29,0.028500001,0.026381761,0.038119316,0.002303455,678.2199707,0.444009185
1,1,30,0.029500001,0.027119989,0.034976877,0.00294189,430.6399841,0.432848811
1,1,31,0.030500001,0.08586359,0.034475129,0.10952498,246.7399902,0.488652408
1,1,32,0.031500002,0.031882137,0.033800781,0.007078993,128.5,0.387992799
1,1,33,0.032500002,0.037515547,0.031100141,0.009522509,93.59999847,0.355792344
1,1,34,0.033500002,0.036842242,0.030162478,0.013090589,58.20999908,0.370224923
1,1,35,0.034500002,0.04390657,0.028645469,0.020905642,31.79999924,0.269513637
1,1,36,0.035500002,0.050734967,0.023668086,0.042842172,21.27000046,0.296124995
1,1,37,0.036500002,0.04180748,0.022258438,0.080055222,12.38999939,0.329834163
1,1,38,0.037500002,0.037735887,0.018045075,0.147991791,7.730000019,0.331517249
1,2,1,0.0005,0.01100621,0.000100328,3.61878E-05,231179.7188,0.019606698
1,2,2,0.0015,0.008050832,0.000742785,8.75233E-05,31491.59961,0.158201918
1,2,3,0.0025,0.009751342,0.001765593,1.25E-04,26808.92969,0.205170646
1,2,4,0.0035,0.010833627,0.00299658,1.30E-04,31613.96875,0.219704688
1,2,5,0.0045,0.01130592,0.004547076,0.000148299,29633.71875,0.268660039
1,2,6,0.0055,0.012257032,0.006471139,0.000216923,24267.43945,0.372700989
1,2,7,0.0065,0.012610111,0.00880648,0.000221555,19986.5293,0.403993309
1,2,8,0.0075,0.014305699,0.011776851,0.000264747,17657.76953,0.441906154
1,2,9,0.0085,0.01620248,0.015178595,0.000329829,17143.99023,0.479659528
1,2,10,0.009500001,0.017007027,0.017974326,0.000336581,16984.86914,0.507159412
1,2,11,0.010500001,0.017903216,0.020894686,0.00035463,16743.74023,0.513230383
1,2,12,0.011500001,0.017937679,0.023038108,0.000352452,16781.17969,0.540196061
1,2,13,0.012500001,0.017609041,0.024951797,0.000415929,17080.5293,0.532492161
1,2,14,0.013500001,0.016633768,0.026370632,0.000293748,18276.75977,0.564232767
1,2,15,0.014500001,0.015180799,0.028317982,0.00024986,20269.12891,0.577473342
1,2,16,0.015500001,0.013911095,0.029451555,0.000214554,22526.20898,0.586858511
1,2,17,0.016500001,0.012538604,0.030538358,0.000181509,25140.62891,0.596782446
1,2,18,0.017500001,0.01162243,0.03139966,0.000160944,26587.12891,0.60127151
1,2,19,0.018500001,0.01087028,0.032053404,0.000144006,27481.26953,0.592758179
1,2,20,0.019500001,0.010494599,0.03308988,0.000137177,26220.33984,0.584236264
1,2,21,0.020500001,0.01036486,0.03355556,0.00013978,23118.91016,0.572804749
1,2,22,0.021500001,0.010403553,0.034070306,0.000149722,19087.32031,0.561944008
1,2,23,0.022500001,0.010541862,0.034258403,0.000165229,15167.16992,0.551329374
1,2,24,0.023500001,0.010914856,0.034379527,0.000194174,11250.71973,0.546001196
1,2,25,0.024500001,0.01126569,0.034612473,0.000238168,7959.299805,0.542428315
1,2,26,0.025500001,0.011752718,0.034483258,0.000294803,5484.969727,0.532817662
1,2,27,0.026500001,0.012126404,0.034411289,0.000374618,3712.219971,0.532481432
1,2,28,0.027500001,0.012792883,0.034656487,0.000490756,2372.889893,0.521900415
1,2,29,0.028500001,0.013792379,0.03456869,0.000676622,1471.029907,0.515808761
1,2,30,0.029500001,0.014648072,0.03437946,0.000904692,939.6999512,0.498343855
1,2,31,0.030500001,0.015700065,0.035428207,0.00120732,570.8099976,0.473300576
1,2,32,0.031500002,0.01589446,0.036141429,0.001493159,335.519989,0.429807901
1,2,33,0.032500002,0.015881987,0.034079429,0.001724336,236.5999908,0.422021508
1,2,34,0.033500002,0.016378162,0.034786701,0.002419326,133.0500031,0.376271814
1,2,35,0.034500002,0.017179281,0.036334898,0.003003095,75.45999908,0.367177784
1,2,36,0.035500002,0.016929442,0.03607405,0.003834567,45.04999924,0.306619436
1,2,37,0.036500002,0.017706424,0.032632388,0.005156644,27.51000023,0.243670091
1,2,38,0.037500002,0.013860722,0.025318425,0.007744571,13.67999935,0.377415687
1,2,39,0.038500002,0.010422009,0.016694788,0.006256404,13.38000011,0.130535945
1,2,40,0.039500002,0.004617276,0.008871187,0.008454943,7.409999847,0.162905112
1,2,41,0.040500002,0.003092836,0.004200111,0.020345036,3.669999838,0.031616464
1,3,1,0.0005,1366.807007,0.031948883,504.620575,84.01999664,0.201083019
1,3,2,0.0015,712.7590332,0.031948883,112.1665192,400.789978,0.26550743
1,3,3,0.0025,525.602478,0.031948883,70.15579987,589.0999756,0.401122868
1,3,4,0.0035,533.4046631,0.031948883,83.77378082,660.3499756,0.533415377
1,3,5,0.0045,569.255127,0.031948883,81.81417847,659.5100098,0.581776917
1,3,6,0.0055,611.2325439,0.031948883,110.0544662,640.9699707,0.556007743
1,3,7,0.0065,639.6258545,0.031948883,102.9542542,718.8599854,0.675169408
1,3,8,0.0075,633.6820068,0.031948883,100.4983139,913.9599609,0.72039932
1,3,9,0.0085,576.8984375,0.031948883,94.34165192,1024.919922,0.739007294
1,3,10,0.009500001,520.1760254,0.031948883,69.33874512,1141.459961,0.758728206
1,3,11,0.010500001,534.2717896,0.031948883,75.79037476,1196.76001,0.779411435
1,3,12,0.011500001,572.0475464,0.031948883,95.46282196,1293.059937,0.787864566
1,3,13,0.012500001,620.3302002,0.031948883,99.79677582,1451.799927,0.748170257
1,3,14,0.013500001,653.7598267,0.031948883,90.53016663,1689.309937,0.822297156
1,3,15,0.014500001,761.2634277,0.031948883,95.34046173,1819.319946,0.822887301
1,3,16,0.015500001,804.1571045,0.031948883,94.94580078,1993.039917,0.831767678
1,3,17,0.016500001,898.3359375,0.031948883,108.0634079,1995.849976,0.822835326
1,3,18,0.017500001,977.7327881,0.031948883,132.9187775,1865.880005,0.811644673
1,3,19,0.018500001,1165.744019,0.031948883,151.8622589,1596.140015,0.832485199
1,3,20,0.019500001,1117.52417,0.031948883,156.733551,1312.959961,0.813223064
1,3,21,0.020500001,1143.374512,0.031948883,175.6199188,917.5299683,0.815250337
1,3,22,0.021500001,1270.822754,0.031948883,241.1616821,649.3800049,0.795610488
1,3,23,0.022500001,1378.974976,0.031948883,340.0236511,416.3199768,0.821726143
1,3,24,0.023500001,1189.203857,0.031948883,527.137085,262.6399841,0.815859914
1,3,25,0.024500001,1693.103394,0.031948883,3058.469482,166.0299988,0.812483847
1,3,26,0.025500001,1366.756714,0.031948883,605.7753906,89.95999908,0.726453245
1,3,27,0.026500001,3822.934814,0.031948883,108514.4609,66.58000183,0.966714799
1,3,28,0.027500001,1187.556885,0.031948883,1476.635864,31,0.675897121
1,3,29,0.028500001,1117.850342,0.030031949,1603.86853,16.61999893,0.665990949
1,4,1,0.0005,10998.0752,0.034989502,2763.103516,810.6099854,0.877521098
1,4,2,0.0015,3921.701172,0.034989502,1157.911865,2755.069824,0.89899677
1,4,3,0.0025,2810.207764,0.034989502,938.2637939,1539.689941,0.825623274
1,4,4,0.0035,2116.519287,0.034989502,688.7731934,1717.619995,0.90899539
1,4,5,0.0045,2439.884521,0.034989502,826.4038086,1547.459961,0.934859753
1,4,6,0.0055,2077.024414,0.034989502,948.8482666,1783.77002,0.950038314
1,4,7,0.0065,2762.468018,0.034989502,1104.845459,1920.140015,0.954620957
1,4,8,0.0075,1726.230225,0.034989502,657.973999,1501.380005,0.936008453
1,4,9,0.0085,1529.653564,0.034989502,749.4580078,1213.699951,0.946794689
1,4,10,0.009500001,1774.156494,0.034989502,2122.050537,1177.910034,0.929672837
1,4,11,0.010500001,1191.120239,0.034989502,416.1332092,1071.77002,0.92860508
1,4,12,0.011500001,1286.799805,0.034989502,667.083313,1042.959961,0.920277774
1,4,13,0.012500001,1166.046509,0.034989502,309.8397827,957.5199585,0.90881139
1,4,14,0.013500001,1255.242432,0.034989502,435.9293213,956.0199585,0.930880368
1,4,15,0.014500001,1217.372925,0.034989502,708.6626587,857.9099731,0.950383008
1,4,16,0.015500001,997.8025513,0.034989502,209.8893127,765.7099609,0.830972672
1,4,17,0.016500001,1174.410156,0.034989502,252.7304382,762.2299805,0.881253362
1,4,18,0.017500001,970.2615967,0.034989502,248.8549805,614.3200073,0.879530489
1,4,19,0.018500001,1142.856323,0.034989502,484.3490295,546.5899658,0.876378119
1,4,20,0.019500001,1155.137085,0.034989502,384.7054443,400.269989,0.874072015
1,4,21,0.020500001,1111.499023,0.034989502,343.7891235,291.3699951,0.847821713
1,4,22,0.021500001,1162.660278,0.034989502,393.2430725,207.1900024,0.835474193
1,4,23,0.022500001,1799.983765,0.034989502,1832.623047,141.9499969,0.921881437
1,4,24,0.023500001,1700.79541,0.03428971,604.8770752,80.63999939,0.702445924
1,4,25,0.024500001,1485.923706,0.034989502,1327.369141,52.69999695,0.829908967
1,4,26,0.025500001,1144.975342,0.031140657,814.286499,30.92000008,0.639535844
1,4,27,0.026500001,2647.870605,0.029391183,27616.54492,16.40999985,0.764962971
1,4,28,0.027500001,3439.83252,0.022743177,,8.159999847,0.827463329
