Locus,Parameter-number,Bin,Age,Parameter-value,Parameter-Frequency,Standard-deviation,Counts-per-bin,Autocorrelation-per-bin
1,1,1,0.00025,0.037235484,0.000275095,0.000060936,225693.5938,0.038361143
1,1,2,0.00075,0.033274707,0.001685265,7.73E-05,119591.9063,0.065974303
1,1,3,0.00125,0.030481253,0.003933221,8.74E-05,97556.91406,0.176754639
1,1,4,0.00175,0.028866474,0.006544841,0.000109164,82294.96875,0.366882324
1,1,5,0.00225,0.027188961,0.009229795,0.000137101,70002.21875,0.532740414
1,1,6,0.00275,0.024884243,0.011648691,0.000151844,64043.27734,0.622545481
1,1,7,0.00325,0.022644684,0.013554276,0.000153671,61070.60938,0.664715707
1,1,8,0.00375,0.020555208,0.015182792,0.000150836,58868.91016,0.691303074
1,1,9,0.00425,0.018576743,0.016520049,0.000146474,57450.5,0.711131215
1,1,10,0.00475,0.016776254,0.017809516,0.000144599,55942.78906,0.733712018
1,1,11,0.00525,0.015218395,0.018741969,0.000142592,54797.14063,0.752031148
1,1,12,0.00575,0.013850068,0.019562548,0.000137597,53569.36719,0.759285986
1,1,13,0.00625,0.012809058,0.020242341,0.00013301,51447.64063,0.761793196
1,1,14,0.00675,0.012043804,0.020745054,0.000129122,48655.6875,0.759742081
1,1,15,0.00725,0.011521826,0.021082101,0.000124735,45180.66016,0.7481668
1,1,16,0.00775,0.01119663,0.021408938,0.000124461,40898.61719,0.742208481
1,1,17,0.00825,0.011044976,0.021625316,0.000123799,36302.5,0.726634979
1,1,18,0.00875,0.011010788,0.021763491,0.000126817,31594.24023,0.716426432
1,1,19,0.00925,0.011087998,0.021889355,0.000131223,26881.32031,0.702718198
1,1,20,0.009750001,0.011218627,0.021939891,0.000135729,22555.13867,0.684552312
1,1,21,0.010250001,0.011426292,0.021987179,0.000145875,18602.86914,0.678997517
1,1,22,0.010750001,0.011729436,0.021967987,0.000157942,15103.33008,0.671585679
1,1,23,0.011250001,0.012092996,0.021982655,0.000170839,12079.21973,0.659395039
1,1,24,0.011750001,0.0125109,0.022003226,0.000186191,9531.370117,0.648539186
1,1,25,0.012250001,0.012937514,0.022028064,0.000203957,7440.199707,0.639123321
1,1,26,0.012750001,0.013389241,0.021968514,0.00022225,5770.169922,0.623478472
1,1,27,0.013250001,0.01389558,0.021937031,0.000256357,4420.390137,0.640968859
1,1,28,0.013750001,0.014482071,0.021997998,0.000279664,3351.97998,0.618773043
1,1,29,0.014250001,0.015111479,0.021937182,0.000319858,2537.540039,0.622857988
1,1,30,0.014750001,0.015740784,0.021953078,0.000366617,1902.179932,0.624414325
1,1,31,0.015250001,0.01637248,0.021878867,0.000418202,1421.189941,0.625224352
1,1,32,0.015750001,0.01711859,0.021577042,0.0004729,1055.089966,0.610002697
1,1,33,0.016250001,0.01789847,0.021700824,0.000517358,762.6900024,0.580970705
1,1,34,0.016750001,0.018579509,0.021933831,0.000617118,556.4699707,0.612836897
1,1,35,0.017250001,0.01935795,0.02184945,0.000665901,407.9100037,0.577637196
1,1,36,0.017750001,0.020169329,0.021528831,0.00078065,299.5400085,0.600225389
1,1,37,0.018250001,0.021144921,0.021620268,0.000996482,212.4700012,0.640089154
1,1,38,0.018750001,0.022137065,0.021815678,0.001100843,150.0099945,0.589534104
1,1,39,0.019250001,0.022968007,0.021697046,0.001335494,108.0099945,0.608709931
1,1,40,0.019750001,0.023891987,0.022169747,0.001483134,76.72000122,0.580646098
1,1,41,0.020250001,0.024890112,0.021777175,0.001693964,55.98999786,0.556551099
1,1,42,0.020750001,0.025898203,0.021594865,0.002033402,40.02000046,0.571268976
1,1,43,0.021250001,0.026972337,0.02189051,0.002323624,28.04999924,0.552812874
1,1,44,0.021750001,0.028118178,0.021884937,0.002537389,20.27999878,0.521349073
1,1,45,0.022250001,0.028444614,0.021452332,0.002931696,15.13000011,0.49100703
1,1,46,0.022750001,0.029407691,0.021025183,0.00330999,10.80000019,0.473733246
1,1,47,0.023250001,0.029237932,0.020344637,0.003750008,8.019999504,0.446432114
1,1,48,0.023750001,0.028242506,0.01937082,0.004393759,5.759999752,0.423627198
1,1,49,0.024250001,0.026519768,0.017781027,0.005487854,3.9599998,0.377476394
1,1,50,0.024750001,0.02397562,0.015214862,0.00532186,2.859999895,0.24217847
1,1,51,0.025250001,0.018638501,0.012286012,0.011464959,1.809999943,0.204292402
