Locus,Parameter-number,Bin,Age,Parameter-value,Parameter-Frequency,Standard-deviation,Counts-per-bin,Autocorrelation-per-bin
1,1,1,0.00025,0.037175264,0.000272673,6.07E-05,225610.0781,0.037208136
1,1,2,0.00075,0.03325503,0.001671356,7.69E-05,119715.5234,0.064461716
1,1,3,0.00125,0.0304957,0.003891215,0.000087137,97786.35938,0.176432148
1,1,4,0.00175,0.028895937,0.006459021,0.00010938,82346.00781,0.367264897
1,1,5,0.00225,0.0271248,0.009150715,0.000136182,70292.35156,0.530831337
1,1,6,0.00275,0.024885563,0.011541729,0.000152186,64166.91016,0.624225557
1,1,7,0.00325,0.022614284,0.013465059,0.000152981,61403.64844,0.663950741
1,1,8,0.00375,0.02054264,0.015085346,0.000150687,58998.9375,0.691272378
1,1,9,0.00425,0.018612539,0.016379532,0.000146747,57378.25781,0.710514009
1,1,10,0.00475,0.016763585,0.01752164,0.000143762,56188.28906,0.731556714
1,1,11,0.00525,0.015153685,0.018612318,0.000142348,54753.1875,0.751971901
1,1,12,0.00575,0.013826129,0.019446356,0.00013833,53320.59766,0.761541188
1,1,13,0.00625,0.012794029,0.020037705,0.000132358,51388.73828,0.759599268
1,1,14,0.00675,0.012030494,0.020530731,0.000128037,48599.77734,0.756971717
1,1,15,0.00725,0.011497602,0.020916367,0.00012331,45081.08984,0.74496752
1,1,16,0.00775,0.011155032,0.021189427,0.00012177,40972.27734,0.735511541
1,1,17,0.00825,0.010992409,0.021434886,0.000122429,36301.98828,0.724796057
1,1,18,0.00875,0.010955053,0.021571897,0.000125171,31572.00977,0.713015735
1,1,19,0.00925,0.011031502,0.021664295,0.000129373,26939.76953,0.698373675
1,1,20,0.009750001,0.011187712,0.021768851,0.000136094,22537.57031,0.687077165
1,1,21,0.010250001,0.011422464,0.021763688,0.000144308,18569.65039,0.674448371
1,1,22,0.010750001,0.01172824,0.021766098,0.000156134,15052.5498,0.666047275
1,1,23,0.011250001,0.012072203,0.021833349,0.000170242,12022.79004,0.658071876
1,1,24,0.011750001,0.01247657,0.021813924,0.000186592,9518.280273,0.650104106
1,1,25,0.012250001,0.012915351,0.021821939,0.000203697,7451.759766,0.638668001
1,1,26,0.012750001,0.0134196,0.021804126,0.000230616,5765.399902,0.644269109
1,1,27,0.013250001,0.013961827,0.021744615,0.000257725,4423.5,0.637472212
1,1,28,0.013750001,0.01458515,0.021767138,0.000297115,3361.389893,0.642703593
1,1,29,0.014250001,0.015251895,0.021741428,0.000336341,2532.359863,0.631944418
1,1,30,0.014750001,0.015924089,0.021684939,0.000380773,1904.459961,0.626831353
1,1,31,0.015250001,0.016492721,0.02174825,0.000405887,1417.169922,0.590862334
1,1,32,0.015750001,0.017215554,0.021667466,0.000485275,1052.049927,0.613927305
1,1,33,0.016250001,0.017990211,0.021698961,0.000572382,773.539978,0.62272501
1,1,34,0.016750001,0.018875497,0.021530733,0.000629268,567.4199829,0.592017174
1,1,35,0.017250001,0.019727049,0.021474551,0.000730462,410.9299927,0.587477744
1,1,36,0.017750001,0.020559859,0.02155881,0.000805695,297.3999939,0.566678703
1,1,37,0.018250001,0.021360848,0.021624155,0.001068323,215.2200012,0.62806958
1,1,38,0.018750001,0.022163577,0.021508707,0.001157621,157.6399994,0.571776092
1,1,39,0.019250001,0.023059011,0.021344081,0.001519793,113.9899979,0.631256998
1,1,40,0.019750001,0.024053268,0.021487299,0.001362217,79.84999847,0.419113725
1,1,41,0.020250001,0.024758585,0.021409171,0.001693717,57.18999863,0.527158141
1,1,42,0.020750001,0.025494069,0.021594996,0.002125261,41.04999924,0.573443592
1,1,43,0.021250001,0.026489088,0.020809814,0.002515114,29.28999901,0.538545728
1,1,44,0.021750001,0.027687747,0.021649679,0.003148329,20.56999969,0.555956066
1,1,45,0.022250001,0.028573578,0.022130806,0.003905703,15.0899992,0.545702636
1,1,46,0.022750001,0.029307256,0.022101343,0.004607715,12,0.539394915
1,1,47,0.023250001,0.029927451,0.021632176,0.003171756,8.75,0.277845413
1,1,48,0.023750001,0.028437058,0.020126361,0.005211809,6.059999943,0.448342562
1,1,49,0.024250001,0.026123459,0.017892586,0.006620922,4.179999828,0.40115729
