Locus,Parameter-number,Bin,Age,Parameter-value,Parameter-Frequency,Standard-deviation,Counts-per-bin,Autocorrelation-per-bin
1,1,1,0.00025,1.209530711,0.005736493,0.010710415,6112.679688,0.091339983
1,1,2,0.00075,0.897206008,0.004278697,0.007105555,10355.08984,0.099736624
1,1,3,0.00125,0.646582961,0.003774256,0.004428863,14228.05957,0.114548869
1,1,4,0.00175,0.494292736,0.003621985,0.003057811,17909.68945,0.124664992
1,1,5,0.00225,0.390825421,0.003691748,0.002224129,21559.51953,0.133918285
1,1,6,0.00275,0.320026577,0.00395132,0.001715374,25375.17969,0.154334158
1,1,7,0.00325,0.264587492,0.004301893,0.001336112,29615.58984,0.166087002
1,1,8,0.00375,0.221235484,0.004760006,0.00105901,34189.64844,0.178469226
1,1,9,0.00425,0.185442656,0.005297009,0.000853144,39296.17969,0.197633937
1,1,10,0.00475,0.154099152,0.005885419,0.000697908,44739.85938,0.227895394
1,1,11,0.00525,0.126681119,0.006489594,0.000570754,50419.80078,0.254039496
1,1,12,0.00575,0.103109881,0.007186626,0.000463952,56646.41797,0.285012186
1,1,13,0.00625,0.083287902,0.007962382,0.000384072,63540.02734,0.331766814
1,1,14,0.00675,0.066936582,0.008854249,0.000319893,70871.125,0.37845698
1,1,15,0.00725,0.053707972,0.009872548,0.000266826,78352.32813,0.429096848
1,1,16,0.00775,0.043542165,0.010995926,0.000222827,85413.48438,0.475926757
1,1,17,0.00825,0.036041401,0.012235042,0.000192134,90613.64063,0.52465713
1,1,18,0.00875,0.030574784,0.013601652,0.000173001,92980.39844,0.57463479
1,1,19,0.00925,0.026267285,0.014921382,0.000159916,93671.94531,0.61863327
1,1,20,0.009750001,0.022677455,0.016291874,0.00015414,92507.72656,0.668014824
1,1,21,0.010250001,0.019738382,0.017656537,0.000152192,90384,0.713990152
1,1,22,0.010750001,0.017269172,0.018944955,0.000150406,88413.42969,0.751808286
1,1,23,0.011250001,0.015351372,0.020085422,0.000147573,85714.17969,0.777076364
1,1,24,0.011750001,0.013818785,0.020956574,0.000142566,82579.375,0.79068327
1,1,25,0.012250001,0.012653351,0.021731451,0.000136778,78239.79688,0.795183361
1,1,26,0.012750001,0.011803713,0.022210971,0.000130789,72921.07813,0.791753471
1,1,27,0.013250001,0.011163137,0.02263188,0.0001261,66340.875,0.784886479
1,1,28,0.013750001,0.010729156,0.02290822,0.000121951,59174.83984,0.769572973
1,1,29,0.014250001,0.010390071,0.023138978,0.000120221,51464.78906,0.754157364
1,1,30,0.014750001,0.010237188,0.023256581,0.00012168,43655.37891,0.736918092
1,1,31,0.015250001,0.010126744,0.023391537,0.000124098,36240.16797,0.717835724
1,1,32,0.015750001,0.010106289,0.023439637,0.000129582,29391.76953,0.700110793
1,1,33,0.016250001,0.01016301,0.023480224,0.000137439,23254.96875,0.682274997
1,1,34,0.016750001,0.010273462,0.023541668,0.000148489,18012.46875,0.668052852
1,1,35,0.017250001,0.010401031,0.023532003,0.000159316,13846.7998,0.645173073
1,1,36,0.017750001,0.010614274,0.023448931,0.000176309,10354.74023,0.634501517
1,1,37,0.018250001,0.010900874,0.023542883,0.000200008,7599.919922,0.626046002
1,1,38,0.018750001,0.011229402,0.023823887,0.00022768,5508.040039,0.614127934
1,1,39,0.019250001,0.011584525,0.023593443,0.000258774,4001.77002,0.598044038
1,1,40,0.019750001,0.011915353,0.023536846,0.000293751,2858.469971,0.577613652
1,1,41,0.020250001,0.012353978,0.023677414,0.000362519,2005.659912,0.615501523
1,1,42,0.020750001,0.012786572,0.023385715,0.000396405,1403.73999,0.574154615
1,1,43,0.021250001,0.013334113,0.023669517,0.000516657,957.8999634,0.625180423
1,1,44,0.021750001,0.01418337,0.023467694,0.000649469,649.7600098,0.640142441
1,1,45,0.022250001,0.014721787,0.023693619,0.000673677,444.6499939,0.561093807
1,1,46,0.022750001,0.015364806,0.022991663,0.000874754,306.1699829,0.615106046
1,1,47,0.023250001,0.016238893,0.023263587,0.001092072,198.5699921,0.633050323
1,1,48,0.023750001,0.017149869,0.024607845,0.001494661,129.1100006,0.687145531
1,1,49,0.024250001,0.017995382,0.023344271,0.001458147,93.41999817,0.579080939
1,1,50,0.024750001,0.018652638,0.025149593,0.001901812,64.01000214,0.633704782
1,1,51,0.025250001,0.019282658,0.023372363,0.002518121,46.27000046,0.67400676
1,1,52,0.025750001,0.020513829,0.022035133,0.003167773,31.37999916,0.65097785
1,1,53,0.026250001,0.019233545,0.021294911,0.004256856,20.52999878,0.625891745
1,1,54,0.026750001,0.018480845,0.019324387,0.005718797,14.59999943,0.626575112
1,1,55,0.027250001,0.017858909,0.017833386,0.008333466,9.679999352,0.59945184
1,1,56,0.027750001,0.01654808,0.016416781,0.012387549,6.819999695,0.579155982
