Locus,Parameter-number,Bin,Age,Parameter-value,Parameter-Frequency,Standard-deviation,Counts-per-bin,Autocorrelation-per-bin
1,1,1,0.00025,1.204334259,0.005862449,0.010630407,6133.609863,0.08491271
1,1,2,0.00075,0.904378891,0.00442434,0.007224225,10337.14941,0.105726481
1,1,3,0.00125,0.646243036,0.003878748,0.004468132,14196.7998,0.115125537
1,1,4,0.00175,0.494495541,0.003729605,0.003076744,17871.03906,0.126968846
1,1,5,0.00225,0.391818106,0.003798703,0.002254689,21512.85938,0.141415045
1,1,6,0.00275,0.319784343,0.00405161,0.001718237,25308.97852,0.150561854
1,1,7,0.00325,0.264387518,0.004420875,0.00133708,29561.55859,0.166699782
1,1,8,0.00375,0.221788436,0.004902687,0.001074015,34138.35938,0.187543005
1,1,9,0.00425,0.184964597,0.00543886,0.000857473,39237.48047,0.201013386
1,1,10,0.00475,0.15303959,0.00602712,0.000689427,44801.39063,0.221778318
1,1,11,0.00525,0.126490101,0.006683063,0.000564702,50490.98047,0.251137108
1,1,12,0.00575,0.102623254,0.007372399,0.00046416,56826.84766,0.289558947
1,1,13,0.00625,0.082972668,0.0081911,0.000382687,63470.04688,0.330157727
1,1,14,0.00675,0.066399343,0.009100352,0.000315403,70820.71875,0.374889851
1,1,15,0.00725,0.053158999,0.010118188,0.000261073,78434.33594,0.423740983
1,1,16,0.00775,0.043259878,0.011334067,0.000219292,85400.10156,0.472708434
1,1,17,0.00825,0.035895862,0.012583341,0.000189684,90755.83594,0.521214664
1,1,18,0.00875,0.030455031,0.013969237,0.000171227,93273.98438,0.570918202
1,1,19,0.00925,0.026243309,0.015335381,0.00016016,93426.96875,0.619554997
1,1,20,0.009750001,0.022745201,0.016799955,0.000155178,91852.16406,0.669478834
1,1,21,0.010250001,0.019755282,0.01819396,0.000152529,90061.53906,0.714685619
1,1,22,0.010750001,0.017270625,0.019506505,0.000150768,88089.86719,0.752447665
1,1,23,0.011250001,0.015288183,0.0206425,0.000148125,85486.4375,0.778448999
1,1,24,0.011750001,0.013775713,0.02153603,0.000143603,82393.28906,0.792375743
1,1,25,0.012250001,0.012630844,0.022322604,0.00013752,78023.64063,0.796511114
1,1,26,0.012750001,0.01177802,0.02293255,0.000131391,72523.40625,0.792817652
1,1,27,0.013250001,0.011164125,0.02332202,0.00012653,66153.86719,0.78462708
1,1,28,0.013750001,0.010705889,0.023528963,0.000122467,59033.59766,0.7702564
1,1,29,0.014250001,0.010382109,0.02371335,0.000120575,51278.32031,0.753678143
1,1,30,0.014750001,0.010219051,0.023905098,0.000121719,43352.82813,0.73764503
1,1,31,0.015250001,0.010140619,0.024065388,0.000125364,35892.83984,0.721739173
1,1,32,0.015750001,0.010148028,0.024077008,0.00013023,29070.14844,0.700731337
1,1,33,0.016250001,0.01020217,0.024059707,0.000137604,23044.75977,0.679210305
1,1,34,0.016750001,0.010270559,0.024057809,0.000147475,17903.96875,0.661808848
1,1,35,0.017250001,0.010400949,0.024167838,0.000159619,13599.54004,0.64195168
1,1,36,0.017750001,0.010589374,0.024234919,0.000176602,10215.34961,0.630196214
1,1,37,0.018250001,0.010826197,0.024256401,0.000189004,7576.139648,0.593168855
1,1,38,0.018750001,0.011066677,0.024279494,0.000217807,5531.899902,0.602662265
1,1,39,0.019250001,0.011463314,0.023942115,0.000250388,3988.709961,0.596946299
1,1,40,0.019750001,0.011912286,0.024234304,0.000292982,2788.639893,0.590046585
1,1,41,0.020250001,0.012451517,0.023983777,0.000335918,1959.209961,0.577048898
1,1,42,0.020750001,0.013002709,0.024289716,0.000422099,1354.530029,0.618638873
1,1,43,0.021250001,0.013616476,0.024535891,0.000478112,943.7199707,0.582669616
1,1,44,0.021750001,0.014098543,0.024077959,0.000528518,664.8699951,0.557722032
1,1,45,0.022250001,0.014825824,0.024154803,0.000657107,447.4400024,0.59999752
1,1,46,0.022750001,0.015577952,0.024488129,0.000783564,299.8899841,0.594284535
1,1,47,0.023250001,0.016221106,0.023958359,0.000963128,208.8899994,0.629013717
1,1,48,0.023750001,0.017047446,0.023292724,0.001189834,130.8099976,0.610558391
1,1,49,0.024250001,0.018009033,0.02393795,0.00166622,81.80999756,0.68798101
1,1,50,0.024750001,0.018785685,0.024096249,0.001554806,52.18000031,0.507295966
1,1,51,0.025250001,0.019973729,0.024269519,0.002539792,30.27999878,0.645303607
1,1,52,0.025750001,0.019572636,0.022315159,0.003191351,19.79999924,0.620411754
1,1,53,0.026250001,0.01905553,0.021037713,0.003582144,13.46999931,0.576725245
1,1,54,0.026750001,0.016046196,0.0183271,0.004404258,8.119999886,0.487967283
1,1,55,0.027250001,0.013987967,0.014522991,0.005298285,6.139999867,0.485427141
1,1,56,0.027750001,0.011136117,0.011843888,0.00755947,3.419999838,0.42474246
1,1,57,0.028250001,0.00971273,0.010022797,0.004730814,2.679999828,0.188816741
