Locus,Parameter-number,Bin,Age,Parameter-value,Parameter-Frequency,Standard-deviation,Counts-per-bin,Autocorrelation-per-bin
1,1,1,0.00025,1.20841527,0.00585068,0.010603419,6120.600098,0.082350306
1,1,2,0.00075,0.905919015,0.004384816,0.007154313,10316.80957,0.098730318
1,1,3,0.00125,0.647453904,0.003852104,0.004435266,14226.16016,0.113519147
1,1,4,0.00175,0.494579643,0.00370152,0.003038756,17878.01953,0.120537028
1,1,5,0.00225,0.392134965,0.00377322,0.002234845,21565.53906,0.137127698
1,1,6,0.00275,0.320916891,0.004020503,0.001724385,25367.93945,0.151763573
1,1,7,0.00325,0.266640008,0.004391788,0.001353046,29539,0.169041991
1,1,8,0.00375,0.222803608,0.004855095,0.001073845,34121.89844,0.183333576
1,1,9,0.00425,0.185455635,0.005382383,0.000858151,39134.19922,0.198991567
1,1,10,0.00475,0.154409409,0.00598708,0.000699103,44606.86719,0.224260822
1,1,11,0.00525,0.127458125,0.006622871,0.000573616,50384.07813,0.255152553
1,1,12,0.00575,0.103830524,0.007292921,0.000470053,56693.95703,0.289178938
1,1,13,0.00625,0.084004112,0.008127062,0.00039109,63236.23047,0.334719867
1,1,14,0.00675,0.067141496,0.009007046,0.000320305,70586.82031,0.375744373
1,1,15,0.00725,0.053807385,0.010031765,0.000264232,77968.6875,0.423041105
1,1,16,0.00775,0.043560322,0.011153591,0.000221705,85184.78906,0.472077161
1,1,17,0.00825,0.036144573,0.012454809,0.000191055,90113.35938,0.51821667
1,1,18,0.00875,0.030553395,0.013785826,0.000171135,92852.08594,0.566963434
1,1,19,0.00925,0.026293177,0.015156946,0.000159756,93298.97656,0.616635501
1,1,20,0.009750001,0.022779256,0.01662009,0.000154901,92101.53906,0.668392301
1,1,21,0.010250001,0.019845499,0.018009178,0.000151387,90117.64844,0.709613204
1,1,22,0.010750001,0.017359776,0.019227075,0.000149547,88048.55469,0.74709785
1,1,23,0.011250001,0.015333737,0.020380784,0.000145922,85611.29688,0.771900833
1,1,24,0.011750001,0.0137798,0.02129388,0.00014171,82485.39063,0.78866446
1,1,25,0.012250001,0.012584047,0.022072598,0.000135484,78304.44531,0.793192148
1,1,26,0.012750001,0.011714874,0.022601029,0.000130351,73039.82813,0.792518616
1,1,27,0.013250001,0.011089223,0.023080157,0.000126312,66499.33594,0.785912275
1,1,28,0.013750001,0.010667649,0.023339931,0.000123427,59231.19922,0.773599565
1,1,29,0.014250001,0.010398963,0.023581442,0.000121529,51384.21875,0.756291986
1,1,30,0.014750001,0.010217367,0.023692899,0.000121231,43593.32031,0.735014498
1,1,31,0.015250001,0.010095687,0.023816058,0.000123677,36239.64844,0.716172457
1,1,32,0.015750001,0.010067586,0.023847988,0.00012742,29365.46875,0.694038808
1,1,33,0.016250001,0.010151267,0.024000412,0.000136763,23175.5293,0.68140924
1,1,34,0.016750001,0.010295664,0.023949912,0.000150006,18050.08008,0.671106875
1,1,35,0.017250001,0.010485794,0.023922322,0.000161624,13792.98926,0.64594692
1,1,36,0.017750001,0.010693471,0.024067648,0.000186188,10295.2998,0.653445423
1,1,37,0.018250001,0.011025365,0.024022743,0.000205975,7668.379883,0.630005181
1,1,38,0.018750001,0.011389997,0.023910057,0.000231423,5571.299805,0.61298877
1,1,39,0.019250001,0.011825202,0.024101095,0.000271777,3961.219971,0.611927152
1,1,40,0.019750001,0.012236753,0.024110621,0.00031232,2844.109863,0.603770495
1,1,41,0.020250001,0.012674008,0.024266519,0.00038781,2003.719971,0.625603974
1,1,42,0.020750001,0.013229862,0.024034428,0.000433999,1413.569946,0.578035176
1,1,43,0.021250001,0.0137,0.023654753,0.000486311,982.7399902,0.551533222
1,1,44,0.021750001,0.014166617,0.02406526,0.000565191,658.8999634,0.538445592
1,1,45,0.022250001,0.014903356,0.023986209,0.000730306,445.1799927,0.583191872
1,1,46,0.022750001,0.015458977,0.024036089,0.000802983,307.5700073,0.52262497
1,1,47,0.023250001,0.016173463,0.02421166,0.00110603,206.6599884,0.598191917
1,1,48,0.023750001,0.017173439,0.02340637,0.001419429,139.9700012,0.601623118
1,1,49,0.024250001,0.018157613,0.023313724,0.001551804,88.66999817,0.484089792
1,1,50,0.024750001,0.019002041,0.024265291,0.001825916,56.19999695,0.419827908
1,1,51,0.025250001,0.019527821,0.024609886,0.001999766,39.20000076,0.419995278
1,1,52,0.025750001,0.019949023,0.023071354,0.002449902,26.63999939,0.480484784
1,1,53,0.026250001,0.019863397,0.022570893,0.003718697,16.64999962,0.614656448
1,1,54,0.026750001,0.019088475,0.020460391,0.00493988,11.86999989,0.623060942
1,1,55,0.027250001,0.019008743,0.019403314,0.006919032,7.739999771,0.605694056
1,1,56,0.027750001,0.017063031,0.014510857,0.007801778,4.380000114,0.456670195
