Locus,Parameter-number,Bin,Age,Parameter-value,Parameter-Frequency,Standard-deviation,Counts-per-bin,Autocorrelation-per-bin
1,1,1,0.00025,0.088040449,0.003106307,0.000192942,115430.8359,0.022899088
1,1,2,0.00075,0.05572566,0.006421225,0.000105787,176943.5625,0.049294323
1,1,3,0.00125,0.031298872,0.011294994,5.90294E-05,217579.3594,0.100205936
1,1,4,0.00175,0.018863969,0.019665951,4.03952E-05,210991.5938,0.192057595
1,1,5,0.00225,0.011904774,0.033008006,3.55492E-05,175821.5938,0.367466092
1,1,6,0.00275,0.007050353,0.048204117,2.93497E-05,167437.625,0.509693027
1,1,7,0.00325,0.004341995,0.061582424,2.09504E-05,161351.1094,0.529879034
1,1,8,0.00375,0.003216341,0.070577771,1.59587E-05,123124.2344,0.46305719
1,1,9,0.00425,0.002888722,0.075821765,1.54731E-05,70396.14844,0.383907199
1,1,10,0.00475,0.002991118,0.077790618,0.000019074,31785.30859,0.324336886
1,1,11,0.00525,0.00333196,0.078431711,2.87034E-05,11963.60938,0.323125213
1,1,12,0.00575,0.003869305,0.078750394,4.95599E-05,4017.589844,0.351692945
1,1,13,0.00625,0.004520779,0.077669114,8.48714E-05,1259.859985,0.338399202
1,1,14,0.00675,0.005208077,0.07799267,0.00018258,357.6600037,0.495851278
1,1,15,0.00725,0.006167531,0.081612043,0.000317158,104.5099945,0.482257217
1,1,16,0.00775,0.006774805,0.073888309,0.00055054,31.05999947,0.493268609
