Locus,Parameter-number,Bin,Age,Parameter-value,Parameter-Frequency,Standard-deviation,Counts-per-bin,Autocorrelation-per-bin
1,1,1,0.00025,0.088203646,0.003067887,0.000212998,95218.16406,0.023367444
1,1,2,0.00075,0.055907492,0.00633467,0.000116791,146443.375,0.048795145
1,1,3,0.00125,0.031234751,0.0111343,0.000064437,179979.875,0.096340977
1,1,4,0.00175,0.018833946,0.01944018,4.43023E-05,173909.3906,0.191554144
1,1,5,0.00225,0.011844833,0.032557625,3.83623E-05,145250.5156,0.359437317
1,1,6,0.00275,0.007051721,0.047500033,0.000032058,138650.625,0.503649414
1,1,7,0.00325,0.004318183,0.060640462,2.29713E-05,133523.7188,0.528869808
1,1,8,0.00375,0.003213594,0.069727451,0.000017532,101394,0.459314853
1,1,9,0.00425,0.002904928,0.074942648,1.70516E-05,57686.21875,0.381281346
1,1,10,0.00475,0.002994647,0.077024497,2.11908E-05,26061.54883,0.32830599
1,1,11,0.00525,0.003336149,0.077787831,0.000032095,9846.019531,0.318279147
1,1,12,0.00575,0.003856175,0.077882052,0.000052169,3323.369873,0.320618212
1,1,13,0.00625,0.004487969,0.076934688,9.60636E-05,1011.97998,0.364726275
1,1,14,0.00675,0.005233479,0.07770367,0.000191913,286.2299805,0.444597185
1,1,15,0.00725,0.006033703,0.072001554,0.000396445,81.73999786,0.51602906
1,1,16,0.00775,0.006617256,0.080544725,0.00050564,24.45999908,0.316561252
