Locus,Parameter-number,Bin,Age,Parameter-value,Parameter-Frequency,Standard-deviation,Counts-per-bin,Autocorrelation-per-bin
1,1,1,0.00025,0.088133007,0.00326955,0.000278293,56093.4375,0.027205905
1,1,2,0.00075,0.055797648,0.006748741,0.000151644,86223.32813,0.048070103
1,1,3,0.00125,0.031249456,0.011864518,8.42296E-05,105915.2969,0.097054526
1,1,4,0.00175,0.018770188,0.020657541,5.75688E-05,102903.5,0.191447288
1,1,5,0.00225,0.0118417,0.034790337,5.01141E-05,85785.10156,0.36291334
1,1,6,0.00275,0.00704567,0.050861519,4.18764E-05,81513.98438,0.506926656
1,1,7,0.00325,0.004315359,0.064669401,2.97419E-05,78616.76563,0.526374221
1,1,8,0.00375,0.003197354,0.074097537,0.000022572,59904.88672,0.457911313
1,1,9,0.00425,0.002893114,0.079704948,2.21729E-05,34066.77734,0.383818895
1,1,10,0.00475,0.00299007,0.082098946,2.77643E-05,15326.5,0.33542788
1,1,11,0.00525,0.00333731,0.083219387,4.22512E-05,5802.419922,0.338632852
1,1,12,0.00575,0.003888714,0.082004309,7.56369E-05,1949.519897,0.381452769
1,1,13,0.00625,0.004572085,0.082387492,0.000140226,599.1199951,0.389215976
1,1,14,0.00675,0.005242521,0.082312338,0.000257155,178.7399902,0.365042329
1,1,15,0.00725,0.006064269,0.083398625,0.00039843,49.88999939,0.265978396
1,1,16,0.00775,0.006638821,0.077710278,0.000806607,13.63999939,0.479780793
