Locus,Parameter-number,Bin,Age,Parameter-value,Parameter-Frequency,Standard-deviation,Counts-per-bin,Autocorrelation-per-bin
1,1,1,0.00025,0.662701309,0.000537563,0.002896903,29132.13867,0.018613448
1,1,2,0.00075,0.453667581,0.000704359,0.001740667,37665.37109,0.029011941
1,1,3,0.00125,0.347582251,0.001025984,0.001337096,39106.11719,0.053566635
1,1,4,0.00175,0.275081545,0.001478069,0.001075799,39315.4375,0.074833185
1,1,5,0.00225,0.222887799,0.002077115,0.000916435,40018.76953,0.12112172
1,1,6,0.00275,0.180362582,0.002812697,0.00075881,41988.84766,0.165318027
1,1,7,0.00325,0.146180213,0.003668383,0.000639355,44718.67969,0.227946654
1,1,8,0.00375,0.120245293,0.00471543,0.000571325,45642.23828,0.305992991
1,1,9,0.00425,0.099251375,0.005942527,0.000535716,43958.5,0.39103511
1,1,10,0.00475,0.082471177,0.007379313,0.000507427,42316.86719,0.469955415
1,1,11,0.00525,0.067518614,0.008968622,0.000457187,42177.00781,0.53064388
1,1,12,0.00575,0.055317931,0.010633547,0.000412569,42720.33984,0.590308487
1,1,13,0.00625,0.045882277,0.012474011,0.000366167,43330.61719,0.631899238
1,1,14,0.00675,0.039357584,0.014644129,0.000339213,42864.82031,0.679790855
1,1,15,0.00725,0.03428591,0.016845156,0.000305568,41913.60938,0.701650918
1,1,16,0.00775,0.030688467,0.019094383,0.000291713,40740.62891,0.735918462
1,1,17,0.00825,0.027698031,0.021438941,0.000291205,39743.76953,0.775906622
1,1,18,0.00875,0.024763882,0.023295283,0.000288048,40040.34766,0.807583094
1,1,19,0.00925,0.021779958,0.024885578,0.000284708,41404.60938,0.836901426
1,1,20,0.009750001,0.019081052,0.026017105,0.000275214,43465.89844,0.855485916
1,1,21,0.010250001,0.016654346,0.026811244,0.000257674,45594.57031,0.864352763
1,1,22,0.010750001,0.014537348,0.027373204,0.000233983,47123.55859,0.864495158
1,1,23,0.011250001,0.012855531,0.027826646,0.000209766,47252.30078,0.857762754
1,1,24,0.011750001,0.011564351,0.02816985,0.000191046,45732.30078,0.849444211
1,1,25,0.012250001,0.010599292,0.02836722,0.00017454,42642.07813,0.834435642
1,1,26,0.012750001,0.009899403,0.028596636,0.000162439,38186.82813,0.815027118
1,1,27,0.013250001,0.00943963,0.028679708,0.000156921,32887.55859,0.797672927
1,1,28,0.013750001,0.009154213,0.028972764,0.000157235,26995.17969,0.780925214
1,1,29,0.014250001,0.008973814,0.029045684,0.000157903,21706.49023,0.758001983
1,1,30,0.014750001,0.008894166,0.028993651,0.000164691,16882.33984,0.738810003
1,1,31,0.015250001,0.008961164,0.029163132,0.000183924,12607.5,0.736058176
1,1,32,0.015750001,0.009109433,0.029154744,0.000204933,9248.889648,0.728600085
1,1,33,0.016250001,0.009359648,0.029181548,0.0002268,6637.699707,0.712017477
1,1,34,0.016750001,0.009695919,0.029384259,0.000278517,4673.25,0.726777256
1,1,35,0.017250001,0.01015903,0.029014122,0.000330077,3231.139893,0.718915939
1,1,36,0.017750001,0.010653514,0.029548205,0.000367877,2164.199951,0.680761814
1,1,37,0.018250001,0.011056836,0.029372463,0.00043391,1478.119995,0.686949253
1,1,38,0.018750001,0.011617977,0.029510483,0.000577376,994.9299927,0.725528896
1,1,39,0.019250001,0.012137574,0.029728323,0.000621007,684.4799805,0.681493044
1,1,40,0.019750001,0.01262716,0.027956668,0.00079803,461.75,0.703933001
1,1,41,0.020250001,0.01328669,0.029177243,0.000887828,290.1399841,0.642167151
1,1,42,0.020750001,0.013527711,0.0284537,0.000873953,185.5500031,0.539075911
1,1,43,0.021250001,0.014375778,0.028210454,0.001122786,109.7599945,0.580395699
1,1,44,0.021750001,0.014825558,0.029026156,0.001753907,69.33000183,0.753360391
1,1,45,0.022250001,0.014353839,0.027009612,0.002473445,41.56999969,0.776327372
1,1,46,0.022750001,0.013404306,0.022678889,0.00170322,28.13999939,0.491013944
1,1,47,0.023250001,0.011673136,0.017698713,0.004312241,15.93999958,0.764882386
