Locus,Parameter-number,Bin,Age,Parameter-value,Parameter-Frequency,Standard-deviation,Counts-per-bin,Autocorrelation-per-bin
1,1,1,0.00025,0.568226695,0.000452786,0.00236769,31617.44922,0.016339771
1,1,2,0.00075,0.40940398,0.000653561,0.001525641,39599.92969,0.027875891
1,1,3,0.00125,0.326311976,0.001005016,0.001217587,40525.85938,0.045858525
1,1,4,0.00175,0.264954954,0.001472585,0.00102281,40409.07031,0.075664528
1,1,5,0.00225,0.216756299,0.00206284,0.000869957,40858.27734,0.114640035
1,1,6,0.00275,0.177785367,0.002769985,0.00075451,41996.61719,0.172625601
1,1,7,0.00325,0.146352872,0.003601432,0.000670919,42301.98828,0.242367938
1,1,8,0.00375,0.122233003,0.004616448,0.00063654,40313.21875,0.33491832
1,1,9,0.00425,0.101190671,0.005788415,0.000596797,38386.00781,0.411385417
1,1,10,0.00475,0.083954133,0.007065851,0.000556723,37193.46094,0.480255902
1,1,11,0.00525,0.069510438,0.008492491,0.000504735,37404.69922,0.540295124
1,1,12,0.00575,0.057819203,0.010080928,0.000458192,37671.62109,0.592851698
1,1,13,0.00625,0.049251527,0.011731356,0.000428175,37151.73047,0.639042497
1,1,14,0.00675,0.042504553,0.013665265,0.000397019,36003.83984,0.672355592
1,1,15,0.00725,0.037546143,0.0155623,0.000364667,35162.48828,0.69604528
1,1,16,0.00775,0.033612166,0.017779544,0.000346127,34757.25,0.73160702
1,1,17,0.00825,0.030382363,0.019838907,0.000331222,35204.87891,0.763148964
1,1,18,0.00875,0.027382588,0.02167007,0.000324047,36501.07031,0.797749579
1,1,19,0.00925,0.02434931,0.022919707,0.000316245,38845.59766,0.827244282
1,1,20,0.009750001,0.021377826,0.024010362,0.000301206,41764.50781,0.84642148
1,1,21,0.010250001,0.018706262,0.024635416,0.00027723,44833.01953,0.854448378
1,1,22,0.010750001,0.016388297,0.025262984,0.00025836,46892.01953,0.862329543
1,1,23,0.011250001,0.014506295,0.025640642,0.000234476,47875.34766,0.859414995
1,1,24,0.011750001,0.012952511,0.025892388,0.000208949,47361.67969,0.846572042
1,1,25,0.012250001,0.011741584,0.026202645,0.000194842,45081.39844,0.84122175
1,1,26,0.012750001,0.010864101,0.026321605,0.000179714,41316.11719,0.823880971
1,1,27,0.013250001,0.010182073,0.026531082,0.000169895,36381.39844,0.806544662
1,1,28,0.013750001,0.009750527,0.026566058,0.000163216,30934.41992,0.783788741
1,1,29,0.014250001,0.009418454,0.026873823,0.000162465,25347.36914,0.766308188
1,1,30,0.014750001,0.009238847,0.026802402,0.000165174,20345.51953,0.750480413
1,1,31,0.015250001,0.009192799,0.026920598,0.000170921,15755.98926,0.730142772
1,1,32,0.015750001,0.009267445,0.027138066,0.000187904,11810.41016,0.723869979
1,1,33,0.016250001,0.009419895,0.027145082,0.000204821,8765.540039,0.707132638
1,1,34,0.016750001,0.009594834,0.027118672,0.000230744,6399.279785,0.701105833
1,1,35,0.017250001,0.009870544,0.027209027,0.00026088,4521.649902,0.685251534
1,1,36,0.017750001,0.010243877,0.027193848,0.000310647,3153.129883,0.695317686
1,1,37,0.018250001,0.010737759,0.027544674,0.000377416,2154.199951,0.70677954
1,1,38,0.018750001,0.011229035,0.027386341,0.000437821,1490.5,0.699362576
1,1,39,0.019250001,0.011797603,0.02762321,0.000540911,998.5499878,0.705704808
1,1,40,0.019750001,0.012400944,0.027490407,0.000679342,681.0299683,0.721675456
1,1,41,0.020250001,0.013058469,0.02779606,0.000706559,451.4799805,0.650383413
1,1,42,0.020750001,0.013579812,0.026593402,0.000988851,310.8500061,0.735353351
1,1,43,0.021250001,0.013909706,0.027466148,0.001304786,199.3199921,0.757061184
1,1,44,0.021750001,0.014953658,0.026848968,0.00177923,136.0099945,0.795752287
1,1,45,0.022250001,0.015636398,0.028005904,0.00117438,89.90999603,0.491547823
1,1,46,0.022750001,0.015599107,0.025763268,0.001786891,59.96999741,0.728536248
1,1,47,0.023250001,0.015837405,0.024342025,0.001844866,36.93999863,0.631067336
1,1,48,0.023750001,0.014329772,0.021550506,0.002743914,22.09000015,0.687510133
1,1,49,0.024250001,0.012788879,0.017526466,0.003587131,15.22999954,0.667382777
