Locus,Parameter-number,Bin,Age,Parameter-value,Parameter-Frequency,Standard-deviation,Counts-per-bin,Autocorrelation-per-bin
1,1,1,0.00025,0.592485428,0.000431923,0.002377504,34529.85938,0.016714741
1,1,2,0.00075,0.417185843,0.000610826,0.001542286,40804.98828,0.033613306
1,1,3,0.00125,0.327400804,0.000927138,0.00123401,40877.16797,0.055455606
1,1,4,0.00175,0.264178842,0.001360123,0.001032621,40890.66797,0.090719223
1,1,5,0.00225,0.21290721,0.001896312,0.000857686,42309.58984,0.127710909
1,1,6,0.00275,0.171939641,0.002562913,0.000706858,45447.98828,0.178823963
1,1,7,0.00325,0.140289694,0.003325977,0.000611151,47355.64063,0.246033162
1,1,8,0.00375,0.115720086,0.00426763,0.000567221,46119.69922,0.33528766
1,1,9,0.00425,0.095111981,0.005354712,0.000532475,43934.01953,0.417552441
1,1,10,0.00475,0.077396147,0.006665524,0.000484046,42118.84766,0.479979008
1,1,11,0.00525,0.064049669,0.008115334,0.000450726,42277.85938,0.555224538
1,1,12,0.00575,0.053295448,0.009662275,0.000410255,42901.19922,0.610581398
1,1,13,0.00625,0.045324545,0.011357606,0.000370995,43084.17969,0.651355028
1,1,14,0.00675,0.039352432,0.013264815,0.000336641,42512.48828,0.68089819
1,1,15,0.00725,0.035301372,0.015285334,0.000318823,41052.37891,0.712652922
1,1,16,0.00775,0.032360304,0.017369343,0.000306712,40093.48047,0.742763042
1,1,17,0.00825,0.02996191,0.019455997,0.000303293,39667.07813,0.776459038
1,1,18,0.00875,0.027747318,0.021279071,0.000311887,40200.66016,0.817299545
1,1,19,0.00925,0.025331944,0.02256578,0.000310955,42044.52734,0.842628241
1,1,20,0.009750001,0.022930557,0.023487961,0.00030455,44256.05859,0.859397411
1,1,21,0.010250001,0.020675184,0.024160542,0.000298708,46412.25781,0.87295121
1,1,22,0.010750001,0.018606396,0.02464699,0.000281001,48120.87891,0.873871505
1,1,23,0.011250001,0.016752163,0.024898766,0.000265975,49151.94922,0.874584436
1,1,24,0.011750001,0.015182764,0.025018783,0.000245718,48972.28906,0.866383851
1,1,25,0.012250001,0.013857978,0.025218651,0.000229945,47143.23047,0.857680857
1,1,26,0.012750001,0.012854184,0.025376301,0.000213169,43931.00781,0.841426909
1,1,27,0.013250001,0.012070324,0.025442299,0.000206485,39620.21875,0.831882
1,1,28,0.013750001,0.011500307,0.025605531,0.000204165,34669.41797,0.821572483
1,1,29,0.014250001,0.011044161,0.025665676,0.000198418,29568.75,0.799314141
1,1,30,0.014750001,0.010751772,0.025823152,0.000204884,24434.09961,0.791579545
1,1,31,0.015250001,0.010602525,0.025909742,0.000209495,19738.40039,0.774858236
1,1,32,0.015750001,0.010529961,0.025903227,0.000216758,15565.38965,0.755306125
1,1,33,0.016250001,0.010533857,0.025804207,0.000232968,12087.66016,0.747391939
1,1,34,0.016750001,0.01059582,0.025903909,0.000247655,9111.339844,0.73269099
1,1,35,0.017250001,0.010727512,0.026046999,0.000273157,6783.419922,0.728422105
1,1,36,0.017750001,0.01103798,0.026334276,0.000309256,4937.989746,0.724303842
1,1,37,0.018250001,0.011386707,0.02612084,0.000343911,3626.859863,0.713686824
1,1,38,0.018750001,0.011882915,0.026580561,0.000426707,2583.52002,0.744126797
1,1,39,0.019250001,0.012378395,0.025863007,0.000455268,1884.01001,0.701209307
1,1,40,0.019750001,0.012759667,0.026635176,0.000500018,1314.619995,0.673487842
1,1,41,0.020250001,0.013139755,0.026137566,0.000621674,934.75,0.714455545
1,1,42,0.020750001,0.013775596,0.026311439,0.000750848,641.0299683,0.732879996
1,1,43,0.021250001,0.01429076,0.026696468,0.000774729,434.8099976,0.661793649
1,1,44,0.021750001,0.01472021,0.025657324,0.000937725,309.6600037,0.710042238
1,1,45,0.022250001,0.015809532,0.026517805,0.001409877,204.1100006,0.807429731
1,1,46,0.022750001,0.016524075,0.026718494,0.001383326,138.3600006,0.742208183
1,1,47,0.023250001,0.017510474,0.025551636,0.002345746,92.30999756,0.864484847
1,1,48,0.023750001,0.017951513,0.024369108,0.002159618,55.07999802,0.769575477
1,1,49,0.024250001,0.016516989,0.022466494,0.003718429,37.80999756,0.854696333
1,1,50,0.024750001,0.015141198,0.016588908,0.005191771,25.65999985,0.848002553
1,1,51,0.025250001,0.010997412,0.013601669,0.009863953,14.40999985,0.822034776
