Locus,Parameter-number,Bin,Age,Parameter-value,Parameter-Frequency,Standard-deviation,Counts-per-bin,Autocorrelation-per-bin
1,1,1,0.00025,0.044279669,0.000797615,0.000127288,73266.85156,0.049861629
1,1,2,0.00075,0.035319571,0.001654412,0.00010039,85349.97656,0.083981074
1,1,3,0.00125,0.028237836,0.002783542,8.46889E-05,87209.89063,0.130933851
1,1,4,0.00175,0.022500807,0.004035841,7.27189E-05,90629.17188,0.190004751
1,1,5,0.00225,0.018078381,0.005268071,5.98665E-05,97337.11719,0.220967025
1,1,6,0.00275,0.015909163,0.006525418,4.79448E-05,103367.9766,0.185062885
1,1,7,0.00325,0.016447552,0.007870188,0.000043331,106940.8906,0.152105615
1,1,8,0.00375,0.018830437,0.009214954,4.41906E-05,108812.7266,0.176054746
1,1,9,0.00425,0.021777792,0.010472438,4.43778E-05,109438.1953,0.209865496
1,1,10,0.00475,0.024387443,0.011530468,4.21439E-05,109357.0078,0.231977969
1,1,11,0.00525,0.026321223,0.012354529,3.85959E-05,108927.0313,0.243291125
1,1,12,0.00575,0.027598418,0.012956397,3.51825E-05,108398.5313,0.249231234
1,1,13,0.00625,0.028371032,0.013381125,3.28515E-05,107859.625,0.257922262
1,1,14,0.00675,0.028800676,0.013664646,3.15107E-05,107395.6563,0.265631139
1,1,15,0.00725,0.029024039,0.013845166,3.08957E-05,107081.0156,0.272707224
1,1,16,0.00775,0.029127186,0.013960376,3.06845E-05,106834.6406,0.277754545
1,1,17,0.00825,0.029168107,0.014033268,0.000030637,106668.0469,0.280703247
1,1,18,0.00875,0.029179301,0.014074108,3.06518E-05,106566.1563,0.282373935
1,1,19,0.00925,0.029180251,0.014092172,3.06747E-05,106489.1563,0.283167452
1,1,20,0.009750001,0.029181013,0.014103125,0.000030683,106394.625,0.283662826
1,1,21,0.010250001,0.029188024,0.014107057,3.06598E-05,106307.8594,0.284087449
1,1,22,0.010750001,0.029207464,0.014106372,3.06103E-05,106166.6875,0.284627259
1,1,23,0.011250001,0.029243771,0.014100384,3.05338E-05,105938.8672,0.285321385
1,1,24,0.011750001,0.029302524,0.014093156,3.04248E-05,105565.3203,0.286140651
1,1,25,0.012250001,0.029388541,0.014082744,3.03022E-05,104990.9297,0.287469238
1,1,26,0.012750001,0.02950803,0.014063509,3.01768E-05,104156.125,0.289363354
1,1,27,0.013250001,0.029666307,0.014033342,3.00582E-05,102972.7891,0.291707009
1,1,28,0.013750001,0.029867103,0.013998884,2.99504E-05,101372.4453,0.294334203
1,1,29,0.014250001,0.03011431,0.013959856,2.98875E-05,99295.55469,0.29778266
1,1,30,0.014750001,0.030407522,0.013915068,2.98909E-05,96706.91406,0.301954001
1,1,31,0.015250001,0.030749355,0.013867263,2.99629E-05,93540.82813,0.30624485
1,1,32,0.015750001,0.031138595,0.013814147,3.01184E-05,89836.35938,0.310622841
1,1,33,0.016250001,0.031570271,0.013759089,3.03933E-05,85635.26563,0.315574318
1,1,34,0.016750001,0.032046121,0.013700186,3.07712E-05,80957.39844,0.319979668
1,1,35,0.017250001,0.032562573,0.013639968,3.12656E-05,75876.04688,0.323763967
1,1,36,0.017750001,0.033116207,0.013578902,3.18632E-05,70479.17188,0.325895339
1,1,37,0.018250001,0.033706557,0.01351574,3.25694E-05,64864.21875,0.326195478
1,1,38,0.018750001,0.034333076,0.013451791,0.000033457,59138.76953,0.326391071
1,1,39,0.019250001,0.034990881,0.013388962,3.44544E-05,53412.91016,0.32407558
1,1,40,0.019750001,0.03567373,0.013331054,3.56103E-05,47793.71875,0.320141822
1,1,41,0.020250001,0.036374833,0.013278713,3.69708E-05,42388.30078,0.314981222
1,1,42,0.020750001,0.037105788,0.013216972,3.85482E-05,37251.82813,0.308926195
1,1,43,0.021250001,0.037850812,0.013168044,4.02579E-05,32466.05859,0.300025791
1,1,44,0.021750001,0.038614828,0.013116439,4.22193E-05,28059.88867,0.290700167
1,1,45,0.022250001,0.039393906,0.013060471,4.44251E-05,24062.87891,0.279992968
1,1,46,0.022750001,0.040182136,0.013013652,4.69945E-05,20470.40039,0.269442052
1,1,47,0.023250001,0.04098561,0.012966057,4.99544E-05,17270.42969,0.258455396
1,1,48,0.023750001,0.041798905,0.012909893,5.34029E-05,14466.26953,0.248311892
1,1,49,0.024250001,0.042617023,0.012880862,5.74134E-05,12014.31934,0.237730518
1,1,50,0.024750001,0.04345426,0.012820059,6.19034E-05,9918.55957,0.227037385
1,1,51,0.025250001,0.04430379,0.012776407,6.70956E-05,8122.540039,0.217512399
1,1,52,0.025750001,0.045165673,0.012730346,7.28474E-05,6596.759766,0.204630375
1,1,53,0.026250001,0.046033401,0.01270627,7.96435E-05,5319.029785,0.194263309
