Locus,Parameter-number,Bin,Age,Parameter-value,Parameter-Frequency,Standard-deviation,Counts-per-bin,Autocorrelation-per-bin
1,1,1,0.00025,0.044323925,0.000783062,0.000128404,73075.28125,0.051676299
1,1,2,0.00075,0.035203386,0.001622929,0.000100303,85496.75781,0.085846946
1,1,3,0.00125,0.028162552,0.002732389,8.42054E-05,87322.86719,0.130814865
1,1,4,0.00175,0.022459123,0.003969729,0.000072548,90749.57031,0.1883315
1,1,5,0.00225,0.018010743,0.005180678,5.96042E-05,97394.14844,0.218353435
1,1,6,0.00275,0.015870571,0.006416881,4.77759E-05,103397.2188,0.184052303
1,1,7,0.00325,0.016438531,0.007725388,4.32917E-05,107037.2578,0.153179139
1,1,8,0.00375,0.018862549,0.009070864,4.42855E-05,108630.5469,0.178169593
1,1,9,0.00425,0.021814214,0.01030051,4.43877E-05,109343.0547,0.210611716
1,1,10,0.00475,0.024420973,0.011332762,4.20684E-05,109294.8359,0.231550768
1,1,11,0.00525,0.026342746,0.012145707,3.85442E-05,108845.9766,0.243174434
1,1,12,0.00575,0.027601384,0.012730707,3.51924E-05,108367.7344,0.249846533
1,1,13,0.00625,0.028363718,0.013148428,3.28391E-05,107862.4063,0.257510811
1,1,14,0.00675,0.028790424,0.013426334,3.15184E-05,107422.0781,0.265958309
1,1,15,0.00725,0.029011523,0.013598906,3.09165E-05,107116.3359,0.27324158
1,1,16,0.00775,0.029113336,0.013713294,0.0000307,106853.3359,0.278145224
1,1,17,0.00825,0.029153692,0.013784927,3.06497E-05,106673.6172,0.280821204
1,1,18,0.00875,0.029165719,0.013825277,3.06557E-05,106563.2266,0.282244682
1,1,19,0.00925,0.02916595,0.013841506,3.06771E-05,106488.7656,0.28298682
1,1,20,0.009750001,0.029166402,0.013851064,3.06832E-05,106409.9063,0.283532262
1,1,21,0.010250001,0.029173678,0.013855401,3.06575E-05,106315.0156,0.283840239
1,1,22,0.010750001,0.029193943,0.013855133,3.06039E-05,106165.0859,0.284186363
1,1,23,0.011250001,0.029231049,0.013849462,3.05202E-05,105931.3984,0.284662664
1,1,24,0.011750001,0.029290156,0.013842104,3.04071E-05,105552.9453,0.285301
1,1,25,0.012250001,0.029376935,0.013831191,3.02813E-05,104976.5547,0.286495656
1,1,26,0.012750001,0.029497551,0.013812089,3.01405E-05,104138.2578,0.287934393
1,1,27,0.013250001,0.029656677,0.013783532,3.00269E-05,102947.1484,0.290326804
1,1,28,0.013750001,0.029858898,0.013747456,2.99336E-05,101353.25,0.293412775
1,1,29,0.014250001,0.03010861,0.013707968,2.98727E-05,99259.25,0.296865881
1,1,30,0.014750001,0.030404355,0.013665751,0.00002988,96632.48438,0.300996184
1,1,31,0.015250001,0.030748533,0.013615353,2.99405E-05,93469.07031,0.304935157
1,1,32,0.015750001,0.031140171,0.013563943,3.01279E-05,89738.72656,0.31003502
1,1,33,0.016250001,0.031579122,0.01350897,3.03739E-05,85491.86719,0.314229131
1,1,34,0.016750001,0.032057274,0.013457589,3.07575E-05,80770.07813,0.318696886
1,1,35,0.017250001,0.032575205,0.013394997,3.12515E-05,75696.26563,0.322371304
1,1,36,0.017750001,0.033131618,0.01333579,3.18442E-05,70302.82813,0.324535191
1,1,37,0.018250001,0.033723071,0.013278146,3.25716E-05,64692.07813,0.325560421
1,1,38,0.018750001,0.034344997,0.0132159,3.34317E-05,59011.02734,0.325090736
1,1,39,0.019250001,0.035002086,0.013153503,0.000034444,53292.82813,0.323031455
1,1,40,0.019750001,0.035679996,0.013101588,3.55972E-05,47705.25781,0.319035709
1,1,41,0.020250001,0.03638275,0.013040353,3.69055E-05,42343.91797,0.313409269
1,1,42,0.020750001,0.037111513,0.012982015,3.84569E-05,37233.89063,0.307273567
1,1,43,0.021250001,0.037854619,0.012937134,4.02149E-05,32437.03906,0.299029321
1,1,44,0.021750001,0.038614962,0.01287982,4.21672E-05,28053.71875,0.289355457
1,1,45,0.022250001,0.039402269,0.012811108,4.43647E-05,24041.33984,0.278241336
1,1,46,0.022750001,0.040198021,0.012782369,4.70421E-05,20405.42969,0.268895924
1,1,47,0.023250001,0.041003514,0.012731443,5.00174E-05,17221.35938,0.258465052
1,1,48,0.023750001,0.041822083,0.012687992,5.33945E-05,14409.66992,0.246646494
1,1,49,0.024250001,0.042651236,0.012644846,5.72202E-05,11966.58008,0.234249011
1,1,50,0.024750001,0.043487158,0.012596514,6.17504E-05,9873.649414,0.224500954
1,1,51,0.025250001,0.044334654,0.012551568,6.70362E-05,8087.049805,0.216108054
1,1,52,0.025750001,0.045194354,0.012500517,7.29663E-05,6575.469727,0.206125855
1,1,53,0.026250001,0.046062846,0.012484944,7.97113E-05,5297.350098,0.195062503
1,1,54,0.026750001,0.046933755,0.012431417,8.71876E-05,4254.169922,0.182112336
1,1,55,0.027250001,0.047817234,0.012394413,9.62577E-05,3389.809814,0.172707528
1,1,56,0.027750001,0.048699286,0.012353452,0.000107095,2688.530029,0.167538837
1,1,57,0.028250001,0.049592327,0.012368456,0.000119399,2114.159912,0.161571086
1,1,58,0.028750001,0.050496191,0.01229235,0.000132386,1661.819946,0.151378766
1,1,59,0.029250001,0.051410765,0.0122455,0.000148282,1292.809937,0.144554645
1,1,60,0.029750001,0.052329425,0.012210636,0.000166301,999.5099487,0.134751424
1,1,61,0.030250001,0.053243604,0.012211262,0.000187101,770.7099609,0.127820641
1,1,62,0.030750002,0.054144401,0.012198063,0.000210913,591.8699951,0.118781298
1,1,63,0.031250002,0.055042103,0.01218407,0.000240305,453.6199951,0.116406329
1,1,64,0.031750002,0.055935763,0.012143088,0.000272639,348.5700073,0.111946672
1,1,65,0.032250002,0.056890648,0.012108986,0.000307568,263.4499817,0.099381313
1,1,66,0.032750002,0.057825841,0.011975811,0.000355544,199.3600006,0.100756988
1,1,67,0.033250002,0.058830686,0.011962806,0.000411352,148.2200012,0.103477106
1,1,68,0.033750002,0.059774723,0.012184308,0.000469065,110.1299973,0.09813077
1,1,69,0.034250002,0.060649838,0.012162946,0.000534133,84,0.097756393
1,1,70,0.034750002,0.061678987,0.011835335,0.000584746,63.5399971,0.063130416
1,1,71,0.035250002,0.062708847,0.011979671,0.000663837,46.59999847,0.070876613
1,1,72,0.035750002,0.063527301,0.011948197,0.000797637,34.41999817,0.097501487
1,1,73,0.036250002,0.064510256,0.01210585,0.000929017,24.84000015,0.083460711
1,1,74,0.036750002,0.065365046,0.012052323,0.001075621,18.34000015,0.064931221
1,1,75,0.037250002,0.066329315,0.011948904,0.001264565,13.5199995,0.054335013
1,1,76,0.037750002,0.066021092,0.011825275,0.00157229,9.630000114,0.068503209
1,1,77,0.038250002,0.067199811,0.010984614,0.00186162,7.129999638,0.054294124
1,1,78,0.038750002,0.065701194,0.011354601,0.00215862,4.690000057,-0.004657925
1,1,79,0.039250002,0.062886961,0.011025178,0.002474967,3.449999809,-0.050361261
1,1,80,0.039750002,0.062401395,0.009436568,0.003142812,2.529999971,-0.029359413
1,1,81,0.040250002,0.054313891,0.008720425,0.002952906,1.569999933,-0.111955218
