Locus,Parameter-number,Bin,Age,Parameter-value,Parameter-Frequency,Standard-deviation,Counts-per-bin,Autocorrelation-per-bin
1,1,1,0.00025,0.04428269,0.000785152,0.000127488,73175.26563,0.050409596
1,1,2,0.00075,0.035245031,0.001629879,0.000100257,85520.07813,0.085413106
1,1,3,0.00125,0.028159728,0.002737558,8.41096E-05,87308.375,0.129746378
1,1,4,0.00175,0.022469617,0.003980543,7.24818E-05,90656.53906,0.188398346
1,1,5,0.00225,0.018038297,0.005194882,5.96274E-05,97474.41406,0.219317511
1,1,6,0.00275,0.015905647,0.006433038,4.78451E-05,103389.1172,0.184097707
1,1,7,0.00325,0.016456904,0.007752731,4.33565E-05,106861.8672,0.152892321
1,1,8,0.00375,0.018834682,0.009082368,4.42368E-05,108678.4375,0.177182958
1,1,9,0.00425,0.021786289,0.010318681,4.44006E-05,109335.2344,0.210831434
1,1,10,0.00475,0.024386095,0.011362874,4.21012E-05,109232.2656,0.231667817
1,1,11,0.00525,0.026309323,0.012170414,3.85115E-05,108860.6563,0.241851464
1,1,12,0.00575,0.027583038,0.012760276,0.000035163,108382.4609,0.248719335
1,1,13,0.00625,0.02835778,0.013177938,3.28138E-05,107868.8594,0.257145792
1,1,14,0.00675,0.028788561,0.013451793,3.14878E-05,107465.7188,0.26562503
1,1,15,0.00725,0.029012643,0.013632334,3.08584E-05,107123.4141,0.272233099
1,1,16,0.00775,0.029114928,0.013752676,3.06586E-05,106833.9063,0.277355552
1,1,17,0.00825,0.029154085,0.013821577,3.06078E-05,106678.875,0.280094475
1,1,18,0.00875,0.029165153,0.013861928,3.06221E-05,106563.6953,0.281703621
1,1,19,0.00925,0.029165918,0.013878798,0.000030648,106486.6875,0.282591313
1,1,20,0.009750001,0.029166823,0.013889263,3.06506E-05,106401.6406,0.282943249
1,1,21,0.010250001,0.029174997,0.013893629,3.06189E-05,106309.5,0.28310734
1,1,22,0.010750001,0.029194614,0.013892088,3.05672E-05,106170.5547,0.283513546
1,1,23,0.011250001,0.029230677,0.01388711,3.04903E-05,105934.6797,0.284099281
1,1,24,0.011750001,0.029289205,0.013879482,3.03851E-05,105562.0859,0.28499645
1,1,25,0.012250001,0.02937609,0.013868395,0.000030256,104990.5313,0.286189377
1,1,26,0.012750001,0.029497461,0.013849679,3.01215E-05,104141.5469,0.287885338
1,1,27,0.013250001,0.029655006,0.013820526,3.00108E-05,102958,0.290384591
1,1,28,0.013750001,0.029857095,0.013785056,2.99252E-05,101358.0859,0.293639392
1,1,29,0.014250001,0.030105846,0.013746508,2.98669E-05,99269.47656,0.29719612
1,1,30,0.014750001,0.030401031,0.013703231,0.00002987,96661.32813,0.30132556
1,1,31,0.015250001,0.03074353,0.013654217,2.99481E-05,93509.55469,0.305791825
1,1,32,0.015750001,0.031132879,0.013603564,3.00962E-05,89798,0.309957922
1,1,33,0.016250001,0.031567868,0.013548549,3.03549E-05,85571.82031,0.314503878
1,1,34,0.016750001,0.032047287,0.013489276,3.07375E-05,80867.01563,0.31908071
1,1,35,0.017250001,0.032566879,0.01343452,3.12319E-05,75732.96094,0.32274434
1,1,36,0.017750001,0.033120431,0.013371417,3.18264E-05,70351.74219,0.324814111
1,1,37,0.018250001,0.033712536,0.01330734,3.25537E-05,64745.16016,0.325856626
1,1,38,0.018750001,0.034338981,0.013246757,3.34013E-05,59013.82813,0.324770302
1,1,39,0.019250001,0.034992844,0.013193757,3.43925E-05,53289.83984,0.32208854
1,1,40,0.019750001,0.035673894,0.01313292,3.55225E-05,47702.25781,0.317600071
1,1,41,0.020250001,0.036375895,0.013077638,3.68606E-05,42327.07813,0.312575132
1,1,42,0.020750001,0.037101045,0.013019624,3.83598E-05,37226.10938,0.305627853
1,1,43,0.021250001,0.037845407,0.012966063,4.00451E-05,32444.72852,0.296495289
1,1,44,0.021750001,0.038604096,0.012921787,4.20422E-05,28030.26953,0.287380666
1,1,45,0.022250001,0.039375156,0.012869546,4.43314E-05,24042.50977,0.277527452
1,1,46,0.022750001,0.040160812,0.01281286,4.68987E-05,20463.49023,0.26611653
1,1,47,0.023250001,0.040971179,0.012756733,4.98956E-05,17257.96875,0.255435258
1,1,48,0.023750001,0.041792702,0.01271356,5.33124E-05,14439.30957,0.245011196
1,1,49,0.024250001,0.042629536,0.012672141,5.73299E-05,11979.2793,0.236041457
1,1,50,0.024750001,0.043462098,0.012642697,0.000061754,9880.689453,0.224475443
1,1,51,0.025250001,0.044309348,0.012585852,6.68103E-05,8100.060059,0.212936178
1,1,52,0.025750001,0.045179773,0.012524427,0.000072606,6580.739746,0.201630458
1,1,53,0.026250001,0.046054401,0.012499257,0.000079225,5300.959961,0.189524323
1,1,54,0.026750001,0.046924647,0.012492968,8.66589E-05,4250.709961,0.177786246
1,1,55,0.027250001,0.047797751,0.012428779,9.54758E-05,3398.159912,0.170129821
1,1,56,0.027750001,0.048691664,0.012379218,0.000106168,2691.01001,0.165143222
1,1,57,0.028250001,0.049589992,0.012351072,0.000117753,2120.589844,0.156633601
1,1,58,0.028750001,0.050494652,0.012354869,0.000131104,1655.890015,0.147265062
1,1,59,0.029250001,0.051404551,0.012314856,0.000146703,1292.150024,0.143726423
1,1,60,0.029750001,0.052283023,0.0123111,0.000164449,1002.380005,0.134120211
1,1,61,0.030250001,0.053193882,0.012248777,0.000182567,774.6900024,0.117071025
1,1,62,0.030750002,0.054127276,0.012203591,0.000204757,591.0299683,0.102300279
1,1,63,0.031250002,0.055017803,0.012215805,0.000230697,452.5999756,0.090349712
1,1,64,0.031750002,0.055906184,0.012192864,0.000262522,345.6799927,0.085174263
1,1,65,0.032250002,0.056853764,0.012113749,0.000295167,261.1499939,0.066898167
1,1,66,0.032750002,0.057753362,0.012142485,0.000336981,197.1299896,0.064107209
1,1,67,0.033250002,0.058666717,0.012138157,0.000385473,147.1299896,0.056090709
1,1,68,0.033750002,0.059585147,0.012036273,0.000451743,111.5999985,0.085742481
1,1,69,0.034250002,0.060517706,0.012121199,0.000523749,82.25,0.087281518
1,1,70,0.034750002,0.061472125,0.012087399,0.000594364,61.09000015,0.076364271
1,1,71,0.035250002,0.062356956,0.012007474,0.000716128,45.45999908,0.110121526
1,1,72,0.035750002,0.063353568,0.012026239,0.000806511,33.34000015,0.083123103
