Locus,Parameter-number,Bin,Age,Parameter-value,Parameter-Frequency,Standard-deviation,Counts-per-bin,Autocorrelation-per-bin
1,1,1,0.00025,0.061003413,9.60875E-05,0.00012324,158575.8594,0.051256523
1,1,2,0.00075,0.057348158,0.000526616,0.000168299,78905.71094,0.07175801
1,1,3,0.00125,0.053766079,0.001223592,0.000195984,57057.29688,0.118329451
1,1,4,0.00175,0.050611112,0.002090595,0.000219241,47417.44922,0.194569603
1,1,5,0.00225,0.04790248,0.003028788,0.000241775,42380.67969,0.282052636
1,1,6,0.00275,0.045439757,0.003987169,0.00025868,39624.17969,0.356792152
1,1,7,0.00325,0.043047823,0.004890217,0.000270192,38490.16016,0.422530681
1,1,8,0.00375,0.040676016,0.005702674,0.000275204,38488.17969,0.475600302
1,1,9,0.00425,0.038294189,0.006401452,0.000273602,39353.14844,0.516338289
1,1,10,0.00475,0.036019512,0.00699692,0.000270376,40700.64844,0.553708553
1,1,11,0.00525,0.033860076,0.007488983,0.000264712,42366.23047,0.584052801
1,1,12,0.00575,0.031887718,0.00794337,0.000257584,43941.58984,0.607385576
1,1,13,0.00625,0.030107124,0.008316355,0.000251754,45350.55078,0.629392147
1,1,14,0.00675,0.028498968,0.008632966,0.000244643,46600.32813,0.644571424
1,1,15,0.00725,0.027036224,0.008905794,0.000238835,47590.32813,0.659905493
1,1,16,0.00775,0.025747022,0.009133103,0.000232812,48248.07031,0.670317888
1,1,17,0.00825,0.024600193,0.009345064,0.00022863,48390.64844,0.680413246
1,1,18,0.00875,0.023627138,0.009514824,0.000223746,48235.86719,0.686231077
1,1,19,0.00925,0.022777228,0.009665718,0.000219214,47695.35938,0.690065682
1,1,20,0.009750001,0.022070896,0.009785384,0.000215393,46761.87891,0.691915691
1,1,21,0.010250001,0.021503069,0.009907849,0.000213963,45369.61719,0.695117533
1,1,22,0.010750001,0.021038102,0.00999586,0.000212204,43767.09766,0.694843531
1,1,23,0.011250001,0.020705719,0.010081826,0.000211626,41839.36719,0.693650305
1,1,24,0.011750001,0.020456225,0.010155204,0.000212158,39739.25,0.69294095
1,1,25,0.012250001,0.020293007,0.010225397,0.000213358,37454.02734,0.690202236
1,1,26,0.012750001,0.020219497,0.010297844,0.000215795,35055.41797,0.688064456
1,1,27,0.013250001,0.020197889,0.010335231,0.000217842,32735.87891,0.683865428
1,1,28,0.013750001,0.020217627,0.010372634,0.000221656,30390.54883,0.681288779
1,1,29,0.014250001,0.020291174,0.010417646,0.000225615,28016.78906,0.676315963
1,1,30,0.014750001,0.02043445,0.010450238,0.000232064,25715.15039,0.674802125
1,1,31,0.015250001,0.020631095,0.010482796,0.000238926,23526.43945,0.671698391
1,1,32,0.015750001,0.020829396,0.010525272,0.000245848,21444.23047,0.667599022
1,1,33,0.016250001,0.021114532,0.010531134,0.000254039,19490.36914,0.664484501
1,1,34,0.016750001,0.021440387,0.010553302,0.000263612,17632.99023,0.662318051
1,1,35,0.017250001,0.021809032,0.010580195,0.000275324,15900.21973,0.662447691
1,1,36,0.017750001,0.022193687,0.010599657,0.00028651,14321.18945,0.659316182
1,1,37,0.018250001,0.022613704,0.010601959,0.000298139,12873.16016,0.655532122
1,1,38,0.018750001,0.023048913,0.010634564,0.000310953,11525.5498,0.652305245
1,1,39,0.019250001,0.023520377,0.01063318,0.000327664,10326.75,0.654488027
1,1,40,0.019750001,0.024038566,0.010642474,0.000341456,9217.549805,0.649101734
1,1,41,0.020250001,0.024553176,0.010645773,0.00035913,8211.389648,0.648387075
1,1,42,0.020750001,0.025103189,0.010665976,0.000375716,7288.080078,0.644606412
1,1,43,0.021250001,0.025652548,0.010674283,0.000393649,6476.899902,0.641462207
1,1,44,0.021750001,0.026246464,0.010671825,0.00041804,5754.819824,0.645311713
1,1,45,0.022250001,0.026899947,0.010678378,0.000443789,5091.279785,0.646319389
1,1,46,0.022750001,0.027579352,0.010676995,0.000465177,4507.179688,0.639948607
1,1,47,0.023250001,0.028217379,0.010673937,0.000484362,3987.030029,0.632359386
1,1,48,0.023750001,0.02889223,0.010697564,0.000519626,3503.209961,0.639746785
1,1,49,0.024250001,0.029624125,0.010698345,0.000554328,3087.800049,0.642230928
1,1,50,0.024750001,0.030426201,0.010701878,0.000593532,2719.129883,0.644767046
1,1,51,0.025250001,0.031165892,0.010703767,0.000624375,2394.469971,0.63808012
1,1,52,0.025750001,0.031934824,0.010697205,0.000648196,2107.209961,0.625337064
1,1,53,0.026250001,0.032635193,0.01068209,0.000692264,1852.409912,0.633471012
1,1,54,0.026750001,0.033436023,0.010667443,0.000721685,1623.189941,0.627520382
1,1,55,0.027250001,0.034247592,0.010720241,0.000755355,1420.369995,0.625042081
1,1,56,0.027750001,0.034964204,0.010743442,0.000815956,1254.179932,0.636485338
1,1,57,0.028250001,0.03580955,0.010694235,0.000839825,1103,0.61882782
1,1,58,0.028750001,0.036593448,0.010677641,0.00088156,966.289978,0.611433148
1,1,59,0.029250001,0.037420105,0.010709788,0.00095898,842.1199951,0.627983034
1,1,60,0.029750001,0.038319912,0.010745585,0.001044791,736.5100098,0.639908195
1,1,61,0.030250001,0.039211892,0.010729381,0.001065309,648.6599731,0.614992917
1,1,62,0.030750002,0.040065698,0.010707147,0.001143187,569.0700073,0.619368017
1,1,63,0.031250002,0.040921863,0.010727625,0.001243051,496.6199951,0.627860785
1,1,64,0.031750002,0.041883368,0.010690986,0.001313261,433.5599976,0.617009521
1,1,65,0.032250002,0.04281985,0.010688655,0.001405431,378.1699829,0.617955029
1,1,66,0.032750002,0.043721948,0.010714983,0.001459752,330.8899841,0.604793906
1,1,67,0.033250002,0.044581421,0.01076278,0.001575749,288.7999878,0.61084336
1,1,68,0.033750002,0.045286726,0.010714506,0.001570646,253.4700012,0.574707866
1,1,69,0.034250002,0.046106152,0.010731158,0.001806627,221.6799927,0.623857677
1,1,70,0.034750002,0.046994317,0.010783508,0.00192774,193.3000031,0.61853081
1,1,71,0.035250002,0.047814954,0.010679752,0.001867193,171.4100037,0.556875825
1,1,72,0.035750002,0.048598569,0.010786432,0.002094123,150.0800018,0.607623577
1,1,73,0.036250002,0.04949303,0.010696911,0.002230816,133.0999908,0.611557961
1,1,74,0.036750002,0.050355621,0.010687174,0.002399051,116.7699966,0.61529702
1,1,75,0.037250002,0.051291592,0.010742688,0.002563515,101.0799942,0.609642625
1,1,76,0.037750002,0.052459553,0.010631256,0.002671122,88,0.592524111
1,1,77,0.038250002,0.053508509,0.010637536,0.002879798,75.41999817,0.585458875
1,1,78,0.038750002,0.054583728,0.010837392,0.003070903,63.94999695,0.575590491
1,1,79,0.039250002,0.055567656,0.010785433,0.003175325,56.63999939,0.565586627
1,1,80,0.039750002,0.056313623,0.010535226,0.003286226,50.63999939,0.547723591
1,1,81,0.040250002,0.05713933,0.010734567,0.003589672,43.70000076,0.559664965
1,1,82,0.040750002,0.058612306,0.010781153,0.003651237,37.54000092,0.53762877
1,1,83,0.041250002,0.059381645,0.010743642,0.003721539,33.32999802,0.518435538
1,1,84,0.041750002,0.060014628,0.010674108,0.003947125,29.62999916,0.516606331
1,1,85,0.042250002,0.061044458,0.010531163,0.004156299,25.32999992,0.497826725
1,1,86,0.042750002,0.062188901,0.010845918,0.004566417,20.71999931,0.485484541
1,1,87,0.043250002,0.063182376,0.01088179,0.004795805,18.63999939,0.491975516
1,1,88,0.043750002,0.063961841,0.010617076,0.005178318,16.60000038,0.492208958
1,1,89,0.044250002,0.064168438,0.01022283,0.005892079,14.38999939,0.499916166
1,1,90,0.044750002,0.063351661,0.010016606,0.006486068,12.59000015,0.504855692
1,1,91,0.045250002,0.061254211,0.010066606,0.007343247,10.5199995,0.496706814
1,1,92,0.045750002,0.060947646,0.009575327,0.00708378,9.099999428,0.459102213
1,1,93,0.046250002,0.058188442,0.009295188,0.007490113,7.549999714,0.429810435
1,1,94,0.046750002,0.056398273,0.008356713,0.008401401,6.759999752,0.42627871
1,1,95,0.047250002,0.053630181,0.008080203,0.009907206,5.369999886,0.409375578
1,1,96,0.047750002,0.048982635,0.007530882,0.012515551,4.589999676,0.427748442
1,1,97,0.048250002,0.046869319,0.007269108,0.01572082,3.99000001,0.428133696
1,1,98,0.048750002,0.046393562,0.007082644,0.017391013,3.699999809,0.42306906
1,1,99,0.049250002,0.044289962,0.006649335,0.020882906,3.069999933,0.382073492
