Locus,Parameter-number,Bin,Age,Parameter-value,Parameter-Frequency,Standard-deviation,Counts-per-bin,Autocorrelation-per-bin
1,1,1,0.00025,0.034318563,0.000122645,6.27538E-05,210167.4688,0.065450929
1,1,2,0.00075,0.031530898,0.000850497,9.26537E-05,88017.07031,0.094617151
1,1,3,0.00125,0.029529283,0.002029195,0.000111001,63236.45703,0.170041874
1,1,4,0.00175,0.028048983,0.003423455,0.00012649,53750.48828,0.272567987
1,1,5,0.00225,0.026983179,0.004830679,0.000139541,50119.48047,0.371286154
1,1,6,0.00275,0.026018636,0.006072884,0.000148587,49517.70703,0.453211397
1,1,7,0.00325,0.025147295,0.007081897,0.000153695,50236.17969,0.512864709
1,1,8,0.00375,0.024339771,0.007905903,0.000156722,51121.27734,0.557075203
1,1,9,0.00425,0.023560865,0.008563055,0.000158822,51923.14844,0.592770934
1,1,10,0.00475,0.022776717,0.009070816,0.0001601,52626.50781,0.619736791
1,1,11,0.00525,0.021995071,0.009504418,0.000161277,52859.42969,0.641691566
1,1,12,0.00575,0.021247447,0.009846699,0.00016166,52832.87891,0.657511115
1,1,13,0.00625,0.020565512,0.010121141,0.000162262,52491.9375,0.671743631
1,1,14,0.00675,0.019996241,0.010359507,0.000162797,51618.98047,0.680777907
1,1,15,0.00725,0.019496528,0.010544615,0.000163392,50436.80078,0.687911749
1,1,16,0.00775,0.019100176,0.010701004,0.000163843,48828.41797,0.691144764
1,1,17,0.00825,0.018799815,0.010822942,0.000164703,46898.05859,0.692818701
1,1,18,0.00875,0.01858893,0.010934908,0.000166108,44624.80078,0.692543507
1,1,19,0.00925,0.018456057,0.011032645,0.000168001,42159.71875,0.691599429
1,1,20,0.009750001,0.018405419,0.011104175,0.000170473,39613.41016,0.690213382
1,1,21,0.010250001,0.018402854,0.011175845,0.000173129,36927.41016,0.686958492
1,1,22,0.010750001,0.018482806,0.011243999,0.000177126,34174.44922,0.685323417
1,1,23,0.011250001,0.018625477,0.011284594,0.00018167,31506.7793,0.68299073
1,1,24,0.011750001,0.018823754,0.01132107,0.000186649,28907.7793,0.679937899
