Locus,Parameter-number,Bin,Age,Parameter-value,Parameter-Frequency,Standard-deviation,Counts-per-bin,Autocorrelation-per-bin
1,1,1,0.00025,0.034314401,0.000122624,6.27318E-05,210196.8281,0.065276213
1,1,2,0.00075,0.031528313,0.000850437,9.26747E-05,88021.40625,0.094834529
1,1,3,0.00125,0.029531729,0.00202892,0.000111069,63220.78906,0.169958055
1,1,4,0.00175,0.0280481,0.003422711,0.000126616,53731.89063,0.272838265
1,1,5,0.00225,0.026976774,0.004829294,0.000139647,50129.91797,0.371802688
1,1,6,0.00275,0.026013851,0.006072013,0.000148739,49520.48828,0.453744263
1,1,7,0.00325,0.025146093,0.007080506,0.000153873,50226.73828,0.513328791
1,1,8,0.00375,0.024338003,0.007903555,0.000156821,51110.07031,0.557262778
1,1,9,0.00425,0.023557046,0.008560084,0.000158911,51915.33984,0.593015492
1,1,10,0.00475,0.02277364,0.009068118,0.000160142,52617.67969,0.619777978
1,1,11,0.00525,0.021991774,0.009502183,0.000161411,52846.53906,0.642035961
1,1,12,0.00575,0.021246469,0.009844445,0.000161805,52819.14844,0.657828629
1,1,13,0.00625,0.020565372,0.010119154,0.000162386,52481.94922,0.671996236
1,1,14,0.00675,0.019996118,0.010356193,0.000162837,51629.39844,0.680925131
1,1,15,0.00725,0.019496262,0.010542169,0.00016341,50435.26953,0.687879622
1,1,16,0.00775,0.019099992,0.010697817,0.000163907,48835.39063,0.69127208
1,1,17,0.00825,0.018800709,0.010821018,0.000164829,46894.66797,0.693041325
1,1,18,0.00875,0.018591045,0.010932312,0.000166161,44617.39844,0.69256258
1,1,19,0.00925,0.01845789,0.011029447,0.000167999,42152.35938,0.691520035
1,1,20,0.009750001,0.018407216,0.011101306,0.000170491,39600.41016,0.690113783
1,1,21,0.010250001,0.018404275,0.011172967,0.000173192,36918.08984,0.687014043
1,1,22,0.010750001,0.018485155,0.011241615,0.000177211,34165.08984,0.685425282
1,1,23,0.011250001,0.01862718,0.011281537,0.000181736,31503.44922,0.683070481
1,1,24,0.011750001,0.018825751,0.011318458,0.000186686,28900.72852,0.679858267
1,1,25,0.012250001,0.019075187,0.011355723,0.000192517,26355.41992,0.677366674
1,1,26,0.012750001,0.01937237,0.011382874,0.000199304,23928.2793,0.674766183
1,1,27,0.013250001,0.019718105,0.011418698,0.000207282,21636.59961,0.67349273
1,1,28,0.013750001,0.020104915,0.011446695,0.00021666,19502.28906,0.674151599
1,1,29,0.014250001,0.020548254,0.011477946,0.000226722,17501.85938,0.673946202
1,1,30,0.014750001,0.021031825,0.011485078,0.000237233,15710.43945,0.673013985
1,1,31,0.015250001,0.02153967,0.011491303,0.000247134,14054.16992,0.668828666
1,1,32,0.015750001,0.022071034,0.011511256,0.000259308,12525.75,0.667828202
1,1,33,0.016250001,0.022631699,0.011516618,0.000273253,11151.93945,0.668059051
