Locus,Parameter-number,Bin,Age,Parameter-value,Parameter-Frequency,Standard-deviation,Counts-per-bin,Autocorrelation-per-bin
1,1,1,0.00025,0.032722894,0.000133379,6.69219E-05,172175.5625,0.068315297
1,1,2,0.00075,0.030431058,0.000746688,8.98518E-05,85831.05469,0.086794063
1,1,3,0.00125,0.02900089,0.001695973,0.000102727,66115.71094,0.136957288
1,1,4,0.00175,0.027865026,0.002746655,0.000112126,60112.10938,0.212065905
1,1,5,0.00225,0.026952408,0.003735153,0.000118426,58795.48828,0.282475412
1,1,6,0.00275,0.026250141,0.004603345,0.000122168,59059.57813,0.341669053
1,1,7,0.00325,0.025762422,0.005336216,0.000124003,59786.82813,0.38792178
1,1,8,0.00375,0.025451072,0.005948583,0.000124499,60515.57031,0.423190743
1,1,9,0.00425,0.025255427,0.006445233,0.000124187,61127.36719,0.450385839
1,1,10,0.00475,0.025164034,0.006866988,0.000123502,61391.19922,0.470984846
1,1,11,0.00525,0.025105294,0.007206138,0.000122934,61517.55859,0.489635587
1,1,12,0.00575,0.025042947,0.007484982,0.000122097,61490.87891,0.504110515
1,1,13,0.00625,0.024973234,0.007718663,0.000122003,61233.66797,0.519178212
1,1,14,0.00675,0.024887869,0.00791538,0.0001219,60766.01953,0.530973434
1,1,15,0.00725,0.024784813,0.008077594,0.000122184,60133.17969,0.541950285
1,1,16,0.00775,0.024664292,0.008217017,0.000122564,59292.45703,0.550661922
1,1,17,0.00825,0.02454102,0.008336437,0.000122966,58283.23828,0.557437122
1,1,18,0.00875,0.02443553,0.008430401,0.000123374,57135.89063,0.562313974
1,1,19,0.00925,0.024347743,0.008506591,0.000123719,55845.64063,0.565533042
1,1,20,0.009750001,0.024296062,0.008571633,0.000124367,54379.62891,0.569032371
1,1,21,0.010250001,0.024284538,0.008631946,0.000124955,52742.25,0.570336878
1,1,22,0.010750001,0.024313539,0.008678868,0.000125459,51017.73828,0.570471525
1,1,23,0.011250001,0.024394335,0.008713916,0.000126089,49189.80859,0.570224702
1,1,24,0.011750001,0.02452155,0.008739736,0.000126933,47263.00781,0.569830298
1,1,25,0.012250001,0.024696047,0.008760561,0.000127963,45264.96094,0.569235265
1,1,26,0.012750001,0.02492686,0.008782925,0.000129375,43168.86719,0.569183409
1,1,27,0.013250001,0.025199138,0.00879942,0.00013055,41088.60938,0.567258775
1,1,28,0.013750001,0.02552489,0.008802948,0.000132124,38987.53906,0.566311359
1,1,29,0.014250001,0.025893604,0.008808173,0.000133895,36862.39844,0.564656317
1,1,30,0.014750001,0.026303224,0.00881526,0.000136223,34741.41016,0.564609647
1,1,31,0.015250001,0.02675722,0.008817053,0.000138348,32649.88867,0.56226176
1,1,32,0.015750001,0.027252801,0.008822975,0.000141559,30588.64844,0.563375354
1,1,33,0.016250001,0.027792126,0.008814258,0.000144457,28602.36914,0.562322676
