Locus,Parameter-number,Bin,Age,Parameter-value,Parameter-Frequency,Standard-deviation,Counts-per-bin,Autocorrelation-per-bin
1,1,1,0.00025,0.03254794,0.000137976,6.64695E-05,172525.5156,0.067444786
1,1,2,0.00075,0.030324604,0.000774728,8.96923E-05,85938.75,0.087200165
1,1,3,0.00125,0.028863436,0.001756738,0.000102239,66179,0.135734588
1,1,4,0.00175,0.027760161,0.002849683,0.000111823,60152.48047,0.211725086
1,1,5,0.00225,0.026860165,0.003874329,0.000118103,58731.67969,0.283319891
1,1,6,0.00275,0.026182778,0.004768103,0.000121849,59045.20703,0.343068421
1,1,7,0.00325,0.025705902,0.005522316,0.000123732,59883.82813,0.388901025
1,1,8,0.00375,0.025411183,0.006159557,0.000124203,60587.32031,0.42292887
1,1,9,0.00425,0.025226792,0.006677751,0.000123742,61137.48828,0.448638946
1,1,10,0.00475,0.025124015,0.007100134,0.000122973,61489.17969,0.470124602
1,1,11,0.00525,0.025057094,0.007456686,0.000122413,61543.41016,0.488530546
1,1,12,0.00575,0.024994088,0.007743054,0.000121806,61493.41016,0.503946424
1,1,13,0.00625,0.024913877,0.007988303,0.000121757,61180.58984,0.51958257
1,1,14,0.00675,0.024829915,0.008190292,0.000121534,60714.96875,0.530596435
1,1,15,0.00725,0.024715066,0.008353652,0.000121403,60125.29688,0.540279925
1,1,16,0.00775,0.024593364,0.008498788,0.00012165,59284.57813,0.548768818
1,1,17,0.00825,0.024470033,0.008614188,0.000122094,58309.04688,0.556010008
1,1,18,0.00875,0.024361033,0.008719495,0.000122414,57122.23047,0.560402095
1,1,19,0.00925,0.024283141,0.008805526,0.000123135,55786.5,0.565647006
1,1,20,0.009750001,0.024234511,0.008869318,0.000123584,54352.59766,0.567890286
1,1,21,0.010250001,0.024212036,0.008925127,0.000123988,52748.53906,0.568580568
1,1,22,0.010750001,0.024242045,0.008972962,0.000124928,51013.41016,0.570720196
1,1,23,0.011250001,0.02432991,0.009004787,0.00012563,49182.05078,0.570306242
1,1,24,0.011750001,0.024469784,0.009036988,0.000126627,47218.78906,0.570044339
1,1,25,0.012250001,0.024654605,0.009060251,0.000127614,45192.1875,0.56913358
1,1,26,0.012750001,0.024892317,0.009080327,0.000128731,43099.19922,0.567533374
1,1,27,0.013250001,0.025172159,0.009090901,0.000130032,41008.03906,0.566194654
1,1,28,0.013750001,0.025506225,0.009100984,0.000131681,38873.57031,0.565413714
1,1,29,0.014250001,0.025884369,0.009111456,0.00013393,36730.34766,0.565689564
1,1,30,0.014750001,0.026300728,0.009109869,0.000135762,34634.12109,0.563003779
1,1,31,0.015250001,0.02675896,0.009113111,0.000138466,32536.14844,0.563357651
1,1,32,0.015750001,0.027258674,0.009108312,0.000141173,30479.5,0.561929524
1,1,33,0.016250001,0.027794374,0.009118303,0.00014461,28430.44922,0.562562168
1,1,34,0.016750001,0.028374797,0.009111832,0.000148342,26506.2793,0.563135088
1,1,35,0.017250001,0.028983016,0.009106031,0.000151894,24627.0293,0.561070859
