Locus,Parameter-number,Bin,Age,Parameter-value,Parameter-Frequency,Standard-deviation,Counts-per-bin,Autocorrelation-per-bin
1,1,1,0.00025,0.03264026,0.000135807,6.67128E-05,172463.6563,0.069070287
1,1,2,0.00075,0.030367944,0.000761227,8.96918E-05,85934.21875,0.087354235
1,1,3,0.00125,0.028916935,0.001726133,0.000102841,66140.08594,0.138822496
1,1,4,0.00175,0.027800931,0.002798444,0.000111852,60207.16797,0.211266905
1,1,5,0.00225,0.026892826,0.003807145,0.000118124,58951.67969,0.283583731
1,1,6,0.00275,0.026183,0.004689513,0.000121722,59158.91016,0.342414558
1,1,7,0.00325,0.025713131,0.00544492,0.00012355,59791.60938,0.3881782
1,1,8,0.00375,0.025380161,0.006056798,0.000123793,60568.39844,0.422400951
1,1,9,0.00425,0.025203819,0.006574625,0.000123287,61101.16797,0.448382437
1,1,10,0.00475,0.025095923,0.006994861,0.000122311,61441.42969,0.468750089
1,1,11,0.00525,0.025044309,0.007342646,0.000121533,61535.11719,0.486218661
1,1,12,0.00575,0.024991205,0.007634054,0.000121245,61429.30859,0.502918422
1,1,13,0.00625,0.02491419,0.007862967,0.000120933,61231.11719,0.517373204
1,1,14,0.00675,0.024822636,0.008064821,0.000120987,60745.98828,0.529676676
1,1,15,0.00725,0.02470455,0.008228332,0.000121154,60145.88672,0.540049076
1,1,16,0.00775,0.024586076,0.008363973,0.000121453,59348.41016,0.548856735
1,1,17,0.00825,0.024458822,0.008482153,0.000121773,58357.14844,0.555123925
1,1,18,0.00875,0.02435069,0.008591184,0.00012251,57125.53906,0.561533034
1,1,19,0.00925,0.024268607,0.008664789,0.000122779,55843.67969,0.563980103
1,1,20,0.009750001,0.02420946,0.008733696,0.000123394,54355.07813,0.566987515
1,1,21,0.010250001,0.024205331,0.008790288,0.000124024,52701.87891,0.568417072
1,1,22,0.010750001,0.024241542,0.008837864,0.000124539,50944.84766,0.568543971
1,1,23,0.011250001,0.024331069,0.008870453,0.00012522,49109.08984,0.568262398
1,1,24,0.011750001,0.024469607,0.008901019,0.000126182,47136.75781,0.568219364
1,1,25,0.012250001,0.024655001,0.008927096,0.000127352,45100.98828,0.568237186
1,1,26,0.012750001,0.024900351,0.008946206,0.000128651,43010.07031,0.567374229
1,1,27,0.013250001,0.025184386,0.008960659,0.000130119,40900.53906,0.566317856
1,1,28,0.013750001,0.025520189,0.00896665,0.00013152,38799.02734,0.564318597
1,1,29,0.014250001,0.025891911,0.00897329,0.000133384,36677.64844,0.563370585
1,1,30,0.014750001,0.026312176,0.008975543,0.000135628,34559.01953,0.562693
1,1,31,0.015250001,0.026778944,0.008978702,0.000138288,32451.95898,0.562694371
1,1,32,0.015750001,0.027279746,0.008979613,0.000141404,30403.31836,0.5629673
