Locus,Parameter-number,Bin,Age,Parameter-value,Parameter-Frequency,Standard-deviation,Counts-per-bin,Autocorrelation-per-bin
1,1,1,0.00025,0.024765611,0.000693134,8.24929E-05,76110.00781,0.088005588
1,1,2,0.00075,0.023256388,0.002014678,8.88881E-05,61037.23828,0.109809279
1,1,3,0.00125,0.022177406,0.003533022,0.000090289,57333.78906,0.138165653
1,1,4,0.00175,0.021397866,0.004907808,8.82638E-05,56999.37891,0.15810661
1,1,5,0.00225,0.020933148,0.006067375,8.54958E-05,56992.75,0.169779003
1,1,6,0.00275,0.020600017,0.007016033,8.29389E-05,56775.67969,0.176649451
1,1,7,0.00325,0.020281812,0.007776848,8.13415E-05,56362.91797,0.185169026
1,1,8,0.00375,0.01990458,0.00836721,8.01972E-05,55935.28906,0.193769902
1,1,9,0.00425,0.01947712,0.008837578,7.94309E-05,55363.66797,0.202537358
1,1,10,0.00475,0.019036083,0.009207322,7.87391E-05,54610.11719,0.20852527
1,1,11,0.00525,0.018627539,0.009489665,7.81705E-05,53651.39063,0.212198407
1,1,12,0.00575,0.018268207,0.009719784,7.76979E-05,52342.36719,0.211624891
1,1,13,0.00625,0.017980149,0.009904352,7.74275E-05,50668.4375,0.208356619
1,1,14,0.00675,0.017763052,0.010051933,0.000077438,48652.46875,0.202988744
1,1,15,0.00725,0.017612331,0.010170288,7.76462E-05,46361.05859,0.195614472
1,1,16,0.00775,0.01754093,0.010274767,7.82366E-05,43807.1875,0.187727064
1,1,17,0.00825,0.01753805,0.010355353,7.90937E-05,41105.32031,0.178943709
1,1,18,0.00875,0.017602811,0.010426859,8.04182E-05,38293.53906,0.171212673
1,1,19,0.00925,0.017732943,0.0104805,8.20071E-05,35450.64844,0.162693441
1,1,20,0.009750001,0.017921738,0.010529414,8.40024E-05,32605.45898,0.154644087
1,1,21,0.010250001,0.018160652,0.010564317,8.63035E-05,29844.93945,0.146639541
1,1,22,0.010750001,0.018448992,0.010599801,0.0000891,27169.87891,0.140585408
1,1,23,0.011250001,0.018780457,0.010627879,9.21307E-05,24632.67969,0.133782908
1,1,24,0.011750001,0.019147551,0.010650914,9.55137E-05,22248.20898,0.127170235
1,1,25,0.012250001,0.019565424,0.01067231,9.93853E-05,20013.07031,0.12169788
1,1,26,0.012750001,0.020016434,0.010684981,0.000103489,17949.2793,0.115308233
1,1,27,0.013250001,0.020507922,0.010695884,0.000108235,16036.37988,0.11034184
1,1,28,0.013750001,0.021029575,0.010712144,0.000113373,14287.38965,0.105372414
1,1,29,0.014250001,0.021578068,0.010714357,0.000119239,12702.50977,0.103107594
1,1,30,0.014750001,0.022156566,0.010725596,0.000125699,11259.91992,0.101625063
1,1,31,0.015250001,0.022761704,0.010721897,0.0001323,9968.839844,0.097318523
1,1,32,0.015750001,0.023397688,0.010733708,0.000140111,8795.790039,0.096196614
1,1,33,0.016250001,0.024058156,0.010730301,0.000147971,7752.129883,0.092338584
1,1,34,0.016750001,0.024737056,0.010736449,0.000156907,6815.699707,0.090729207
1,1,35,0.017250001,0.025432749,0.01075345,0.000166377,5983.589844,0.087011859
1,1,36,0.017750001,0.026149344,0.010738391,0.000176771,5256.009766,0.085592166
1,1,37,0.018250001,0.026885668,0.01074598,0.000187593,4602.529785,0.081749208
1,1,38,0.018750001,0.027628269,0.010740564,0.000199671,4032.159912,0.081600301
1,1,39,0.019250001,0.028402494,0.010741001,0.000212888,3519.869873,0.080623761
1,1,40,0.019750001,0.029206567,0.010737417,0.00022655,3071.139893,0.076347023
1,1,41,0.020250001,0.030008707,0.010737833,0.000241047,2676.399902,0.071951665
1,1,42,0.020750001,0.030817665,0.010737388,0.000256447,2330.52002,0.065622672
1,1,43,0.021250001,0.031648703,0.010738664,0.000273977,2028.47998,0.063850097
1,1,44,0.021750001,0.032473907,0.010753663,0.000292817,1763.51001,0.059832316
1,1,45,0.022250001,0.033316612,0.010752347,0.000312047,1535.279907,0.054238591
1,1,46,0.022750001,0.034164917,0.010723299,0.000332017,1338.030029,0.050369877
1,1,47,0.023250001,0.035031889,0.010748108,0.000357919,1159.25,0.055266667
1,1,48,0.023750001,0.035890088,0.010722588,0.000383937,1007.179993,0.051429775
1,1,49,0.024250001,0.036762729,0.010726314,0.000412315,871.1799927,0.047725271
1,1,50,0.024750001,0.037647978,0.010741186,0.000440252,753.7600098,0.042331316
1,1,51,0.025250001,0.038518041,0.010741109,0.000473951,655.3599854,0.046565279
1,1,52,0.025750001,0.039404322,0.010746353,0.000510156,568.2399902,0.044641789
1,1,53,0.026250001,0.040326074,0.010712409,0.000550359,493.3199768,0.043606855
1,1,54,0.026750001,0.041258171,0.010720912,0.000594663,426.1799927,0.045838505
1,1,55,0.027250001,0.042192869,0.010720203,0.000627186,368.5099792,0.032857593
1,1,56,0.027750001,0.04305153,0.010756619,0.000675038,319.4299927,0.046719734
1,1,57,0.028250001,0.043982402,0.010681422,0.000727093,277.6000061,0.054527316
1,1,58,0.028750001,0.044920374,0.010740652,0.000783485,238.3300018,0.04734977
1,1,59,0.029250001,0.045841429,0.010719939,0.000838559,205.8600006,0.045023613
1,1,60,0.029750001,0.046758845,0.010705729,0.000908159,178.3899994,0.052670594
1,1,61,0.030250001,0.047774572,0.010748339,0.000984977,153.6499939,0.056728806
1,1,62,0.030750002,0.048680101,0.010767548,0.00105941,133.1299896,0.055822711
1,1,63,0.031250002,0.049620781,0.010732383,0.00115699,115.8299942,0.06872908
1,1,64,0.031750002,0.050517201,0.010738138,0.001229751,100.25,0.053769153
1,1,65,0.032250002,0.051405113,0.010720727,0.001342996,86.77999878,0.059325781
