Locus,Parameter-number,Bin,Age,Parameter-value,Parameter-Frequency,Standard-deviation,Counts-per-bin,Autocorrelation-per-bin
1,1,1,0.00025,0.024763551,0.000691626,8.25501E-05,76110.25781,0.088110901
1,1,2,0.00075,0.023255047,0.002010743,8.88513E-05,60998.70703,0.108502179
1,1,3,0.00125,0.02217713,0.003522399,9.00945E-05,57323.32031,0.136654228
1,1,4,0.00175,0.021424174,0.004901652,8.83838E-05,56981.51953,0.158904433
1,1,5,0.00225,0.020951824,0.006059922,8.53942E-05,56998,0.168553874
1,1,6,0.00275,0.020628404,0.006999437,8.29602E-05,56780.07813,0.175510526
1,1,7,0.00325,0.020314049,0.007762518,8.14651E-05,56309.57031,0.184639409
1,1,8,0.00375,0.019934883,0.008353874,8.04242E-05,55861.51953,0.194665074
1,1,9,0.00425,0.019511527,0.008826622,7.96521E-05,55281.28906,0.203290492
1,1,10,0.00475,0.019084232,0.00919096,7.89386E-05,54582.54688,0.208469659
1,1,11,0.00525,0.018660331,0.009478439,7.83299E-05,53613,0.211693779
1,1,12,0.00575,0.018296538,0.009709055,7.79316E-05,52299.6875,0.211981803
1,1,13,0.00625,0.017994203,0.009883562,7.75555E-05,50694.34766,0.207926869
1,1,14,0.00675,0.017773444,0.01003339,7.74033E-05,48688.27734,0.201224402
1,1,15,0.00725,0.017628999,0.010154651,7.75437E-05,46387.09766,0.193001926
1,1,16,0.00775,0.017551485,0.010255754,7.81028E-05,43839.27734,0.18482028
1,1,17,0.00825,0.017541828,0.010336082,7.89597E-05,41139.19922,0.176731825
1,1,18,0.00875,0.017607322,0.010404523,8.01793E-05,38324.28906,0.168338478
1,1,19,0.00925,0.017726226,0.010459969,8.17445E-05,35484.64063,0.159655809
1,1,20,0.009750001,0.017907366,0.010506607,8.36528E-05,32649.11914,0.151151791
1,1,21,0.010250001,0.018149568,0.010547652,8.61022E-05,29864.08984,0.144572839
1,1,22,0.010750001,0.018439125,0.010584365,8.87698E-05,27183.07031,0.136915088
1,1,23,0.011250001,0.018769387,0.010604774,9.17688E-05,24661.37891,0.130089581
1,1,24,0.011750001,0.019145992,0.010631668,9.53478E-05,22254.57031,0.124479152
1,1,25,0.012250001,0.019552825,0.010646729,9.91115E-05,20025.37891,0.118776068
1,1,26,0.012750001,0.020011654,0.01066538,0.000103362,17940.48047,0.113137618
1,1,27,0.013250001,0.020506484,0.010677209,0.000108258,16029.26953,0.109618068
1,1,28,0.013750001,0.021033213,0.01068913,0.000113451,14275.47949,0.10586644
1,1,29,0.014250001,0.02157178,0.010693703,0.000118706,12690.59961,0.10017512
1,1,30,0.014750001,0.022153005,0.010706681,0.000124991,11246.60938,0.097179845
1,1,31,0.015250001,0.022762189,0.010714169,0.000131524,9948.889648,0.092871957
1,1,32,0.015750001,0.023391748,0.010714999,0.000138798,8788.919922,0.091116965
1,1,33,0.016250001,0.024053525,0.010711628,0.000146175,7747.719727,0.085513055
1,1,34,0.016750001,0.024728375,0.010726688,0.000154853,6810.5,0.084559962
1,1,35,0.017250001,0.025426157,0.010730642,0.000164087,5986.060059,0.082949616
1,1,36,0.017750001,0.026135422,0.010722863,0.000173697,5258.560059,0.079865441
1,1,37,0.018250001,0.02686538,0.010718519,0.000184441,4605.929688,0.078276448
1,1,38,0.018750001,0.027609322,0.010719749,0.000196391,4028.209961,0.077028997
1,1,39,0.019250001,0.028359279,0.010719216,0.000208744,3519.5,0.073715419
1,1,40,0.019750001,0.029103767,0.010709431,0.00022206,3071.939941,0.072002798
1,1,41,0.020250001,0.029901108,0.010723908,0.000237354,2673.280029,0.072099626
1,1,42,0.020750001,0.030735895,0.010714227,0.000253657,2327.51001,0.070224561
1,1,43,0.021250001,0.031573597,0.010715011,0.000271206,2022.519897,0.0689115
1,1,44,0.021750001,0.032403551,0.010707217,0.0002901,1759.98999,0.066149354
1,1,45,0.022250001,0.033237327,0.010723906,0.000310756,1525.900024,0.065556333
1,1,46,0.022750001,0.034083884,0.010724841,0.000333818,1325.079956,0.066240698
1,1,47,0.023250001,0.03492384,0.010725364,0.000358174,1152.339966,0.068162091
1,1,48,0.023750001,0.035782661,0.010726037,0.000382486,1002.309998,0.0608509
1,1,49,0.024250001,0.036651075,0.010687484,0.000411738,869.6499634,0.060000032
1,1,50,0.024750001,0.037545953,0.010700036,0.000445799,750.9599609,0.064116553
1,1,51,0.025250001,0.038429447,0.010718647,0.00047785,650.8999634,0.062404756
1,1,52,0.025750001,0.039341345,0.010699901,0.000516556,564.0800171,0.066307239
1,1,53,0.026250001,0.040283144,0.010713541,0.000554104,487.6099854,0.066430815
1,1,54,0.026750001,0.04118697,0.010715814,0.000588885,422.4400024,0.058301427
1,1,55,0.027250001,0.042081252,0.010690966,0.000628073,365.1799927,0.055980206
1,1,56,0.027750001,0.042968128,0.010710688,0.000675911,314.8200073,0.055368088
1,1,57,0.028250001,0.043884177,0.010714114,0.000730071,272.5700073,0.057010796
1,1,58,0.028750001,0.044828575,0.010669642,0.000783178,235.1499939,0.049107604
1,1,59,0.029250001,0.045815453,0.010721033,0.000845204,202.0299988,0.047479581
1,1,60,0.029750001,0.046763554,0.01070708,0.000909833,174.7799988,0.050712179
1,1,61,0.030250001,0.047671598,0.010688481,0.000991766,150.8999939,0.055029795
1,1,62,0.030750002,0.048576254,0.010698225,0.001089648,129.9100037,0.063969128
1,1,63,0.031250002,0.049500294,0.01068822,0.001158371,112.2200012,0.05992984
1,1,64,0.031750002,0.050466877,0.01068603,0.001253348,96.98999786,0.061496083
1,1,65,0.032250002,0.051453121,0.010622644,0.001341682,83.88999939,0.053757168
1,1,66,0.032750002,0.052501041,0.010685302,0.001460909,71.01000214,0.048351463
1,1,67,0.033250002,0.053557411,0.010716465,0.001534542,61.15999985,0.0322209
1,1,68,0.033750002,0.054644059,0.010735982,0.001654437,52.72999954,0.041156955
1,1,69,0.034250002,0.055517219,0.010757577,0.001773881,46.05999756,0.041623853
1,1,70,0.034750002,0.05655691,0.010683987,0.001863255,39.86000061,0.03126435
1,1,71,0.035250002,0.05768187,0.010696457,0.001995159,34.18999863,0.042158105
1,1,72,0.035750002,0.058813561,0.01065351,0.002173061,29.40999985,0.057668325
1,1,73,0.036250002,0.059732497,0.010796646,0.002416192,25.29999924,0.082305417
1,1,74,0.036750002,0.060658019,0.010665439,0.002587178,22.20999908,0.085570939
1,1,75,0.037250002,0.06160694,0.010724254,0.002781052,19.07999992,0.071850687
1,1,76,0.037750002,0.062444549,0.010692321,0.003030389,16.54999924,0.073249504
1,1,77,0.038250002,0.063228622,0.010747407,0.003247637,14.44999981,0.060304847
1,1,78,0.038750002,0.064102933,0.01074478,0.003533554,12.59000015,0.065439545
1,1,79,0.039250002,0.064877689,0.010669197,0.003743131,11,0.048966255
1,1,80,0.039750002,0.065630928,0.010921796,0.004083917,9.420000076,0.048900783
1,1,81,0.040250002,0.066447936,0.010573909,0.004244242,8.300000191,0.02334494
1,1,82,0.040750002,0.067769177,0.010727709,0.004639171,7.059999943,0.027475918
1,1,83,0.041250002,0.068827882,0.010878144,0.005128291,6.109999657,0.048877813
1,1,84,0.041750002,0.068560921,0.010372966,0.005638839,5.5,0.053123113
1,1,85,0.042250002,0.068779483,0.010404688,0.006004565,4.679999828,0.003034751
1,1,86,0.042750002,0.06863223,0.009926812,0.006326137,4.159999847,0.003356916
1,1,87,0.043250002,0.069864132,0.010224523,0.006844905,3.389999867,-0.000900117
1,1,88,0.043750002,0.070256926,0.010271959,0.006868199,2.869999886,-0.031157002
1,1,89,0.044250002,0.06867303,0.009983741,0.007398809,2.5,-0.044453055
1,1,90,0.044750002,0.067036234,0.009242811,0.008447076,2.220000029,-0.02785345
1,1,91,0.045250002,0.062761508,0.0084884,0.009561768,1.829999924,-0.076002352
1,1,92,0.045750002,0.059044913,0.007982413,0.010996283,1.509999991,-0.107819974
1,1,93,0.046250002,0.055174369,0.007697755,0.013254786,1.329999924,-0.108424932
1,1,94,0.046750002,0.053773765,0.007269303,0.013551128,1.269999981,-0.110522077
1,1,95,0.047250002,0.054008741,0.00685952,0.01565004,1.110000014,-0.127755433
