Arctic.Temp.Approx.Time.A,Arctic.Temp.Approx.Temp.A,Bacu_Theta_N_Approx.Ne.A,Bmus_Theta_N_Approx.Ne.A,Bmys_Theta_N_Approx.Ne.A,Bphy_Theta_N_Approx.Ne.A,Char_COI_Theta_N_Approx.Ne.A,Chel_16S_Theta_N_Approx.Ne.A,Ctyp_COI_Theta_N_Approx.Ne.A,Euba_Theta_N_Approx.Ne.A,Mnor_NE_ND1_Theta_N_NE_Approx.Ne.A,Mnor_SE_ND1_Theta_N_SE_Approx.Ne.A,Mnor_W_ND1_Theta_N_W_Approx.Ne.A,Mnov_Theta_N_Approx.Ne.A,Mvil_Theta_N_Approx.Ne.A,Pabd_COI_Theta_N_Approx.Ne.A
0,-0.0479,,,,,,,,,,,,,,
2000,0.5563,0.063530934,0.013329601,0.0630785,0.028996849,0.06032955,0.033831467,0.94518587,0.001397767,0.039815298,0.030691256,0.023457621,0.009710007,0.036521482,0.185159314
4000,-0.1823,0.030288357,0.01912302,0.043399088,0.014789099,0.028530499,0.03015353,0.613253337,0.002433697,0.036601411,0.028681023,0.021999824,0.011663028,0.026930446,0.18619019
6000,-0.0429,0.020581334,0.017102198,0.030994684,0.00793877,0.014794706,0.027904467,0.434795243,0.004370478,0.033935396,0.027282698,0.021137061,0.013907686,0.019904763,0.166008376
8000,-1.7298,0.019073905,0.013690014,0.027897536,0.006311728,0.007339071,0.025027952,0.324523925,0.007313409,0.031664516,0.026247086,0.020634765,0.016999895,0.016023966,0.141014411
10000,-0.8871,0.019575428,0.012604913,0.02488111,0.007613028,0.003992922,0.022003673,0.252225591,0.009437332,0.029715905,0.025633236,0.020180991,0.017861421,0.017166125,0.121415039
12000,-3.6186,0.019184474,0.012156587,0.021837555,0.009554308,0.003002834,0.019249732,0.197750075,0.007593283,0.028016154,0.025291734,0.019635109,0.01628865,0.020789688,0.103483095
14000,-6.3716,0.018640054,0.011780843,0.019684932,0.010117579,0.002999004,0.016711605,0.15330901,0.006966386,0.026447117,0.025126798,0.019046847,0.013310841,0.024436696,0.090871862
16000,-10.066,0.018808585,0.012083559,0.01861698,0.010876772,0.003537537,0.014637247,0.117874438,0.007312346,0.025002568,0.025046294,0.018503475,0.011113177,0.026806972,0.07925011
18000,-14.002,0.019717154,0.01310347,0.018602518,0.012194891,0.004350598,0.013046679,0.08856013,0.006890771,0.023685443,0.024953441,0.018062548,0.01034966,0.028164003,0.074114338
20000,-15.759,0.021237817,0.014463507,0.019525906,0.013947848,0.005311898,0.011961754,0.065498694,0.006444405,0.022567691,0.024835613,0.017750735,0.010534099,0.028815504,0.072039096
22000,-14.85,0.023125992,0.016066003,0.021253389,0.016427314,0.006372112,0.011337503,0.048909946,0.006524695,0.021630274,0.024679498,0.01758589,0.011357583,0.029063179,0.07214392
24000,-13.92,0.025189405,0.017631829,0.023678035,0.019241556,,0.011036759,0.037363861,0.006451287,0.020868491,0.024512375,0.017542459,0.012551782,0.029151402,0.075603313
26000,-13.043,0.027354156,0.018431697,0.026803807,0.022936447,,0.010995636,0.029760896,0.006429743,0.020296238,0.024367556,0.017629564,0.01420599,0.029170174,0.080170901
28000,-12.603,0.029365432,0.019444361,0.030171657,0.024980023,,0.011140122,0.024359537,0.006343298,0.019882206,0.024271135,0.017832988,0.015442382,0.029171088,0.085181545
30000,-13.793,0.031592615,0.020733866,,0.01566575,,0.011406975,0.02007511,0.006446323,0.019601487,0.024235246,0.018133809,0.01716702,0.029178151,0.087327796
