Arctic.Temp.Approx.Time.A,Arctic.Temp.Approx.Temp.A,Bacu_Theta_N_Approx.Ne.A,Bmus_Theta_N_Approx.Ne.A,Bmys_Theta_N_Approx.Ne.A,Bphy_Theta_N_Approx.Ne.A,Char_COI_Theta_N_Approx.Ne.A,Chel_16S_Theta_N_Approx.Ne.A,Ctyp_COI_Theta_N_Approx.Ne.A,Euba_Theta_N_Approx.Ne.A,Mnor_NE_ND1_Theta_N_NE_Approx.Ne.A,Mnor_SE_ND1_Theta_N_SE_Approx.Ne.A,Mnor_W_ND1_Theta_N_W_Approx.Ne.A,Mnov_Theta_N_Approx.Ne.A,Mvil_Theta_N_Approx.Ne.A,Pabd_COI_Theta_N_Approx.Ne.A
0,-0.0479,,,,,,,,,,,,,,
1000,0.158,0.053921945,0.01127126,0.072992327,0.035071272,0.082301946,0.03649915,1.152536672,0.001674227,0.041247193,0.03222973,0.024496902,0.009755556,0.042668307,0.164751522
2000,0.5563,0.046147511,0.013329601,0.0630785,0.020244022,0.06032955,0.033831467,0.94518587,0.001591372,0.039815298,0.030691256,0.023457621,0.009710007,0.036521482,0.185159314
3000,0.4456,0.036368701,0.017068216,0.053066886,0.015203573,0.042554078,0.031782895,0.76439873,0.00200944,0.038194902,0.029592891,0.022662548,0.010850393,0.031438551,0.189135119
4000,-0.1823,0.028709017,0.01912302,0.043399088,0.011373799,0.028530499,0.03015353,0.613253337,0.002649265,0.036601411,0.028681023,0.021999824,0.011663028,0.026930446,0.18619019
5000,-0.4432,0.023962737,0.018885713,0.035417022,0.008382154,0.020076689,0.029065077,0.509686316,0.00354249,0.035166362,0.027920528,0.021481445,0.012621664,0.023047525,0.177682212
6000,-0.0429,0.021343489,0.017102198,0.030994684,0.00665877,0.014794706,0.027904467,0.434795243,0.004512913,0.033935396,0.027282698,0.021137061,0.013907686,0.019904763,0.166008376
7000,-1.106,0.020298969,0.015149132,0.029096041,0.006011551,0.010616819,0.026584706,0.373041776,0.006007261,0.032772996,0.026720714,0.020857658,0.015639339,0.017484157,0.153635297
8000,-1.7298,0.020413446,0.013690014,0.027897536,0.006084408,0.007339071,0.025027952,0.324523925,0.008005009,0.031664516,0.026247086,0.020634765,0.016999895,0.016023966,0.141014411
9000,-0.9231,0.020940983,0.012946307,0.026500523,0.006765478,0.005362229,0.023488191,0.286118961,0.009215684,0.030660652,0.025908839,0.02041631,0.017790793,0.016237695,0.131285069
10000,-0.8871,0.021325373,0.012604913,0.02488111,0.007879,0.003992922,0.022003673,0.252225591,0.009953575,0.029715905,0.025633236,0.020180991,0.017861421,0.017166125,0.121415039
11000,-2.5488,0.021316443,0.012337655,0.023282157,0.008890314,0.003233693,0.020587048,0.222807262,0.009430706,0.028833215,0.025420388,0.019923767,0.017377283,0.01879465,0.111012356
12000,-3.6186,0.021062806,0.012156587,0.021837555,0.009450008,0.003002834,0.019249732,0.197750075,0.009146884,0.028016154,0.025291734,0.019635109,0.01628865,0.020789688,0.103483095
13000,-4.7827,0.020825624,0.011902564,0.020631353,0.00969318,0.002928304,0.017957135,0.174598264,0.00871462,0.027221052,0.025194444,0.019342348,0.014782455,0.0226786,0.096802485
14000,-6.3716,0.020757114,0.011780843,0.019684932,0.009987005,0.002999004,0.016711605,0.15330901,0.007732398,0.026447117,0.025126798,0.019046847,0.013310841,0.024436696,0.090871862
15000,-7.929,0.020907649,0.011833924,0.019021182,0.010330619,0.003231851,0.015622924,0.134967828,0.007465334,0.025712701,0.02508662,0.018764942,0.012021474,0.025746552,0.084558825
16000,-10.066,0.021292971,0.012083559,0.01861698,0.010794946,0.003537537,0.014637247,0.117874438,0.007229544,0.025002568,0.025046294,0.018503475,0.011113177,0.026806972,0.07925011
17000,-12.104,0.021855755,0.012528178,0.018477291,0.011411964,0.003907755,0.013750577,0.102001467,0.007043612,0.024316859,0.02500488,0.018262176,0.010579343,0.027640474,0.075050163
18000,-14.002,0.022558016,0.01310347,0.018602518,0.012152816,0.004350598,0.013046679,0.08856013,0.006969188,0.023685443,0.024953441,0.018062548,0.01034966,0.028164003,0.074114338
