Antarctic.Temp.Approx.Time.A,Antarctic.Temp.Approx.Temp.A,Bacu_Theta_S_Approx.Ne.A,Bbon_Theta_S_Approx.Ne.A,Bmus_Theta_S_Approx.Ne.A,Bphy_Theta_S_Approx.Ne.A,Esup_COI_Theta_S_Approx.Ne.A,Euba_Theta_S_Approx.Ne.A,Mnov_Theta_S_Approx.Ne.A,Pabd_COI_Theta_S_Approx.Ne.A
0,,,,,,,,,
2000,-0.006666667,0.033057935,0.434919555,0.193545315,0.319153337,0.451370491,0.179865115,0.299225914,0.185159314
4000,-0.3,0.020958237,0.28341647,0.122641739,0.135546912,0.319153655,0.13207219,0.210986902,0.18619019
6000,-0.868095238,0.019246799,0.201542255,0.082619778,0.05829635,0.238664115,0.099311334,0.136660891,0.166008376
8000,-1.213,0.022806363,0.147578648,0.051762442,0.030556873,0.17902026,0.081779768,0.107035411,0.141014411
10000,-0.163333333,0.023447395,0.101579822,0.036068141,0.019495894,0.136692629,0.069578461,0.081217393,0.121415039
12000,-2.598695652,0.022762211,0.064599664,0.029065445,0.014357972,0.105496903,0.056498114,0.055649309,0.103483095
14000,-2.974615385,0.022801206,0.040276316,0.026019134,0.012553271,0.080882414,0.045160822,0.037113336,0.090871862
16000,-6.308484848,0.0238414,0.026172536,0.026311731,0.012532794,0.06253823,0.036747798,0.026023731,0.07925011
18000,-9.242954545,0.025541082,0.019183619,0.028346961,0.013485263,0.048956998,0.030863998,0.021140293,0.074114338
20000,-9.647708333,0.027692165,0.016194159,0.036235992,0.015151242,0.03982123,0.026825743,0.019437603,0.072039096
22000,-9.57,0.029985942,0.015459219,0.038482222,0.017322819,0.034016841,0.024232539,0.020379954,0.07214392
24000,-9.550612245,0.032028375,0.015973708,0.044547578,0.020008043,0.029817499,0.022759741,0.022176535,0.075603313
26000,-9.61,0.034018303,0.017339509,0.055007187,0.023062089,0.026107318,0.022389255,0.028227765,0.080170901
28000,-9.632040816,0.035376064,0.019309246,0.068134603,0.027098366,0.022370208,0.02283427,0.031588691,0.085181545
30000,-9.696346154,0.037596248,0.021941772,0.06766233,0.028344727,0.018935096,0.02399793,0.03494127,0.087327796
