Antarctic.Temp.Approx.Time.A,Antarctic.Temp.Approx.Temp.A,Bacu_Theta_S_Approx.Ne.A,Bbon_Theta_S_Approx.Ne.A,Bmus_Theta_S_Approx.Ne.A,Bphy_Theta_S_Approx.Ne.A,Esup_COI_Theta_S_Approx.Ne.A,Euba_Theta_S_Approx.Ne.A,Mnov_Theta_S_Approx.Ne.A,Pabd_COI_Theta_S_Approx.Ne.A
0,,,,,,,,,
1000,-0.592857143,0.016244553,0.529162533,0.218232481,0.27880526,0.573559988,0.15824559,0.306524522,0.394834124
2000,-0.006666667,0.021051876,0.434919555,0.193545315,0.29309006,0.451370491,0.174518306,0.299225914,0.329536922
3000,0.045,0.019446739,0.34974924,0.149916015,0.20741838,0.376193545,0.150699604,0.261138162,0.283574218
4000,-0.3,0.017264092,0.28341647,0.122641739,0.134471501,0.319153655,0.128043385,0.210986902,0.246575476
5000,0.723157895,0.016412573,0.235734174,0.101386118,0.086563212,0.274551778,0.110174862,0.166812346,0.217838574
6000,-0.868095238,0.018511061,0.201542255,0.082619778,0.057991343,0.238664115,0.096088469,0.136660891,0.196694405
7000,-1.1655,0.021328701,0.173009908,0.064875625,0.041216503,0.206803274,0.085694512,0.119709276,0.179535137
8000,-1.213,0.022639154,0.147578648,0.051762442,0.031075797,0.17902026,0.078083514,0.107035411,0.16669833
9000,0.05,0.022999031,0.12377582,0.042252477,0.024429084,0.156474535,0.07166251,0.094806051,0.156147629
10000,-0.163333333,0.022639724,0.101579822,0.036068141,0.019634669,0.136692629,0.06505187,0.081217393,0.146091213
11000,-1.7525,0.022134014,0.08176579,0.032274102,0.016195754,0.119769568,0.058299082,0.067703292,0.136380662
12000,-2.598695652,0.021709588,0.064599664,0.029065445,0.014021539,0.105496903,0.052329977,0.055649309,0.130907988
13000,-5.04,0.021457177,0.050970554,0.026629603,0.012854827,0.092541339,0.047276749,0.046237286,0.125808044
14000,-2.974615385,0.021358313,0.040276316,0.026019134,0.012286257,0.080882414,0.042747302,0.037113336,0.120985418
15000,-3.764615385,0.021572602,0.032102415,0.026068114,0.012139295,0.071198712,0.038815053,0.030668335,0.117252076
16000,-6.308484848,0.022045676,0.026172536,0.026311731,0.012301564,0.06253823,0.035435386,0.026023731,0.114521197
17000,-8.303076923,0.022638323,0.022011016,0.027245119,0.0126799,0.05485778,0.032527905,0.023028257,0.11263953
18000,-9.242954545,0.02350974,0.019183619,0.028346961,0.013305582,0.048956998,0.030035211,0.021140293,0.111355078
19000,-10.29733333,0.024567738,0.017318292,0.031425377,0.014068633,0.044007949,0.027881997,0.019901181,0.111389056
20000,-9.647708333,0.025580468,0.016194159,0.036235992,0.015001297,0.03982123,0.026157917,0.019437603,0.112396327
21000,-9.900638298,0.026748184,0.015617827,0.043484644,0.015908919,0.036638851,0.024776576,0.019429603,0.114314894
22000,-9.57,0.028050571,0.015459219,0.038482222,0.016972115,0.034016841,0.023702281,0.020379954,0.116833673
23000,-9.262653061,0.029594659,0.015613899,0.040827584,0.018227616,0.03174968,0.022886408,0.020989928,0.118907004
24000,-9.550612245,0.030906938,0.015973708,0.044547578,0.019613301,0.029817499,0.022385861,0.022176535,0.11815496
25000,-9.6628,0.031898367,0.016571169,0.06772062,0.021214875,0.027958028,0.022098366,0.024883867,0.120455275
26000,-9.61,0.032936717,0.017339509,0.055007187,0.022811026,0.026107318,0.022033291,0.028227765,0.123643722
27000,-9.642307692,0.034494289,0.018268552,0.040819722,0.024553525,0.024208234,0.02217722,0.04432548,0.126246842
28000,-9.632040816,0.035661671,0.019309246,0.068134603,0.025397086,0.022370208,0.022563532,0.031588691,0.126921983
29000,-8.355,0.038332408,0.020571587,0.076245936,0.025133414,0.02059917,0.02309817,0.035202853,0.128072764
30000,-9.696346154,0.039816278,0.021941772,0.06766233,0.020697788,0.018935096,0.023732757,0.03494127,0.131263225
