"Locus","Parameter.number","Age","Bin","Parameter.value.x","Parameter.Frequency.x","Standard.deviation.x","Counts.per.bin.x","Autocorrelation.per.bin.x","Parameter.value.y","Parameter.Frequency.y","Standard.deviation.y","Counts.per.bin.y","Autocorrelation.per.bin.y","Parameter.value","Parameter.Frequency","Standard.deviation","Counts.per.bin","Autocorrelation.per.bin","PoolSD","PoolMean","Lower","Upper","Total.n"
1,1,0.00025,1,0.088040449,0.003106307,0.000192942,115430.8359,0.022899088,0.088203646,0.003067887,0.000212998,95218.16406,0.023367444,0.088133007,0.00326955,0.000278293,56093.4375,0.027205905,0.000220433180063449,0.0881181689732657,0.0881173153604947,0.0881190225860367,266742.43746
1,1,0.00075,2,0.05572566,0.006421225,0.000105787,176943.5625,0.049294323,0.055907492,0.00633467,0.000116791,146443.375,0.048795145,0.055797648,0.006748741,0.000151644,86223.32813,0.048070103,0.000120629587676788,0.0558058218989161,0.0558054449361784,0.0558061988616538,409610.26563
1,1,0.00125,3,0.031298872,0.011294994,5.90294e-05,217579.3594,0.100205936,0.031234751,0.0111343,6.4437e-05,179979.875,0.096340977,0.031249456,0.011864518,8.42296e-05,105915.2969,0.097054526,6.69522396861965e-05,0.031265554724083,0.0312653660091131,0.0312657434390529,503474.5313
1,1,0.00175,4,0.018863969,0.019665951,4.03952e-05,210991.5938,0.192057595,0.018833946,0.01944018,4.43023e-05,173909.3906,0.191554144,0.018770188,0.020657541,5.75688e-05,102903.5,0.191447288,4.58765125338183e-05,0.0188334820421243,0.0188333506717318,0.0188336134125168,487804.4844
1,1,0.00225,5,0.011904774,0.033008006,3.55492e-05,175821.5938,0.367466092,0.011844833,0.032557625,3.83623e-05,145250.5156,0.359437317,0.0118417,0.034790337,5.01141e-05,85785.10156,0.36291334,4.00130467027686e-05,0.0118700756579992,0.011869950196461,0.0118702011195374,406857.21096
1,1,0.00275,6,0.007050353,0.048204117,2.93497e-05,167437.625,0.509693027,0.007051721,0.047500033,3.2058e-05,138650.625,0.503649414,0.00704567,0.050861519,4.18764e-05,81513.98438,0.506926656,3.32946541094946e-05,0.00704985750251104,0.00704975054498053,0.00704996446004155,387602.23438
1,1,0.00325,7,0.004341995,0.061582424,2.09504e-05,161351.1094,0.529879034,0.004318183,0.060640462,2.29713e-05,133523.7188,0.528869808,0.004315359,0.064669401,2.97419e-05,78616.76563,0.526374221,2.37583462598669e-05,0.00432787553105209,0.00432779778008719,0.004327953282017,373491.59383
1,1,0.00375,8,0.003216341,0.070577771,1.59587e-05,123124.2344,0.46305719,0.003213594,0.069727451,1.7532e-05,101394,0.459314853,0.003197354,0.074097537,2.2572e-05,59904.88672,0.457911313,1.80868031342012e-05,0.00321136270077954,0.00321129487272538,0.0032114305288337,284423.12112
1,1,0.00425,9,0.002888722,0.075821765,1.54731e-05,70396.14844,0.383907199,0.002904928,0.074942648,1.70516e-05,57686.21875,0.381281346,0.002893114,0.079704948,2.21729e-05,34066.77734,0.383818895,1.76258750022881e-05,0.00289541018913774,0.00289532264574963,0.00289549773252585,162149.14453
1,1,0.00475,10,0.002991118,0.077790618,1.9074e-05,31785.30859,0.324336886,0.002994647,0.077024497,2.11908e-05,26061.54883,0.32830599,0.00299007,0.082098946,2.77643e-05,15326.5,0.33542788,2.18958497986656e-05,0.00299215538623589,0.00299199349799283,0.00299231727447894,73173.35742
1,1,0.00525,11,0.00333196,0.078431711,2.87034e-05,11963.60938,0.323125213,0.003336149,0.077787831,3.2095e-05,9846.019531,0.318279147,0.00333731,0.083219387,4.22512e-05,5802.419922,0.338632852,3.315728882068e-05,0.00333457798473685,0.0033341789049868,0.00333497706448691,27612.048833
1,1,0.00575,12,0.003869305,0.078750394,4.95599e-05,4017.589844,0.351692945,0.003856175,0.077882052,5.2169e-05,3323.369873,0.320618212,0.003888714,0.082004309,7.56369e-05,1949.519897,0.381452769,5.68865529163816e-05,0.00386868096173798,0.00386750058526002,0.00386986133821594,9290.479614
1,1,0.00625,13,0.004520779,0.077669114,8.48714e-05,1259.859985,0.338399202,0.004487969,0.076934688,9.60636e-05,1011.97998,0.364726275,0.004572085,0.082387492,0.000140226,599.1199951,0.389215976,0.000102545626148188,0.00451992053707838,0.00451609287517993,0.00452374819897683,2870.9599601
1,1,0.00675,14,0.005208077,0.07799267,0.00018258,357.6600037,0.495851278,0.005233479,0.07770367,0.000191913,286.2299805,0.444597185,0.005242521,0.082312338,0.000257155,178.7399902,0.365042329,0.00020411541762111,0.00522439944703568,0.00521016621463582,0.00523863267943555,822.6299744
1,1,0.00725,15,0.006167531,0.081612043,0.000317158,104.5099945,0.482257217,0.006033703,0.072001554,0.000396445,81.73999786,0.51602906,0.006064269,0.083398625,0.00039843,49.88999939,0.265978396,0.000363839594022203,0.00609938988831717,0.00605203605051971,0.00614674372611464,236.13999175
1,1,0.00775,16,0.006774805,0.073888309,0.00055054,31.05999947,0.493268609,0.006617256,0.080544725,0.00050564,24.45999908,0.316561252,0.006638821,0.077710278,0.000806607,13.63999939,0.479780793,0.000593862792092528,0.00669226494444567,0.00654944507700234,0.00683508481188901,69.15999794
