"Locus","Parameter.number","Age","Bin","Parameter.value.x","Parameter.Frequency.x","Standard.deviation.x","Counts.per.bin.x","Autocorrelation.per.bin.x","Parameter.value.y","Parameter.Frequency.y","Standard.deviation.y","Counts.per.bin.y","Autocorrelation.per.bin.y","Parameter.value","Parameter.Frequency","Standard.deviation","Counts.per.bin","Autocorrelation.per.bin","PoolSD","PoolMean","Lower","Upper","Total.n"
1,1,0.00025,1,0.037235484,0.000275095,6.0936e-05,225693.5938,0.038361143,0.037175264,0.000272673,6.07e-05,225610.0781,0.037208136,0.037205145,0.000278802,6.09e-05,225748.0781,0.038713571,6.08454442037381e-05,0.0372053013590946,0.0372051534662612,0.0372054492519279,677051.75
1,1,0.00075,2,0.033274707,0.001685265,7.73e-05,119591.9063,0.065974303,0.03325503,0.001671356,7.69e-05,119715.5234,0.064461716,0.033316992,0.001708889,7.74e-05,119633.1094,0.066704445,7.72002219758259e-05,0.0332822376168643,0.033281979903293,0.0332824953304357,358940.5391
1,1,0.00125,3,0.030481253,0.003933221,8.74e-05,97556.91406,0.176754639,0.0304957,0.003891215,8.7137e-05,97786.35938,0.176432148,0.030540109,0.00397813,8.7e-05,97536.82031,0.174799368,8.71791372601388e-05,0.0305056771475702,0.0305053549682691,0.0305059993268713,292880.09375
1,1,0.00175,4,0.028866474,0.006544841,0.000109164,82294.96875,0.366882324,0.028895937,0.006459021,0.00010938,82346.00781,0.367264897,0.02895279,0.006616534,0.000109663,82010.76563,0.366580367,0.000109402218986895,0.0289050101221852,0.0289045695530864,0.028905450691284,246651.74219
1,1,0.00225,5,0.027188961,0.009229795,0.000137101,70002.21875,0.532740414,0.0271248,0.009150715,0.000136182,70292.35156,0.530831337,0.027226316,0.009347085,0.000137964,69936.67188,0.5341959,0.000137082748094986,0.0271799350190345,0.0271793370699991,0.0271805329680698,210231.24219
1,1,0.00275,6,0.024884243,0.011648691,0.000151844,64043.27734,0.622545481,0.024885563,0.011541729,0.000152186,64166.91016,0.624225557,0.024901962,0.01178745,0.000151207,64127.25,0.619312048,0.000151746257046916,0.0248905910676463,0.0248898990517504,0.0248912830835421,192337.4375
1,1,0.00325,7,0.022644684,0.013554276,0.000153671,61070.60938,0.664715707,0.022614284,0.013465059,0.000152981,61403.64844,0.663950741,0.02262708,0.013729001,0.000154169,61222.54688,0.666572452,0.000153607103356542,0.0226286552365566,0.0226279384489393,0.0226293720241739,183696.8047
1,1,0.00375,8,0.020555208,0.015182792,0.000150836,58868.91016,0.691303074,0.02054264,0.015085346,0.000150687,58998.9375,0.691272378,0.020538298,0.015395963,0.00015174,58804.09766,0.692243457,0.000151087848444794,0.0205453825807192,0.0205446636687126,0.0205461014927257,176671.94532
1,1,0.00425,9,0.018576743,0.016520049,0.000146474,57450.5,0.711131215,0.018612539,0.016379532,0.000146747,57378.25781,0.710514009,0.018557448,0.016736502,0.000147586,57134.32813,0.710565507,0.000146935311083081,0.0185822761948139,0.0185815675337736,0.0185829848558541,171963.08594
1,1,0.00475,10,0.016776254,0.017809516,0.000144599,55942.78906,0.733712018,0.016763585,0.01752164,0.000143762,56188.28906,0.731556714,0.01669099,0.01791206,0.000144236,55987.08984,0.730874121,0.000144198779097132,0.0167436249704978,0.0167429215998278,0.0167443283411678,168118.16796
