"Locus","Parameter.number","Age","Bin","Parameter.value.x","Parameter.Frequency.x","Standard.deviation.x","Counts.per.bin.x","Autocorrelation.per.bin.x","Parameter.value.y","Parameter.Frequency.y","Standard.deviation.y","Counts.per.bin.y","Autocorrelation.per.bin.y","Parameter.value","Parameter.Frequency","Standard.deviation","Counts.per.bin","Autocorrelation.per.bin","PoolSD","PoolMean","Lower","Upper","Total.n"
1,1,0.00025,1,1.209530711,0.005736493,0.010710415,6112.679688,0.091339983,1.204334259,0.005862449,0.010630407,6133.609863,0.08491271,1.20841527,0.00585068,0.010603419,6120.600098,0.082350306,0.0106481377604523,1.20742364887499,1.20726650920074,1.20758078854923,18366.889649
1,1,0.00075,2,0.897206008,0.004278697,0.007105555,10355.08984,0.099736624,0.904378891,0.00442434,0.007224225,10337.14941,0.105726481,0.905919015,0.004384816,0.007154313,10316.80957,0.098730318,0.00716150240993053,0.902495999261091,0.902414661930409,0.902577336591772,31009.04882
1,1,0.00125,3,0.646582961,0.003774256,0.004428863,14228.05957,0.114548869,0.646243036,0.003878748,0.004468132,14196.7998,0.115125537,0.647453904,0.003852104,0.004435266,14226.16016,0.113519147,0.00444410303936717,0.646760314965265,0.646717277230281,0.646803352700248,42651.01953
1,1,0.00175,4,0.494292736,0.003621985,0.003057811,17909.68945,0.124664992,0.494495541,0.003729605,0.003076744,17871.03906,0.126968846,0.494579643,0.00370152,0.003038756,17878.01953,0.120537028,0.0030578071915137,0.494455871841696,0.494429470875222,0.49448227280817,53658.74804
1,1,0.00225,5,0.390825421,0.003691748,0.002224129,21559.51953,0.133918285,0.391818106,0.003798703,0.002254689,21512.85938,0.141415045,0.392134965,0.00377322,0.002234845,21565.53906,0.137127698,0.00223791104223969,0.391592718534544,0.391575113814008,0.39161032325508,64637.91797
1,1,0.00275,6,0.320026577,0.00395132,0.001715374,25375.17969,0.154334158,0.319784343,0.00405161,0.001718237,25308.97852,0.150561854,0.320916891,0.004020503,0.001724385,25367.93945,0.151763573,0.00171933658497673,0.320242938376569,0.320230469271011,0.320255407482127,76052.09766
1,1,0.00325,7,0.264587492,0.004301893,0.001336112,29615.58984,0.166087002,0.264387518,0.004420875,0.00133708,29561.55859,0.166699782,0.266640008,0.004391788,0.001353046,29539,0.169041991,0.00134209536027387,0.265204265022441,0.265195253212348,0.265213276832534,88716.14843
1,1,0.00375,8,0.221235484,0.004760006,0.00105901,34189.64844,0.178469226,0.221788436,0.004902687,0.001074015,34138.35938,0.187543005,0.222803608,0.004855095,0.001073845,34121.89844,0.183333576,0.001068974055625,0.221942017022895,0.22193533756252,0.221948696483271,102449.90626
1,1,0.00425,9,0.185442656,0.005297009,0.000853144,39296.17969,0.197633937,0.184964597,0.00543886,0.000857473,39237.48047,0.201013386,0.185455635,0.005382383,0.000858151,39134.19922,0.198991567,0.000856255658562938,0.18528755920466,0.185282566860421,0.185292551548899,117667.85938
1,1,0.00475,10,0.154099152,0.005885419,0.000697908,44739.85938,0.227895394,0.15303959,0.00602712,0.000689427,44801.39063,0.221778318,0.154409409,0.00598708,0.000699103,44606.86719,0.224260822,0.000695486312998175,0.153848457029643,0.153844659280342,0.153852254778944,134148.1172
1,1,0.00525,11,0.126681119,0.006489594,0.000570754,50419.80078,0.254039496,0.126490101,0.006683063,0.000564702,50490.98047,0.251137108,0.127458125,0.006622871,0.000573616,50384.07813,0.255152553,0.000569699516295815,0.126876129227214,0.12687319992783,0.126879058526599,151294.85938
1,1,0.00575,12,0.103109881,0.007186626,0.000463952,56646.41797,0.285012186,0.102623254,0.007372399,0.00046416,56826.84766,0.289558947,0.103830524,0.007292921,0.000470053,56693.95703,0.289178938,0.000466062686757113,0.10318746718066,0.103185207555641,0.10318972680568,170167.22266
1,1,0.00625,13,0.083287902,0.007962382,0.000384072,63540.02734,0.331766814,0.082972668,0.0081911,0.000382687,63470.04688,0.330157727,0.084004112,0.008127062,0.00039109,63236.23047,0.334719867,0.000385960162635173,0.0834207955345575,0.0834190257746125,0.0834225652945024,190246.30469
1,1,0.00675,14,0.066936582,0.008854249,0.000319893,70871.125,0.37845698,0.066399343,0.009100352,0.000315403,70820.71875,0.374889851,0.067141496,0.009007046,0.000320305,70586.82031,0.375744373,0.000318539776320918,0.0668254854631532,0.0668241027232576,0.0668268682030488,212278.66406
1,1,0.00725,15,0.053707972,0.009872548,0.000266826,78352.32813,0.429096848,0.053158999,0.010118188,0.000261073,78434.33594,0.423740983,0.053807385,0.010031765,0.000264232,77968.6875,0.423041105,0.000264052819297648,0.0535575718862755,0.0535564819200174,0.0535586618525337,234755.35157
1,1,0.00775,16,0.043542165,0.010995926,0.000222827,85413.48438,0.475926757,0.043259878,0.011334067,0.000219292,85400.10156,0.472708434,0.043560322,0.011153591,0.000221705,85184.78906,0.472077161,0.000221279305014322,0.0434540369474133,0.0434531622613836,0.0434549116334431,255998.375
1,1,0.00825,17,0.036041401,0.012235042,0.000192134,90613.64063,0.52465713,0.035895862,0.012583341,0.000189684,90755.83594,0.521214664,0.036144573,0.012454809,0.000191055,90113.35938,0.51821667,0.000190959457699723,0.0360269936873637,0.0360262606941063,0.0360277266806211,271482.83595
1,1,0.00875,18,0.030574784,0.013601652,0.000173001,92980.39844,0.57463479,0.030455031,0.013969237,0.000171227,93273.98438,0.570918202,0.030553395,0.013785826,0.000171135,92852.08594,0.566963434,0.000171789522613739,0.0305276483933762,0.0305269980515032,0.0305282987352492,279106.46876
1,1,0.00925,19,0.026267285,0.014921382,0.000159916,93671.94531,0.61863327,0.026243309,0.015335381,0.00016016,93426.96875,0.619554997,0.026293177,0.015156946,0.000159756,93298.97656,0.616635501,0.000159944147532603,0.0262679115813839,0.0262673074784038,0.026268515684364,280397.89062
1,1,0.009750001,20,0.022677455,0.016291874,0.00015414,92507.72656,0.668014824,0.022745201,0.016799955,0.000155178,91852.16406,0.669478834,0.022779256,0.01662009,0.000154901,92101.53906,0.668392301,0.000154739013302977,0.0227338775016933,0.0227332889121475,0.0227344660912391,276461.42968
1,1,0.010250001,21,0.019738382,0.017656537,0.000152192,90384,0.713990152,0.019755282,0.01819396,0.000152529,90061.53906,0.714685619,0.019845499,0.018009178,0.000151387,90117.64844,0.709613204,0.000152036805507989,0.0197796853726477,0.0197791007920752,0.0197802699532202,270563.1875
1,1,0.010750001,22,0.017269172,0.018944955,0.000150406,88413.42969,0.751808286,0.017270625,0.019506505,0.000150768,88089.86719,0.752447665,0.017359776,0.019227075,0.000149547,88048.55469,0.74709785,0.000150241515743685,0.0172998107794228,0.0172992265753917,0.017300394983454,264551.85157
