"Locus","Parameter.number","Age","Bin","Parameter.value.x","Parameter.Frequency.x","Standard.deviation.x","Counts.per.bin.x","Autocorrelation.per.bin.x","Parameter.value.y","Parameter.Frequency.y","Standard.deviation.y","Counts.per.bin.y","Autocorrelation.per.bin.y","Parameter.value","Parameter.Frequency","Standard.deviation","Counts.per.bin","Autocorrelation.per.bin","PoolSD","PoolMean","Lower","Upper","Total.n"
1,1,0.00025,1,0.662701309,0.000537563,0.002896903,29132.13867,0.018613448,0.568226695,0.000452786,0.00236769,31617.44922,0.016339771,0.592485428,0.000431923,0.002377504,34529.85938,0.016714741,0.00254454141324515,0.605904266584738,0.605887779650537,0.605920753518939,95279.44727
1,1,0.00075,2,0.453667581,0.000704359,0.001740667,37665.37109,0.029011941,0.40940398,0.000653561,0.001525641,39599.92969,0.027875891,0.417185843,0.000610826,0.001542286,40804.98828,0.033613306,0.00160289766752763,0.426213829469816,0.426204499817071,0.426223159122561,118070.28906
1,1,0.00125,3,0.347582251,0.001025984,0.001337096,39106.11719,0.053566635,0.326311976,0.001005016,0.001217587,40525.85938,0.045858525,0.327400804,0.000927138,0.00123401,40877.16797,0.055455606,0.00126303201173089,0.333583673722235,0.333576397024221,0.333590950420248,120509.14454
1,1,0.00175,4,0.275081545,0.001478069,0.001075799,39315.4375,0.074833185,0.264954954,0.001472585,0.00102281,40409.07031,0.075664528,0.264178842,0.001360123,0.001032621,40890.66797,0.090719223,0.00104365913053633,0.267992678026679,0.267986667843682,0.267998688209676,120615.17578
1,1,0.00225,5,0.222887799,0.002077115,0.000916435,40018.76953,0.12112172,0.216756299,0.00206284,0.000869957,40858.27734,0.114640035,0.21290721,0.001896312,0.000857686,42309.58984,0.127710909,0.000881201764365769,0.217426190724699,0.217421169339309,0.217431212110089,123186.63671
1,1,0.00275,6,0.180362582,0.002812697,0.00075881,41988.84766,0.165318027,0.177785367,0.002769985,0.00075451,41996.61719,0.172625601,0.171939641,0.002562913,0.000706858,45447.98828,0.178823963,0.000739557038979157,0.176568817530707,0.176564706237964,0.176572928823451,129433.45313
1,1,0.00325,7,0.146180213,0.003668383,0.000639355,44718.67969,0.227946654,0.146352872,0.003601432,0.000670919,42301.98828,0.242367938,0.140289694,0.003325977,0.000611151,47355.64063,0.246033162,0.000639816345016995,0.144158684914254,0.144155194122247,0.144162175706262,134376.3086
1,1,0.00375,8,0.120245293,0.00471543,0.000571325,45642.23828,0.305992991,0.122233003,0.004616448,0.00063654,40313.21875,0.33491832,0.115720086,0.00426763,0.000567221,46119.69922,0.33528766,0.000590613042490447,0.119271830606639,0.119268580314014,0.119275080899263,132075.15625
1,1,0.00425,9,0.099251375,0.005942527,0.000535716,43958.5,0.39103511,0.101190671,0.005788415,0.000596797,38386.00781,0.411385417,0.095111981,0.005354712,0.000532475,43934.01953,0.417552441,0.000553908703924297,0.0984007285148122,0.098397611036571,0.0984038459930534,126278.52734
1,1,0.00475,10,0.082471177,0.007379313,0.000507427,42316.86719,0.469955415,0.083954133,0.007065851,0.000556723,37193.46094,0.480255902,0.077396147,0.006665524,0.000484046,42118.84766,0.479979008,0.000515263052861768,0.0811672287626789,0.0811642738808585,0.0811701836444993,121629.17579
1,1,0.00525,11,0.067518614,0.008968622,0.000457187,42177.00781,0.53064388,0.069510438,0.008492491,0.000504735,37404.69922,0.540295124,0.064049669,0.008115334,0.000450726,42277.85938,0.555224538,0.000470131733721749,0.0669264898573208,0.066923796340151,0.0669291833744907,121859.56641
1,1,0.00575,12,0.055317931,0.010633547,0.000412569,42720.33984,0.590308487,0.057819203,0.010080928,0.000458192,37671.62109,0.592851698,0.053295448,0.009662275,0.000410255,42901.19922,0.610581398,0.000426249852784501,0.0553784373972396,0.055376009531059,0.0553808652634202,123293.16015
1,1,0.00625,13,0.045882277,0.012474011,0.000366167,43330.61719,0.631899238,0.049251527,0.011731356,0.000428175,37151.73047,0.639042497,0.045324545,0.011357606,0.000370995,43084.17969,0.651355028,0.000387464097948491,0.0467008161654869,0.0466986116607201,0.0467030206702537,123566.52735
1,1,0.00675,14,0.039357584,0.014644129,0.000339213,42864.82031,0.679790855,0.042504553,0.013665265,0.000397019,36003.83984,0.672355592,0.039352432,0.013264815,0.000336641,42512.48828,0.68089819,0.000356483178784433,0.0402892273810399,0.0402871809674257,0.0402912737946541,121381.14843
1,1,0.00725,15,0.03428591,0.016845156,0.000305568,41913.60938,0.701650918,0.037546143,0.0155623,0.000364667,35162.48828,0.69604528,0.035301372,0.015285334,0.000318823,41052.37891,0.712652922,0.000328692069707914,0.0356092575956379,0.0356073449173843,0.0356111702738915,118128.47657
1,1,0.00775,16,0.030688467,0.019094383,0.000291713,40740.62891,0.735918462,0.033612166,0.017779544,0.000346127,34757.25,0.73160702,0.032360304,0.017369343,0.000306712,40093.48047,0.742763042,0.000314079520638727,0.0321474817748142,0.0321456341791708,0.0321493293704575,115591.35938
1,1,0.00825,17,0.027698031,0.021438941,0.000291205,39743.76953,0.775906622,0.030382363,0.019838907,0.000331222,35204.87891,0.763148964,0.02996191,0.019455997,0.000303293,39667.07813,0.776459038,0.000308120033230314,0.0293060393745885,0.029304219138059,0.029307859611118,114615.72657
1,1,0.00875,18,0.024763882,0.023295283,0.000288048,40040.34766,0.807583094,0.027382588,0.02167007,0.000324047,36501.07031,0.797749579,0.027747318,0.021279071,0.000311887,40200.66016,0.817299545,0.000307873423953938,0.0266100172755116,0.0266082151356733,0.0266118194153499,116742.07813
1,1,0.00925,19,0.021779958,0.024885578,0.000284708,41404.60938,0.836901426,0.02434931,0.022919707,0.000316245,38845.59766,0.827244282,0.025331944,0.02256578,0.000310955,42044.52734,0.842628241,0.00030406194149888,0.0238172459322264,0.0238155069778783,0.0238189848865746,122294.73438
1,1,0.009750001,20,0.019081052,0.026017105,0.000275214,43465.89844,0.855485916,0.021377826,0.024010362,0.000301206,41764.50781,0.84642148,0.022930557,0.023487961,0.00030455,44256.05859,0.859397411,0.00029391858574008,0.021137541493418,0.0211359078966789,0.0211391750901571,129486.46484
1,1,0.010250001,21,0.016654346,0.026811244,0.000257674,45594.57031,0.864352763,0.018706262,0.024635416,0.00027723,44833.01953,0.854448378,0.020675184,0.024160542,0.000298708,46412.25781,0.87295121,0.000278507812566297,0.0186903739900543,0.0186888682115712,0.0186918797685374,136839.84765
1,1,0.010750001,22,0.014537348,0.027373204,0.000233983,47123.55859,0.864495158,0.016388297,0.025262984,0.00025836,46892.01953,0.862329543,0.018606396,0.02464699,0.000281001,48120.87891,0.873871505,0.000258660282698235,0.0165255845766607,0.0165242124095655,0.0165269567437559,142136.45703
1,1,0.011250001,23,0.012855531,0.027826646,0.000209766,47252.30078,0.857762754,0.014506295,0.025640642,0.000234476,47875.34766,0.859414995,0.016752163,0.024898766,0.000265975,49151.94922,0.874584436,0.000238231292485083,0.014730764664258,0.0147295102922865,0.0147320190362296,144279.59766
1,1,0.011750001,24,0.011564351,0.02816985,0.000191046,45732.30078,0.849444211,0.012952511,0.025892388,0.000208949,47361.67969,0.846572042,0.015182764,0.025018783,0.000245718,48972.28906,0.866383851,0.000217065163040696,0.0132744512050429,0.0132732994115089,0.0132756029985769,142066.26953
1,1,0.012250001,25,0.010599292,0.02836722,0.00017454,42642.07813,0.834435642,0.011741584,0.026202645,0.000194842,45081.39844,0.84122175,0.013857978,0.025218651,0.000229945,47143.23047,0.857680857,0.000202001559744278,0.0121202092850446,0.0121191091845964,0.0121213093854929,134866.70704
1,1,0.012750001,26,0.009899403,0.028596636,0.000162439,38186.82813,0.815027118,0.010864101,0.026321605,0.000179714,41316.11719,0.823880971,0.012854184,0.025376301,0.000213169,43931.00781,0.841426909,0.000187474116732034,0.0112739363314417,0.01127286911135,0.0112750035515334,123433.95313
1,1,0.013250001,27,0.00943963,0.028679708,0.000156921,32887.55859,0.797672927,0.010182073,0.026531082,0.000169895,36381.39844,0.806544662,0.012070324,0.025442299,0.000206485,39620.21875,0.831882,0.000180539903839293,0.0106448901684805,0.0106437959328624,0.0106459844040985,108889.17578
1,1,0.013750001,28,0.009154213,0.028972764,0.000157235,26995.17969,0.780925214,0.009750527,0.026566058,0.000163216,30934.41992,0.783788741,0.011500307,0.025605531,0.000204165,34669.41797,0.821572483,0.000178082073035112,0.0102318091103138,0.0102306386760993,0.0102329795445282,92599.01758
1,1,0.014250001,29,0.008973814,0.029045684,0.000157903,21706.49023,0.758001983,0.009418454,0.026873823,0.000162465,25347.36914,0.766308188,0.011044161,0.025665676,0.000198418,29568.75,0.799314141,0.00017603372039823,0.00991985365678884,0.00991858177310961,0.00992112554046806,76622.60937
1,1,0.014750001,30,0.008894166,0.028993651,0.000164691,16882.33984,0.738810003,0.009238847,0.026802402,0.000165174,20345.51953,0.750480413,0.010751772,0.025823152,0.000204884,24434.09961,0.791579545,0.000181829315880283,0.00974398726620807,0.00974252278015051,0.00974545175226562,61661.95898
1,1,0.015250001,31,0.008961164,0.029163132,0.000183924,12607.5,0.736058176,0.009192799,0.026920598,0.000170921,15755.98926,0.730142772,0.010602525,0.025909742,0.000209495,19738.40039,0.774858236,0.000190905370200257,0.00971056240070859,0.00970882152777871,0.00971230327363846,48101.88965
1,1,0.015750001,32,0.009109433,0.029154744,0.000204933,9248.889648,0.728600085,0.009267445,0.027138066,0.000187904,11810.41016,0.723869979,0.010529961,0.025903227,0.000216758,15565.38965,0.755306125,0.000204840459793541,0.00976410772117227,0.00976196700661591,0.00976624843572862,36624.689458
1,1,0.016250001,33,0.009359648,0.029181548,0.0002268,6637.699707,0.712017477,0.009419895,0.027145082,0.000204821,8765.540039,0.707132638,0.010533857,0.025804207,0.000232968,12087.66016,0.747391939,0.000222846083324662,0.00989515381792086,0.00989246574823744,0.00989784188760429,27490.899906
1,1,0.016750001,34,0.009695919,0.029384259,0.000278517,4673.25,0.726777256,0.009594834,0.027118672,0.000230744,6399.279785,0.701105833,0.01059582,0.025903909,0.000247655,9111.339844,0.73269099,0.000250055181619284,0.0100701006003923,0.0100665804303886,0.010073620770396,20183.869629
1,1,0.017250001,35,0.01015903,0.029014122,0.000330077,3231.139893,0.718915939,0.009870544,0.027209027,0.00026088,4521.649902,0.685251534,0.010727512,0.026046999,0.000273157,6783.419922,0.728422105,0.000283208146918978,0.0103345791617244,0.0103298811927105,0.0103392771307384,14536.209717
1,1,0.017750001,36,0.010653514,0.029548205,0.000367877,2164.199951,0.680761814,0.010243877,0.027193848,0.000310647,3153.129883,0.695317686,0.01103798,0.026334276,0.000309256,4937.989746,0.724303842,0.00032292369664268,0.0107126882163732,0.0107063106452327,0.0107190657875137,10255.31958
1,1,0.018250001,37,0.011056836,0.029372463,0.00043391,1478.119995,0.686949253,0.010737759,0.027544674,0.000377416,2154.199951,0.70677954,0.011386707,0.02612084,0.000343911,3626.859863,0.713686824,0.000373760278421035,0.011126959656597,0.0111181860256307,0.0111357332875633,7259.179809
1,1,0.018750001,38,0.011617977,0.029510483,0.000577376,994.9299927,0.725528896,0.011229035,0.027386341,0.000437821,1490.5,0.699362576,0.011882915,0.026580561,0.000426707,2583.52002,0.744126797,0.000463233859496823,0.0116386429319576,0.0116256301160002,0.0116516557479149,5068.9500127
1,1,0.019250001,39,0.012137574,0.029728323,0.000621007,684.4799805,0.681493044,0.011797603,0.02762321,0.000540911,998.5499878,0.705704808,0.012378395,0.025863007,0.000455268,1884.01001,0.701209307,0.000515127669258336,0.0121695980696518,0.0121523479987207,0.0121868481405829,3567.0399783
1,1,0.019750001,40,0.01262716,0.027956668,0.00079803,461.75,0.703933001,0.012400944,0.027490407,0.000679342,681.0299683,0.721675456,0.012759667,0.026635176,0.000500018,1314.619995,0.673487842,0.000617439858525988,0.0126353542201796,0.0126104434741713,0.0126602649661878,2457.3999633
1,1,0.020250001,41,0.01328669,0.029177243,0.000887828,290.1399841,0.642167151,0.013058469,0.02779606,0.000706559,451.4799805,0.650383413,0.013139755,0.026137566,0.000621674,934.75,0.714455545,0.000697316560011942,0.0131432940259872,0.0131092316420991,0.0131773564098752,1676.3699646
1,1,0.020750001,42,0.013527711,0.0284537,0.000873953,185.5500031,0.539075911,0.013579812,0.026593402,0.000988851,310.8500061,0.735353351,0.013775596,0.026311439,0.000750848,641.0299683,0.732879996,0.000842261196892393,0.0136816521773239,0.0136317045970259,0.0137315997576219,1137.4299775
1,1,0.021250001,43,0.014375778,0.028210454,0.001122786,109.7599945,0.580395699,0.013909706,0.027466148,0.001304786,199.3199921,0.757061184,0.01429076,0.026696468,0.000774729,434.8099976,0.661793649,0.000996095857544601,0.0142012036052746,0.0141281609127411,0.0142742462978081,743.8899842
1,1,0.021750001,44,0.014825558,0.029026156,0.001753907,69.33000183,0.753360391,0.014953658,0.026848968,0.00177923,136.0099945,0.795752287,0.01472021,0.025657324,0.000937725,309.6600037,0.710042238,0.00133244162290105,0.0147960450256826,0.0146786162394684,0.0149134738118968,515.00000003
1,1,0.022250001,45,0.014353839,0.027009612,0.002473445,41.56999969,0.776327372,0.015636398,0.028005904,0.00117438,89.90999603,0.491547823,0.015809532,0.026517805,0.001409877,204.1100006,0.807429731,0.00152606352454402,0.0155828278799557,0.0154162190154264,0.0157494367444851,335.58999632
1,1,0.022750001,46,0.013404306,0.022678889,0.00170322,28.13999939,0.491013944,0.015599107,0.025763268,0.001786891,59.96999741,0.728536248,0.016524075,0.026718494,0.001383326,138.3600006,0.742208183,0.00153984219256361,0.0158914939607189,0.0156868490854494,0.0160961388359885,226.4699974
1,1,0.023250001,47,0.011673136,0.017698713,0.004312241,15.93999958,0.764882386,0.015837405,0.024342025,0.001844866,36.93999863,0.631067336,0.017510474,0.025551636,0.002345746,92.30999756,0.864484847,0.00251945659565867,0.0164439381755792,0.0160257530992006,0.0168621232519577,145.18999577
1,1,0.023750001,48,NA,NA,NA,NA,NA,0.014329772,0.021550506,0.002743914,22.09000015,0.687510133,0.017951513,0.024369108,0.002159618,55.07999802,0.769575477,NA,NA,NA,NA,NA
1,1,0.024250001,49,NA,NA,NA,NA,NA,0.012788879,0.017526466,0.003587131,15.22999954,0.667382777,0.016516989,0.022466494,0.003718429,37.80999756,0.854696333,NA,NA,NA,NA,NA
1,1,0.024750001,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015141198,0.016588908,0.005191771,25.65999985,0.848002553,NA,NA,NA,NA,NA
1,1,0.025250001,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010997412,0.013601669,0.009863953,14.40999985,0.822034776,NA,NA,NA,NA,NA
