"Locus","Parameter.number","Age","Bin","Parameter.value.x","Parameter.Frequency.x","Standard.deviation.x","Counts.per.bin.x","Autocorrelation.per.bin.x","Parameter.value.y","Parameter.Frequency.y","Standard.deviation.y","Counts.per.bin.y","Autocorrelation.per.bin.y","Parameter.value","Parameter.Frequency","Standard.deviation","Counts.per.bin","Autocorrelation.per.bin","PoolSD","PoolMean","Lower","Upper","Total.n"
1,1,0.00025,1,0.061003413,9.60875e-05,0.00012324,158575.8594,0.051256523,0.034318563,0.000122645,6.27538e-05,210167.4688,0.065450929,0.034314401,0.000122624,6.27318e-05,210196.8281,0.065276213,8.37765194757245e-05,0.0416262236216951,0.0416260034124886,0.0416264438309017,578940.1563
1,1,0.00075,2,0.057348158,0.000526616,0.000168299,78905.71094,0.07175801,0.031530898,0.000850497,9.26537e-05,88017.07031,0.094617151,0.031528313,0.000850437,9.26747e-05,88021.40625,0.094834529,0.00012122526945329,0.0395204965841516,0.0395200164079892,0.0395209767603139,254944.1875
1,1,0.00125,3,0.053766079,0.001223592,0.000195984,57057.29688,0.118329451,0.029529283,0.002029195,0.000111001,63236.45703,0.170041874,0.029531729,0.00202892,0.000111069,63220.78906,0.169958055,0.000142960499751587,0.037065692270126,0.037065024832309,0.0370663597079429,183514.54297
1,1,0.00175,4,0.050611112,0.002090595,0.000219241,47417.44922,0.194569603,0.028048983,0.003423455,0.00012649,53750.48828,0.272567987,0.0280481,0.003422711,0.000126616,53731.89063,0.272838265,0.000160707757375581,0.0349553248197943,0.0349545081596362,0.0349561414799523,154899.82813
1,1,0.00225,5,0.04790248,0.003028788,0.000241775,42380.67969,0.282052636,0.026983179,0.004830679,0.000139541,50119.48047,0.371286154,0.026976774,0.004829294,0.000139647,50129.91797,0.371802688,0.000176254056280409,0.0331968270924264,0.0331958937015399,0.0331977604833128,142630.07813
1,1,0.00275,6,0.045439757,0.003987169,0.00025868,39624.17969,0.356792152,0.026018636,0.006072884,0.000148587,49517.70703,0.453211397,0.026013851,0.006072013,0.000148739,49520.48828,0.453744263,0.000186833851478977,0.0315667093886811,0.0315657059144023,0.0315677128629598,138662.375
1,1,0.00325,7,0.043047823,0.004890217,0.000270192,38490.16016,0.422530681,0.025147295,0.007081897,0.000153695,50236.17969,0.512864709,0.025146093,0.007080506,0.000153873,50226.73828,0.513328791,0.000193185484310228,0.0301053270666564,0.0301042905640446,0.0301063635692682,138953.07813
1,1,0.00375,8,0.040676016,0.005702674,0.000275204,38488.17969,0.475600302,0.024339771,0.007905903,0.000156722,51121.27734,0.557075203,0.024338003,0.007903555,0.000156821,51110.07031,0.557262778,0.000196392430176897,0.0288072531064216,0.028806206031987,0.0288083001808562,140719.52734
1,1,0.00425,9,0.038294189,0.006401452,0.000273602,39353.14844,0.516338289,0.023560865,0.008563055,0.000158822,51923.14844,0.592770934,0.023557046,0.008560084,0.000158911,51915.33984,0.593015492,0.000197168345674931,0.0276086183114391,0.0276075762139209,0.0276096604089573,143191.63672
1,1,0.00475,10,0.036019512,0.00699692,0.000270376,40700.64844,0.553708553,0.022776717,0.009070816,0.0001601,52626.50781,0.619736791,0.02277364,0.009068118,0.000160142,52617.67969,0.619777978,0.000197168508689496,0.0264687177178541,0.0264676854956881,0.0264697499400202,145944.83594
1,1,0.00525,11,0.033860076,0.007488983,0.000264712,42366.23047,0.584052801,0.021995071,0.009504418,0.000161277,52859.42969,0.641691566,0.021991774,0.009502183,0.000161411,52846.53906,0.642035961,0.000196551962381823,0.025388694542876,0.0253876729670288,0.0253897161187232,148072.19922
1,1,0.00575,12,0.031887718,0.00794337,0.000257584,43941.58984,0.607385576,0.021247447,0.009846699,0.00016166,52832.87891,0.657511115,0.021246469,0.009844445,0.000161805,52819.14844,0.657828629,0.000194841968418038,0.0243725720937231,0.0243715645683958,0.0243735796190504,149593.61719
1,1,0.00625,13,0.030107124,0.008316355,0.000251754,45350.55078,0.629392147,0.020565512,0.010121141,0.000162262,52491.9375,0.671743631,0.020565372,0.010119154,0.000162386,52481.94922,0.671996236,0.000193702699563668,0.0234440194419864,0.0234430202455526,0.0234450186384201,150324.4375
1,1,0.00675,14,0.028498968,0.008632966,0.000244643,46600.32813,0.644571424,0.019996241,0.010359507,0.000162797,51618.98047,0.680777907,0.019996118,0.010356193,0.000162837,51629.39844,0.680925131,0.000192035866546475,0.0226403980675551,0.0226394058981173,0.0226413902369928,149848.70704
1,1,0.00725,15,0.027036224,0.008905794,0.000238835,47590.32813,0.659905493,0.019496528,0.010544615,0.000163392,50436.80078,0.687911749,0.019496262,0.010542169,0.00016341,50435.26953,0.687879622,0.000190856590476755,0.0219133230580683,0.0219123323882758,0.0219143137278607,148462.39844
1,1,0.00775,16,0.025747022,0.009133103,0.000232812,48248.07031,0.670317888,0.019100176,0.010701004,0.000163843,48828.41797,0.691144764,0.019099992,0.010697817,0.000163907,48835.39063,0.69127208,0.000189466458301064,0.0212979991644435,0.0212970071522563,0.0212989911766306,145911.87891
1,1,0.00825,17,0.024600193,0.009345064,0.00022863,48390.64844,0.680413246,0.018799815,0.010822942,0.000164703,46898.05859,0.692818701,0.018800709,0.010821018,0.000164829,46894.66797,0.693041325,0.000188940418417671,0.0207742088167896,0.0207732066720318,0.0207752109615474,142183.375
1,1,0.00875,18,0.023627138,0.009514824,0.000223746,48235.86719,0.686231077,0.01858893,0.010934908,0.000166108,44624.80078,0.692543507,0.018591045,0.010932312,0.000166161,44617.39844,0.69256258,0.000188365625572045,0.0203573335287218,0.0203563174790491,0.0203583495783945,137478.06641
1,1,0.00925,19,0.022777228,0.009665718,0.000219214,47695.35938,0.690065682,0.018456057,0.011032645,0.000168001,42159.71875,0.691599429,0.01845789,0.011029447,0.000167999,42152.35938,0.691520035,0.000188119732396516,0.0200179164902773,0.020016880954406,0.0200189520261485,132007.43751
1,1,0.009750001,20,0.022070896,0.009785384,0.000215393,46761.87891,0.691915691,0.018405419,0.011104175,0.000170473,39613.41016,0.690213382,0.018407216,0.011101306,0.000170491,39600.41016,0.690113783,0.000188406460216828,0.0197666002008709,0.019765538548346,0.0197676618533959,125975.69923
1,1,0.010250001,21,0.021503069,0.009907849,0.000213963,45369.61719,0.695117533,0.018402854,0.011175845,0.000173129,36927.41016,0.686958492,0.018404275,0.011172967,0.000173192,36918.08984,0.687014043,0.000189725856727742,0.0195831407931431,0.0195820418104497,0.0195842397758364,119215.11719
1,1,0.010750001,22,0.021038102,0.00999586,0.000212204,43767.09766,0.694843531,0.018482806,0.011243999,0.000177126,34174.44922,0.685323417,0.018485155,0.011241615,0.000177211,34165.08984,0.685425282,0.00019161044185881,0.0194811246245946,0.0194799800779244,0.0194822691712648,112106.63672
1,1,0.011250001,23,0.020705719,0.010081826,0.000211626,41839.36719,0.693650305,0.018625477,0.011284594,0.00018167,31506.7793,0.68299073,0.01862718,0.011281537,0.000181736,31503.44922,0.683070481,0.000194197214166144,0.019456092117458,0.0194548926468482,0.0194572915880677,104849.59571
1,1,0.011750001,24,0.020456225,0.010155204,0.000212158,39739.25,0.69294095,0.018823754,0.01132107,0.000186649,28907.7793,0.679937899,0.018825751,0.011318458,0.000186686,28900.72852,0.679858267,0.000197449577000406,0.0194893857827563,0.0194881214029306,0.0194906501625819,97547.75782
1,1,0.012250001,25,0.020293007,0.010225397,0.000213358,37454.02734,0.690202236,0.019074734,0.011360431,0.000192606,26353.47852,0.677636921,0.019075187,0.011355723,0.000192517,26355.41992,0.677366674,0.000201461340984256,0.0195809417218542,0.0195795998602754,0.0195822835834331,90162.92578
1,1,0.012750001,26,0.020219497,0.010297844,0.000215795,35055.41797,0.688064456,0.019371674,0.011385559,0.000199113,23937.04883,0.674484193,0.01937237,0.011382874,0.000199304,23928.2793,0.674766183,0.000206383348768968,0.0197302988931734,0.0197288654745253,0.0197317323118215,82920.7461
1,1,0.013250001,27,0.020197889,0.010335231,0.000217842,32735.87891,0.683865428,0.019716436,0.011422018,0.000207135,21645.90039,0.673385143,0.019718105,0.011418698,0.000207282,21636.59961,0.67349273,0.000211853096942987,0.019924239676165,0.0199227029180658,0.0199257764342643,76018.37891
1,1,0.013750001,28,0.020217627,0.010372634,0.000221656,30390.54883,0.681288779,0.020103496,0.011449209,0.000216518,19510.01953,0.674125612,0.020104915,0.011446695,0.00021666,19502.28906,0.674151599,0.000218822231046555,0.0201538711229655,0.0201522098815045,0.0201555323644266,69402.85742
