"Locus","Parameter.number","Age","Bin","Parameter.value.x","Parameter.Frequency.x","Standard.deviation.x","Counts.per.bin.x","Autocorrelation.per.bin.x","Parameter.value.y","Parameter.Frequency.y","Standard.deviation.y","Counts.per.bin.y","Autocorrelation.per.bin.y","Parameter.value","Parameter.Frequency","Standard.deviation","Counts.per.bin","Autocorrelation.per.bin","PoolSD","PoolMean","Lower","Upper","Total.n"
1,1,0.00025,1,0.032722894,0.000133379,6.69219e-05,172175.5625,0.068315297,0.03254794,0.000137976,6.65e-05,172525.5156,0.067444786,0.03264026,0.000135807,6.67128e-05,172463.6563,0.069070287,6.67116464988435e-05,0.0326369728459164,0.0326367873146095,0.0326371583772234,517164.7344
1,1,0.00075,2,0.030431058,0.000746688,8.98518e-05,85831.05469,0.086794063,0.030324604,0.000774728,8.97e-05,85938.75,0.087200165,0.030367944,0.000761227,8.96918e-05,85934.21875,0.087354235,8.97478543582816e-05,0.0303745118282322,0.0303741582435271,0.0303748654129373,257704.02344
1,1,0.00125,3,0.02900089,0.001695973,0.000102727,66115.71094,0.136957288,0.028863436,0.001756738,0.000102239,66179,0.135734588,0.028916935,0.001726133,0.000102841,66140.08594,0.138822496,0.00010260257907166,0.0289270654520305,0.0289266047932455,0.0289275261108154,198434.79688
1,1,0.00175,4,0.027865026,0.002746655,0.000112126,60112.10938,0.212065905,0.027760161,0.002849683,0.000111823,60152.48047,0.211725086,0.027800931,0.002798444,0.000111852,60207.16797,0.211266905,0.000111933682106165,0.0278086910453327,0.0278081640750052,0.0278092180156601,180471.75782
1,1,0.00225,5,0.026952408,0.003735153,0.000118426,58795.48828,0.282475412,0.026860165,0.003874329,0.000118103,58731.67969,0.283319891,0.026892826,0.003807145,0.000118124,58951.67969,0.283583731,0.000118217717287482,0.0269018067782256,0.026901243962485,0.0269023695939662,176478.84766
1,1,0.00275,6,0.026250141,0.004603345,0.000122168,59059.57813,0.341669053,0.026182778,0.004768103,0.000121849,59045.20703,0.343068421,0.026183,0.004689513,0.000121722,59158.91016,0.342414558,0.000121913042538784,0.0262052956601019,0.0262047165378314,0.0262058747823724,177263.69532
1,1,0.00325,7,0.025762422,0.005336216,0.000124003,59786.82813,0.38792178,0.025705902,0.005522316,0.000123732,59883.82813,0.388901025,0.025713131,0.00544492,0.00012355,59791.60938,0.3881782,0.000123761784872122,0.0257271398076055,0.025726555515543,0.0257277240996681,179462.26564
1,1,0.00375,8,0.025451072,0.005948583,0.000124499,60515.57031,0.423190743,0.025411183,0.006159557,0.000124203,60587.32031,0.42292887,0.025380161,0.006056798,0.000123793,60568.39844,0.422400951,0.000124165244198016,0.0254141276189899,0.025413544996971,0.0254147102410088,181671.28906
1,1,0.00425,9,0.025255427,0.006445233,0.000124187,61127.36719,0.450385839,0.025226792,0.006677751,0.000123742,61137.48828,0.448638946,0.025203819,0.006574625,0.000123287,61101.16797,0.448382437,0.00012373927684106,0.0252286827811884,0.0252281048473335,0.0252292607150433,183366.02344
1,1,0.00475,10,0.025164034,0.006866988,0.000123502,61391.19922,0.470984846,0.025124015,0.007100134,0.000122973,61489.17969,0.470124602,0.025095923,0.006994861,0.000122311,61441.42969,0.468750089,0.000122929487140484,0.0251279798143879,0.0251274071532606,0.0251285524755152,184321.8086
1,1,0.00525,11,0.025105294,0.007206138,0.000122934,61517.55859,0.489635587,0.025057094,0.007456686,0.000122413,61543.41016,0.488530546,0.025044309,0.007342646,0.000121533,61535.11719,0.486218661,0.000122294644442774,0.025068895007804,0.0250683257274581,0.0250694642881498,184596.08594
1,1,0.00575,12,0.025042947,0.007484982,0.000122097,61490.87891,0.504110515,0.024994088,0.007743054,0.000121806,61493.41016,0.503946424,0.024991205,0.007634054,0.000121245,61429.30859,0.502918422,0.000121716671979938,0.02500941920221,0.0250088523320522,0.0250099860723678,184413.59766
1,1,0.00625,13,0.024973234,0.007718663,0.000122003,61233.66797,0.519178212,0.024913877,0.007988303,0.000121757,61180.58984,0.51958257,0.02491419,0.007862967,0.000120933,61231.11719,0.517373204,0.000121565147784631,0.0249337730206288,0.0249332056732138,0.0249343403680437,183645.375
