"Locus","Parameter.number","Age","Bin","Parameter.value.x","Parameter.Frequency.x","Standard.deviation.x","Counts.per.bin.x","Autocorrelation.per.bin.x","Parameter.value.y","Parameter.Frequency.y","Standard.deviation.y","Counts.per.bin.y","Autocorrelation.per.bin.y","Parameter.value","Parameter.Frequency","Standard.deviation","Counts.per.bin","Autocorrelation.per.bin","PoolSD","PoolMean","Lower","Upper","Total.n"
1,1,0.00025,1,0.024765611,0.000693134,8.24929e-05,76110.00781,0.088005588,0.024786832,0.000715248,8.23e-05,76221.75781,0.085647404,0.024763551,0.000691626,8.25501e-05,76110.25781,0.088110901,8.24476639985207e-05,0.0247720052472994,0.0247716602463012,0.0247723502482977,228442.02343
1,1,0.00075,2,0.023256388,0.002014678,8.88881e-05,61037.23828,0.109809279,0.023219535,0.002075048,8.87e-05,61058.66016,0.109324671,0.023255047,0.002010743,8.88513e-05,60998.70703,0.108502179,8.88131493737264e-05,0.0232436514474237,0.0232432363314055,0.0232440665634419,183094.60547
1,1,0.00125,3,0.022177406,0.003533022,9.0289e-05,57333.78906,0.138165653,0.022148063,0.003640725,9e-05,57317.59766,0.138045102,0.02217713,0.003522399,9.00945e-05,57323.32031,0.136654228,9.01279277083025e-05,0.0221675342488927,0.02216709958147,0.0221679689163155,171974.70703
1,1,0.00175,4,0.021397866,0.004907808,8.82638e-05,56999.37891,0.15810661,0.021393599,0.005060722,8.82e-05,56969.95703,0.159265339,0.021424174,0.004901652,8.83838e-05,56981.51953,0.158904433,8.82825698373036e-05,0.0214052130179818,0.021404785977228,0.0214056400587357,170950.85547
1,1,0.00225,5,0.020933148,0.006067375,8.54958e-05,56992.75,0.169779003,0.020943675,0.006262358,8.56e-05,56927.89063,0.170413017,0.020951824,0.006059922,8.53942e-05,56998,0.168553874,8.54966655828354e-05,0.0209428823071916,0.0209424687034509,0.0209432959109323,170918.64063
1,1,0.00275,6,0.020600017,0.007016033,8.29389e-05,56775.67969,0.176649451,0.020616874,0.007234215,8.3393e-05,56725.25,0.178482682,0.020628404,0.006999437,8.29602e-05,56780.07813,0.175510526,8.30975388834173e-05,0.0206150981511513,0.0206146954016131,0.0206155009006895,170281.00782
1,1,0.00325,7,0.020281812,0.007776848,8.13415e-05,56362.91797,0.185169026,0.02028757,0.008011735,8.16e-05,56336.07813,0.185754731,0.020314049,0.007762518,8.14651e-05,56309.57031,0.184639409,8.14689154410083e-05,0.0202944719189698,0.0202940755792742,0.0202948682586654,169008.56641
1,1,0.00375,8,0.01990458,0.00836721,8.01972e-05,55935.28906,0.193769902,0.019909151,0.008635772,8.04e-05,55817.5,0.19349137,0.019934883,0.008353874,8.04242e-05,55861.51953,0.194665074,8.03404524929063e-05,0.0199162014029411,0.0199158089308998,0.0199165938749824,167614.30859
1,1,0.00425,9,0.01947712,0.008837578,7.94309e-05,55363.66797,0.202537358,0.019482292,0.009109046,7.95e-05,55328.14063,0.202373743,0.019511527,0.008826622,7.96521e-05,55281.28906,0.203290492,7.95276644926159e-05,0.0194903041875995,0.0194899137700111,0.0194906946051879,165973.09766
1,1,0.00475,10,0.019036083,0.009207322,7.87391e-05,54610.11719,0.20852527,0.019045111,0.009492814,7.89e-05,54590.10938,0.20904167,0.019084232,0.00919096,7.89386e-05,54582.54688,0.208469659,7.88592623254504e-05,0.0190551383285395,0.0190547486122174,0.0190555280448617,163782.77345
1,1,0.00525,11,0.018627539,0.009489665,7.81705e-05,53651.39063,0.212198407,0.018633859,0.009787971,7.8265e-05,53629.83984,0.211136431,0.018660331,0.009478439,7.83299e-05,53613,0.211693779,7.82551415412585e-05,0.0186405725194597,0.0186401823325983,0.0186409627063211,160894.23047
1,1,0.00575,12,0.018268207,0.009719784,7.76979e-05,52342.36719,0.211624891,0.018274637,0.010026136,7.78e-05,52310.89844,0.210455656,0.018296538,0.009709055,7.79316e-05,52299.6875,0.211981803,7.78098609978214e-05,0.0182797904808283,0.0182793976732216,0.0182801832884351,156952.95313
1,1,0.00625,13,0.017980149,0.009904352,7.74275e-05,50668.4375,0.208356619,0.017984301,0.010213841,7.75e-05,50646.00781,0.20766227,0.017994203,0.009883562,7.75555e-05,50694.34766,0.207926869,7.74943606490977e-05,0.0179862193105946,0.0179858217844104,0.0179866168367788,152008.79297
1,1,0.00675,14,0.017763052,0.010051933,7.7438e-05,48652.46875,0.202988744,0.017759552,0.010366263,7.7436e-05,48649.17969,0.201950565,0.017773444,0.01003339,7.74033e-05,48688.27734,0.201224402,7.74257625598622e-05,0.0177653514494134,0.0177649461704673,0.0177657567283596,145989.92578
1,1,0.00725,15,0.017612331,0.010170288,7.76462e-05,46361.05859,0.195614472,0.017616214,0.010490673,7.77e-05,46349.57031,0.195383772,0.017628999,0.010154651,7.75437e-05,46387.09766,0.193001926,7.76299718096179e-05,0.0176191834162751,0.0176187671229876,0.0176195997095626,139097.72656
1,1,0.00775,16,0.01754093,0.010274767,7.82366e-05,43807.1875,0.187727064,0.017547999,0.010595824,7.83e-05,43801.75,0.187561557,0.017551485,0.010255754,7.81028e-05,43839.27734,0.18482028,7.82131460062088e-05,0.0175468057598497,0.0175463743079312,0.0175472372117683,131448.21484
1,1,0.00825,17,0.01753805,0.010355353,7.90937e-05,41105.32031,0.178943709,0.017544635,0.010678367,7.93e-05,41101.25,0.180119321,0.017541828,0.010336082,7.89597e-05,41139.19922,0.176731825,7.91178743777356e-05,0.0175415043189242,0.0175410537694605,0.0175419548683878,123345.76953
1,1,0.00875,18,0.017602811,0.010426859,8.04182e-05,38293.53906,0.171212673,0.017610554,0.010744756,8.05e-05,38306.96875,0.171979874,0.017607322,0.010404523,8.01793e-05,38324.28906,0.168338478,8.03659143040637e-05,0.0176068962082385,0.0176064220808831,0.0176073703355939,114924.79687
