"Locus","Parameter.number","Age","Bin","Parameter.value.x","Parameter.Frequency.x","Standard.deviation.x","Counts.per.bin.x","Autocorrelation.per.bin.x","Parameter.value.y","Parameter.Frequency.y","Standard.deviation.y","Counts.per.bin.y","Autocorrelation.per.bin.y","Parameter.value","Parameter.Frequency","Standard.deviation","Counts.per.bin","Autocorrelation.per.bin","PoolSD","PoolMean","Lower","Upper","Total.n"
1,1,0.00025,1,0.044279669,0.000797615,0.000127288,73266.85156,0.049861629,0.044323925,0.000783062,0.000128404,73075.28125,0.051676299,0.04428269,0.000785152,0.000127488,73175.26563,0.050409596,0.000127727098735615,0.0442954084454791,0.0442948632169534,0.0442959536740049,219517.39844
1,1,0.00075,2,0.035319571,0.001654412,0.00010039,85349.97656,0.083981074,0.035203386,0.001622929,0.000100303,85496.75781,0.085846946,0.035245031,0.001629879,0.000100257,85520.07813,0.085413106,0.000100316634405337,0.0352559586030952,0.0352555623505662,0.0352563548556243,256366.8125
1,1,0.00125,3,0.028237836,0.002783542,8.46889e-05,87209.89063,0.130933851,0.028162552,0.002732389,8.42054e-05,87322.86719,0.130814865,0.028159728,0.002737558,8.41096e-05,87308.375,0.129746378,8.43348738917817e-05,0.0281866847651127,0.0281863551415418,0.0281870143886836,261841.13282
1,1,0.00175,4,0.022500807,0.004035841,7.27189e-05,90629.17188,0.190004751,0.022459123,0.003969729,7.2548e-05,90749.57031,0.1883315,0.022469617,0.003980543,7.24818e-05,90656.53906,0.188398346,7.25829430941657e-05,0.022476507274936,0.0224762289501055,0.0224767855997665,272035.28125
1,1,0.00225,5,0.018078381,0.005268071,5.98665e-05,97337.11719,0.220967025,0.018010743,0.005180678,5.96042e-05,97394.14844,0.218353435,0.018038297,0.005194882,5.96274e-05,97474.41406,0.219317511,5.96994319615286e-05,0.0180424655111686,0.018042244631436,0.0180426863909013,292205.67969
1,1,0.00275,6,0.015909163,0.006525418,4.79448e-05,103367.9766,0.185062885,0.015870571,0.006416881,4.77759e-05,103397.2188,0.184052303,0.015905647,0.006433038,4.78451e-05,103389.1172,0.184097707,4.78553087049685e-05,0.0158951254018525,0.0158949535432778,0.0158952972604272,310154.3126
1,1,0.00325,7,0.016447552,0.007870188,4.3331e-05,106940.8906,0.152105615,0.016438531,0.007725388,4.32917e-05,107037.2578,0.153179139,0.016456904,0.007752731,4.33565e-05,106861.8672,0.152892321,4.33263903633169e-05,0.0164476573144178,0.0164475043331557,0.0164478102956799,320840.0156
1,1,0.00375,8,0.018830437,0.009214954,4.41906e-05,108812.7266,0.176054746,0.018862549,0.009070864,4.42855e-05,108630.5469,0.178169593,0.018834682,0.009082368,4.42368e-05,108678.4375,0.177182958,4.42376239078593e-05,0.0188425480737372,0.0188423931450177,0.0188427030024568,326121.711
1,1,0.00425,9,0.021777792,0.010472438,4.43778e-05,109438.1953,0.209865496,0.021814214,0.01030051,4.43877e-05,109343.0547,0.210611716,0.021786289,0.010318681,4.44006e-05,109335.2344,0.210831434,4.43886975374277e-05,0.0217927608127799,0.0217926058282419,0.0217929157973178,328116.4844
1,1,0.00475,10,0.024387443,0.011530468,4.21439e-05,109357.0078,0.231977969,0.024420973,0.011332762,4.20684e-05,109294.8359,0.231550768,0.024386095,0.011362874,4.21012e-05,109232.2656,0.231667817,4.21045194507544e-05,0.0243981706036073,0.0243980235422649,0.0243983176649497,327884.1093
1,1,0.00525,11,0.026321223,0.012354529,3.85959e-05,108927.0313,0.243291125,0.026342746,0.012145707,3.85442e-05,108845.9766,0.243174434,0.026309323,0.012170414,3.85115e-05,108860.6563,0.241851464,3.85505584983367e-05,0.026324429191704,0.0263242942860354,0.0263245640973725,326633.6642
1,1,0.00575,12,0.027598418,0.012956397,3.51825e-05,108398.5313,0.249231234,0.027601384,0.012730707,3.51924e-05,108367.7344,0.249846533,0.027583038,0.012760276,3.5163e-05,108382.4609,0.248719335,3.51793016850044e-05,0.0275942798827683,0.0275941564938431,0.0275944032716935,325148.7266
1,1,0.00625,13,0.028371032,0.013381125,3.28515e-05,107859.625,0.257922262,0.028363718,0.013148428,3.28391e-05,107862.4063,0.257510811,0.02835778,0.013177938,3.28138e-05,107868.8594,0.257145792,3.28348031856803e-05,0.028364176480181,0.0283640610375358,0.0283642919228262,323590.8907
1,1,0.00675,14,0.028800676,0.013664646,3.15107e-05,107395.6563,0.265631139,0.028790424,0.013426334,3.15184e-05,107422.0781,0.265958309,0.028788561,0.013451793,3.14878e-05,107465.7188,0.26562503,3.15056331840071e-05,0.02879321909117,0.0287931080972464,0.0287933300850935,322283.4532
1,1,0.00725,15,0.029024039,0.013845166,3.08957e-05,107081.0156,0.272707224,0.029011523,0.013598906,3.09165e-05,107116.3359,0.27324158,0.029012643,0.013632334,3.08584e-05,107123.4141,0.272233099,3.0890208047332e-05,0.029016067381725,0.029015958393035,0.0290161763704149,321320.7656
1,1,0.00775,16,0.029127186,0.013960376,3.06845e-05,106834.6406,0.277754545,0.029113336,0.013713294,3.07e-05,106853.3359,0.278145224,0.029114928,0.013752676,3.06586e-05,106833.9063,0.277355552,3.06810392443201e-05,0.0291184830412464,0.0291183746557379,0.0291185914267548,320521.8828
1,1,0.00825,17,0.029168107,0.014033268,3.0637e-05,106668.0469,0.280703247,0.029153692,0.013784927,3.06497e-05,106673.6172,0.280821204,0.029154085,0.013821577,3.06078e-05,106678.875,0.280094475,3.06315045380706e-05,0.0291586277603683,0.0291585194651208,0.0291587360556158,320020.5391
1,1,0.00875,18,0.029179301,0.014074108,3.06518e-05,106566.1563,0.282373935,0.029165719,0.013825277,3.06557e-05,106563.2266,0.282244682,0.029165153,0.013861928,3.06221e-05,106563.6953,0.281703621,3.06432037214315e-05,0.0291700577441828,0.0291699493521035,0.0291701661362621,319693.0782
1,1,0.00925,19,0.029180251,0.014092172,3.06747e-05,106489.1563,0.283167452,0.02916595,0.013841506,3.06771e-05,106488.7656,0.28298682,0.029165918,0.013878798,3.0648e-05,106486.6875,0.282591313,3.06666029668633e-05,0.0291707063761542,0.0291705978625247,0.0291708148897836,319464.6094
1,1,0.009750001,20,0.029181013,0.014103125,3.0683e-05,106394.625,0.283662826,0.029166402,0.013851064,3.06832e-05,106409.9063,0.283532262,0.029166823,0.013889263,3.06506e-05,106401.6406,0.282943249,3.06722705402774e-05,0.029171412325919,0.029171303748308,0.02917152090353,319206.1719
1,1,0.010250001,21,0.029188024,0.014107057,3.06598e-05,106307.8594,0.284087449,0.029173678,0.013855401,3.06575e-05,106315.0156,0.283840239,0.029174997,0.013893629,3.06189e-05,106309.5,0.28310734,3.06454058783594e-05,0.0291788995294275,0.0291787910003604,0.0291790080584946,318932.375
1,1,0.010750001,22,0.029207464,0.014106372,3.06103e-05,106166.6875,0.284627259,0.029193943,0.013855133,3.06039e-05,106165.0859,0.284186363,0.029194614,0.013892088,3.05672e-05,106170.5547,0.283513546,3.05938055197852e-05,0.0291986736411632,0.0291985652217152,0.0291987820606112,318502.3281
1,1,0.011250001,23,0.029243771,0.014100384,3.05338e-05,105938.8672,0.285321385,0.029231049,0.013849462,3.05202e-05,105931.3984,0.284662664,0.029230677,0.01388711,3.04903e-05,105934.6797,0.284099281,3.05147722708558e-05,0.0292351658225574,0.0292350575646063,0.0292352740805085,317804.9453
1,1,0.011750001,24,0.029302524,0.014093156,3.04248e-05,105565.3203,0.286140651,0.029290156,0.013842104,3.04071e-05,105552.9453,0.285301,0.029289205,0.013879482,3.03851e-05,105562.0859,0.28499645,3.0405671157364e-05,0.0292939618639637,0.0292938538017075,0.0292940699262199,316680.3515
1,1,0.012250001,25,0.029388541,0.014082744,3.03022e-05,104990.9297,0.287469238,0.029376935,0.013831191,3.02813e-05,104976.5547,0.286495656,0.02937609,0.013868395,3.0256e-05,104990.5313,0.286189377,3.02798391887696e-05,0.0293805221693204,0.02938041426043,0.0293806300782109,314958.0157
1,1,0.012750001,26,0.02950803,0.014063509,3.01768e-05,104156.125,0.289363354,0.029497551,0.013812089,3.01405e-05,104138.2578,0.287934393,0.029497461,0.013849679,3.01215e-05,104141.5469,0.287885338,3.01462768817113e-05,0.0295010143638189,0.0295009064981618,0.0295011222294761,312435.9297
1,1,0.013250001,27,0.029666307,0.014033342,3.00582e-05,102972.7891,0.291707009,0.029656677,0.013783532,3.00269e-05,102947.1484,0.290326804,0.029655006,0.013820526,3.00108e-05,102958,0.290384591,3.0031974549244e-05,0.0296593304272654,0.0296592223534613,0.0296594385010695,308877.9375
1,1,0.013750001,28,0.029867103,0.013998884,2.99504e-05,101372.4453,0.294334203,0.029858898,0.013747456,2.99336e-05,101353.25,0.293412775,0.029857095,0.013785056,2.99252e-05,101358.0859,0.293639392,2.99364025389566e-05,0.0298610323206213,0.0298609237448365,0.029861140896406,304083.7812
1,1,0.014250001,29,0.03011431,0.013959856,2.98875e-05,99295.55469,0.29778266,0.03010861,0.013707968,2.98727e-05,99259.25,0.296865881,0.030105846,0.013746508,2.98669e-05,99269.47656,0.29719612,2.98757023953833e-05,0.0301095891136817,0.0301094796252919,0.0301096986020716,297824.28125
1,1,0.014750001,30,0.030407522,0.013915068,2.98909e-05,96706.91406,0.301954001,0.030404355,0.013665751,2.988e-05,96632.48438,0.300996184,0.030401031,0.013703231,2.987e-05,96661.32813,0.30132556,2.98803029152957e-05,0.0304043031675165,0.0304041921949964,0.0304044141400366,290000.72657
1,1,0.015250001,31,0.030749355,0.013867263,2.99629e-05,93540.82813,0.30624485,0.030748533,0.013615353,2.99405e-05,93469.07031,0.304935157,0.03074353,0.013654217,2.99481e-05,93509.55469,0.305791825,2.99505042698785e-05,0.0307471393792118,0.0307470262818061,0.0307472524766174,280519.45313
1,1,0.015750001,32,0.031138595,0.013814147,3.01184e-05,89836.35938,0.310622841,0.031140171,0.013563943,3.01279e-05,89738.72656,0.31003502,0.031132879,0.013603564,3.00962e-05,89798,0.309957922,3.01141671767e-05,0.0311372145460707,0.031137098501787,0.0311373305903543,269373.08594
1,1,0.016250001,33,0.031570271,0.013759089,3.03933e-05,85635.26563,0.315574318,0.031579122,0.01350897,3.03739e-05,85491.86719,0.314229131,0.031567868,0.013548549,3.03549e-05,85571.82031,0.314503878,3.03740421843144e-05,0.0315724177147629,0.0315722978143886,0.0315725376151371,256698.95313
1,1,0.016750001,34,0.032046121,0.013700186,3.07712e-05,80957.39844,0.319979668,0.032057274,0.013457589,3.07575e-05,80770.07813,0.318696886,0.032047287,0.013489276,3.07375e-05,80867.01563,0.31908071,3.07554081621204e-05,0.0320502229876939,0.0320500981024799,0.0320503478729079,242594.4922
1,1,0.017250001,35,0.032562573,0.013639968,3.12656e-05,75876.04688,0.323763967,0.032575205,0.013394997,3.12515e-05,75696.26563,0.322371304,0.032566879,0.01343452,3.12319e-05,75732.96094,0.32274434,3.12496794572144e-05,0.0325682143181172,0.0325680832277419,0.0325683454084925,227305.27345
1,1,0.017750001,36,0.033116207,0.013578902,3.18632e-05,70479.17188,0.325895339,0.033131618,0.01333579,3.18442e-05,70302.82813,0.324535191,0.033120431,0.013371417,3.18264e-05,70351.74219,0.324814111,3.18446148659419e-05,0.0331227459957519,0.0331226073881104,0.0331228846033934,211133.7422
1,1,0.018250001,37,0.033706557,0.01351574,3.25694e-05,64864.21875,0.326195478,0.033723071,0.013278146,3.25716e-05,64692.07813,0.325560421,0.033712536,0.01330734,3.25537e-05,64745.16016,0.325856626,3.25649019020534e-05,0.0337140476092471,0.0337138998543985,0.0337141953640957,194301.45704
1,1,0.018750001,38,0.034333076,0.013451791,3.3457e-05,59138.76953,0.326391071,0.034344997,0.0132159,3.34317e-05,59011.02734,0.325090736,0.034338981,0.013246757,3.34013e-05,59013.82813,0.324770302,3.34300267724424e-05,0.034339013714991,0.034338854867836,0.0343391725621461,177163.625
1,1,0.019250001,39,0.034990881,0.013388962,3.44544e-05,53412.91016,0.32407558,0.035002086,0.013153503,3.4444e-05,53292.82813,0.323031455,0.034992844,0.013193757,3.43925e-05,53289.83984,0.32208854,3.44303294290151e-05,0.0349952670843094,0.0349950949302833,0.0349954392383354,159995.57813
