"Locus","Parameter.number","Age","Bin","Parameter.value.x","Parameter.Frequency.x","Standard.deviation.x","Counts.per.bin.x","Autocorrelation.per.bin.x","Parameter.value.y","Parameter.Frequency.y","Standard.deviation.y","Counts.per.bin.y","Autocorrelation.per.bin.y","Parameter.value","Parameter.Frequency","Standard.deviation","Counts.per.bin","Autocorrelation.per.bin","PoolSD","PoolMean","Lower","Upper","Total.n"
1,4,0.00025,1,2654.017334,0.003249074,477.5007629,185.0599976,0.07127668,2274.841553,0.003233525,419.0964355,188.1599884,0.093392246,4998.19043,0.003235618,11022.5791,194.4599915,0.444331199,6462.01431943811,3331.33939045419,2788.90636475335,3873.77241615502,567.6799775
1,4,0.00075,2,2474.801758,0.003249074,580.7796021,255.2999878,0.312418342,2026.809937,0.003233525,435.1825867,256.7799988,0.301932961,2107.186768,0.003235618,355.4870911,259.4599915,0.211499915,465.980526692209,2202.07872690363,2168.52671660732,2235.63073719993,771.5399781
1,4,0.00125,3,1884.183228,0.003249074,332.9610901,259.7900085,0.288009673,1930.755371,0.003233525,1659.262085,287.2099915,0.486225814,2169.54541,0.003235618,865.9829102,297.8599854,0.440517783,1111.08936263677,2000.62140930743,1924.16980299439,2077.07301562047,844.8599854
1,4,0.00175,4,1975.16748,0.003249074,331.2408447,347.6300049,0.435046613,1886.457764,0.003233525,324.6980286,352.5299988,0.420785993,2955.57959,0.003235618,3229.359375,359.8899841,0.825043798,1900.47832391291,2278.51889390048,2161.77619115899,2395.26159664197,1060.0499878
1,4,0.00225,5,1795.871216,0.003249074,275.9875488,438.8399963,0.471793115,1871.299194,0.003233525,264.0260925,447.2599792,0.412649393,1739.636353,0.003235618,326.3024902,470.5899963,0.497192591,290.778498930508,1801.23157986458,1785.44267606876,1817.0204836604,1356.6899718
1,4,0.00275,6,1729.80127,0.003249074,289.2293091,602.6199951,0.645694137,1737.378418,0.003233525,239.8232117,651.0999756,0.564138234,1627.692993,0.003235618,247.4241638,628.9199829,0.55189544,259.072515377703,1698.31120476819,1686.36946227824,1710.25294725815,1882.6399536
1,4,0.00325,7,1663.031006,0.003249074,393.1641235,736.2000122,0.218734652,1841.409668,0.003233525,305.4812317,709.4699707,0.674619019,1659.434692,0.003235618,301.3261719,754.0799561,0.646170676,336.089941579685,1719.32940319678,1704.99766541071,1733.66114098284,2199.749939
1,4,0.00375,8,1499.434814,0.003249074,264.5002441,781.8200073,0.666970193,1801.519531,0.003233525,450.2615967,879.3200073,0.520967782,1637.980469,0.003235618,311.8902893,835.9099731,0.708758414,354.77222649399,1652.19139964335,1637.99213050701,1666.3906687797,2497.0499877
1,4,0.00425,9,1491.572754,0.003249074,208.4971313,933.0499878,0.711584985,1490.429077,0.003233525,220.109848,968.6399536,0.714424849,1578.985962,0.003235618,203.3108826,1018.839966,0.681639195,210.657889803147,1521.68792536243,1513.89183442755,1529.48401629731,2920.5299074
1,4,0.00475,10,1415.809082,0.003249074,177.6249542,1052.160034,0.717887342,1289.581177,0.003233525,199.3196411,996.1699829,0.73494339,1599.031738,0.003235618,212.8369904,1281.369995,0.747279346,198.213543152285,1448.55424326005,1441.68417951697,1455.42430700313,3329.7000119
