"Locus","Parameter.number","Age","Bin","Parameter.value.x","Parameter.Frequency.x","Standard.deviation.x","Counts.per.bin.x","Autocorrelation.per.bin.x","Parameter.value.y","Parameter.Frequency.y","Standard.deviation.y","Counts.per.bin.y","Autocorrelation.per.bin.y","Parameter.value","Parameter.Frequency","Standard.deviation","Counts.per.bin","Autocorrelation.per.bin","PoolSD","PoolMean","Lower","Upper","Total.n"
1,3,0.00025,1,3051.013428,0.003233107,582.3818359,179.5399933,0.066601813,3987.61377,0.003228202,946.4194336,185.5800018,0.084408261,3203.086426,0.003222065,528.8963623,173.1999969,0.046504464,715.504119114451,3422.82450488903,3361.14769827302,3484.50131150504,538.319992
1,3,0.00075,2,2513.425049,0.003233107,324.5332947,319.6300049,0.134512559,2511.786865,0.003228202,342.1564331,321.9499817,0.147498578,2757.108398,0.003222065,665.7926636,338.2999878,0.091420673,475.261123519634,2597.01759382683,2566.65241487347,2627.38277278018,979.8799744
1,3,0.00125,3,2070.877686,0.003233107,297.1731262,346.9799805,0.218193933,2440.509766,0.003228202,550.6919556,372.8199768,0.369204998,2522.06958,0.003222065,325.4803162,376.4899902,0.265792787,409.228806450829,2351.52921978643,2326.81007298283,2376.24836659002,1096.2899475
1,3,0.00175,4,2218.639893,0.003233107,319.5013428,384.5,0.35739696,2050.519043,0.003228202,275.7848816,368.1699829,0.297930121,2057.599121,0.003222065,282.7675476,379.1399841,0.284522414,293.60706421064,2110.00500747141,2092.55041396537,2127.45960097745,1131.809967
1,3,0.00225,5,2051.561035,0.003233107,282.2073364,409.1900024,0.388154924,2902.280273,0.003228202,5604.456055,389.8099976,0.910374701,2109.634277,0.003222065,462.0401917,426.3199768,0.421204507,3176.80978017389,2342.40477708596,2160.89649358526,2523.91306058666,1225.3199768
1,3,0.00275,6,1839.298706,0.003233107,303.1230774,436.7999878,0.419016153,1940.271362,0.003228202,311.67099,392.25,0.429322779,2000.637573,0.003222065,294.3179016,461.4700012,0.476826429,302.653512804628,1927.68135209328,1910.83160654891,1944.53109763766,1290.519989
1,3,0.00325,7,1887.684692,0.003233107,286.9448547,500.3599854,0.493675292,1957.967285,0.003228202,265.6891174,476.9299927,0.475394785,1868.838867,0.003222065,281.6161499,491.789978,0.52533561,278.405881301059,1904.19277149805,1889.66544542923,1918.72009756686,1469.0799561
1,3,0.00375,8,1948.746826,0.003233107,282.3421936,549.7999878,0.525592327,1631.336426,0.003228202,249.1090088,500.8499756,0.521544576,1677.817627,0.003222065,224.8368683,543.25,0.486596733,253.430430636066,1756.66621524519,1743.97046919108,1769.3619612993,1593.8999634
1,3,0.00425,9,2052.178711,0.003233107,427.6173096,578.2000122,0.658323646,1770.644165,0.003228202,402.226593,570,0.249365404,1699.236084,0.003222065,256.6115723,624.1799927,0.635989547,367.247269764235,1837.34080010523,1819.89422636038,1854.78737385008,1772.3800049
1,3,0.00475,10,1684.12561,0.003233107,275.6656494,636.2099609,0.606213629,1531.647461,0.003228202,245.2505188,622.4699707,0.645348012,1626.94397,0.003222065,230.4084167,667.5700073,0.627349436,250.866222977463,1615.03498261826,1603.6031497147,1626.46681552181,1926.2499389
1,3,0.00525,11,1625.495239,0.003233107,276.6809998,777.5799561,0.708981693,1738.733765,0.003228202,289.3719788,777.2999878,0.710146844,1764.887207,0.003222065,360.2618408,792.6799927,0.629721403,311.29900816759,1710.05688360809,1697.20699425722,1722.90677295896,2347.5599366
1,3,0.00575,12,1452.641357,0.003233107,222.4498291,905.7099609,0.721178472,1826.663818,0.003228202,358.6152954,863.6999512,0.793192089,1528.059082,0.003222065,219.41362,940.4299927,0.735440791,272.461116703501,1598.02569176707,1587.5577159417,1608.49366759243,2709.8399048
1,3,0.00625,13,1162.2229,0.003233107,179.6830902,957.0099487,0.697715759,2147.100586,0.003228202,1091.336548,1014.649963,0.776871085,2907.153076,0.003222065,10222.50195,970.3099976,0.761865914,5906.48581767387,2077.40197577334,1859.61091611855,2295.19303542813,2941.9699093
1,3,0.00675,14,1214.983765,0.003233107,202.9117889,1240.329956,0.797758222,1341.538452,0.003228202,228.4168549,1186.660034,0.824856103,1202.786865,0.003222065,194.2049255,1132.079956,0.778492212,209.144404266034,1253.29982094495,1246.28836865128,1260.31127323863,3559.069946
1,3,0.00725,15,1462.05188,0.003233107,541.1199951,1278.459961,0.880333901,1163.487427,0.003228202,236.9434509,1286.199951,0.802863658,1242.153442,0.003222065,202.8930664,1283.299927,0.832438648,360.248411792625,1288.91877515323,1277.30383957981,1300.53371072664,3847.959839
1,3,0.00775,16,1875.533203,0.003233107,3970.987549,1475.76001,0.005640876,1023.838562,0.003228202,182.0727386,1294.309937,0.841043711,1212.787842,0.003222065,241.6239166,1442.289917,0.845189095,2356.86118751455,1386.91687977582,1314.28935098925,1459.5444085624,4212.359864
1,3,0.00825,17,1080.038696,0.003233107,208.4373779,1376.599976,0.858533561,773.0804443,0.003228202,131.6212769,1537.48999,0.844606936,982.9730835,0.003222065,273.6792908,1452.829956,0.892463148,211.45531887023,939.673156942117,933.273436616366,946.072877267868,4366.919922
1,3,0.00875,18,2260.378906,0.003233107,2026.321411,1528.939941,0.961304605,796.3496704,0.003228202,128.8278351,1365.179932,0.813778758,910.9163818,0.003222065,135.4915771,1498.569946,0.80400157,1200.25324209767,1345.01099248836,1308.79189580526,1381.23008917146,4392.689819
1,3,0.00925,19,812.7428589,0.003233107,187.1656342,1519.539917,0.876628459,945.0637207,0.003228202,195.1150665,1506.539917,0.862343311,1005.322327,0.003222065,236.2042389,1523.829956,0.711645961,207.341584481509,921.05380247914,914.906069222716,927.201535735564,4549.90979
1,3,0.009750001,20,797.3843384,0.003233107,130.1814117,1637.73999,0.862466276,773.9262085,0.003228202,163.5792542,1505.429932,0.871110499,859.9805908,0.003222065,169.189743,1450.849976,0.832567334,154.434685953914,809.465957901951,804.908964403287,814.022951400614,4594.019898
1,3,0.010250001,21,835.7992554,0.003233107,224.5829468,1440.029907,0.913613856,728.3878784,0.003228202,118.6740494,1372.799927,0.84423542,685.8017578,0.003222065,158.5230865,1580.069946,0.831167221,173.129579647531,748.280557571311,743.056287468164,753.504827674457,4392.89978
1,3,0.010750001,22,1079.681274,0.003233107,554.5485229,1276.369995,0.937942326,642.6152344,0.003228202,119.7374268,1289.48999,0.842330694,552.2328491,0.003222065,111.793396,1373.02002,0.863270223,329.695727092675,752.738201780589,742.231729016337,763.24467454484,3938.880005
