"Locus","Parameter.number","Age","Bin","Parameter.value.x","Parameter.Frequency.x","Standard.deviation.x","Counts.per.bin.x","Autocorrelation.per.bin.x","Parameter.value.y","Parameter.Frequency.y","Standard.deviation.y","Counts.per.bin.y","Autocorrelation.per.bin.y","Parameter.value","Parameter.Frequency","Standard.deviation","Counts.per.bin","Autocorrelation.per.bin","PoolSD","PoolMean","Lower","Upper","Total.n"
1,1,0.00025,1,0.159444407,1.74925e-05,0.00338134,4932.299805,-0.000580481,0.157828495,1.74653e-05,0.003392088,4921.839844,0.005944009,0.160772041,1.75613e-05,0.003435933,4933.029785,0.00447378,0.0034032117299965,0.159349459687285,0.159293486963604,0.159405432410966,14787.169434
1,1,0.00075,2,0.188437432,4.02707e-05,0.003859372,6730.619629,0.07060352,0.188872293,4.03882e-05,0.003474951,6771.22998,0.010304065,0.190769672,4.05353e-05,0.003527415,6760.75,0.012233797,0.00362414149925498,0.189360918412475,0.189309998510377,0.189411838314573,20262.599609
1,1,0.00125,3,0.185619041,7.28923e-05,0.003258788,7548.739746,0.022700759,0.190892115,7.33357e-05,0.003403568,7594.929688,0.027926503,0.19029133,7.31548e-05,0.003436938,7626.540039,0.040824138,0.00336763355216061,0.188942770871332,0.188898136305928,0.188987405436737,22770.209473
1,1,0.00175,4,0.1765728,0.000115956,0.003110095,7906.959961,0.038823601,0.176205576,0.000115933,0.003204144,7991.27002,0.058249928,0.176515877,0.000116242,0.003078988,8025.060059,0.038352285,0.00313152936573447,0.176431038702541,0.176390546068219,0.176471531336862,23923.29004
1,1,0.00225,5,0.156184733,0.000168976,0.002806176,7993.429688,0.058064867,0.158060134,0.000169232,0.003210691,8088.929688,0.125530481,0.161121428,0.000170571,0.00290182,8057.379883,0.065124579,0.00297866100304036,0.158460930485722,0.158422587600646,0.158499273370797,24139.739259
1,1,0.00275,6,0.140864328,0.000234186,0.002635092,7933.689941,0.083171688,0.13830325,0.000233185,0.002566831,8031.099609,0.087902561,0.140546784,0.000233522,0.002620698,8027.790039,0.096738517,0.00260759225491614,0.139900803048512,0.139867133971887,0.139934472125137,23992.579589
1,1,0.00325,7,0.126357347,0.000306596,0.002505892,7901.290039,0.114554197,0.124351069,0.000308457,0.00238649,7989.97998,0.117731929,0.127311006,0.000307734,0.002438642,7976.959961,0.112712421,0.00244393409093882,0.126004458603922,0.125972820577948,0.126036096629896,23868.22998
1,1,0.00375,8,0.109658584,0.00039024,0.00220722,8061.089844,0.139972583,0.110656209,0.000388084,0.002170394,8124.549805,0.136092931,0.11180374,0.000392112,0.00216793,8068.77002,0.138658851,0.00218188748790454,0.110706394471047,0.110678374544458,0.110734414397636,24254.409669
1,1,0.00425,9,0.098842837,0.000479663,0.002075283,8181.599609,0.17866829,0.097474985,0.000483073,0.002038351,8390.990234,0.191216961,0.102988876,0.000483675,0.002106744,8277.540039,0.180147335,0.00207348160688924,0.0997620020571107,0.099735695388653,0.0997883087255684,24850.129882
1,1,0.00475,10,0.088757992,0.000578757,0.002009785,8259.80957,0.237388372,0.090019651,0.000583292,0.002023436,8480.269531,0.220622852,0.094376303,0.000586248,0.002013484,8375.229492,0.212488145,0.00201563609518432,0.0910575397895397,0.0910321023811079,0.0910829771979715,25115.308593
