"Locus","Parameter.number","Age","Bin","Parameter.value.x","Parameter.Frequency.x","Standard.deviation.x","Counts.per.bin.x","Autocorrelation.per.bin.x","Parameter.value.y","Parameter.Frequency.y","Standard.deviation.y","Counts.per.bin.y","Autocorrelation.per.bin.y","Parameter.value","Parameter.Frequency","Standard.deviation","Counts.per.bin","Autocorrelation.per.bin","PoolSD","PoolMean","Lower","Upper","Total.n"
1,2,0.00025,1,0.413550109,2.38969e-05,0.002957809,42194.80078,0.001828681,0.411948413,2.40841e-05,0.00294523,42245.09766,0.002623911,0.41086033,2.42583e-05,0.002945712,42282.55078,0.003338447,0.00294958499532124,0.412118677377485,0.412102105789312,0.412135248965657,126722.44922
1,2,0.00075,2,0.316691369,4.65941e-05,0.002463926,37472.53906,0.01256489,0.317746133,4.6902e-05,0.002482965,37331.58984,0.012858599,0.313843399,4.71776e-05,0.002451183,37381.66016,0.010868272,0.00246604994788452,0.316093380340099,0.316078655081147,0.316108105599052,112185.78906
1,2,0.00125,3,0.256960958,7.77312e-05,0.002151856,33790.71094,0.029130586,0.256677002,7.7916e-05,0.002183128,33473.71875,0.035228729,0.253980756,7.86188e-05,0.002176481,33666.4375,0.041434452,0.0021704829957329,0.255872709670131,0.255859045779376,0.255886373560886,100930.86719
1,2,0.00175,4,0.216987416,0.000118461,0.001970963,31464.86914,0.062118288,0.215177894,0.000118539,0.001971775,31407.64844,0.067406513,0.208684251,0.000118838,0.001874815,31522.58008,0.060596462,0.00193965984538786,0.213612558381887,0.21359993194388,0.213625184819894,94395.09766
1,2,0.00225,5,0.186593846,0.000168467,0.004217159,28880.41992,0.494052321,0.18344003,0.000169559,0.001839985,28866.7793,0.118719645,0.183295921,0.000171075,0.001920059,28887.64844,0.136100158,0.00287852767845132,0.184443327895121,0.184423768559566,0.184462887230676,86634.84766
1,2,0.00275,6,0.167510226,0.000230012,0.001945543,25137.00977,0.1834874,0.165437907,0.00023107,0.003301851,25119.58984,0.408682078,0.16372554,0.000231576,0.001908165,24819.40039,0.182838544,0.00247362377904504,0.165565670609701,0.165547614961679,0.165583726257724,75076
1,2,0.00325,7,0.150922254,0.000301181,0.002069243,21073.78906,0.253534079,0.150970832,0.000304197,0.002079662,20725.66992,0.245596528,0.149209023,0.000305783,0.002049895,20467.19922,0.249618128,0.00206638776374982,0.15037528023301,0.150358718185045,0.150391842280976,62266.6582
1,2,0.00375,8,0.136256859,0.000380868,0.002202568,17514.67969,0.306753963,0.136163563,0.000386293,0.002222194,17095.93945,0.312634885,0.135859281,0.000388999,0.002234976,16986.79883,0.307705969,0.0022197802433446,0.136095057099815,0.13607551253554,0.136114601664091,51597.41797
1,2,0.00425,9,0.12731956,0.000472247,0.002281425,14898.0498,0.347700328,0.131935179,0.00048773,0.002463314,14774.34961,0.352720827,0.125447676,0.000476659,0.002383211,14706.2998,0.341994703,0.0023768781043642,0.128235861788958,0.128213296046802,0.128258427531113,44378.69921
1,2,0.00475,10,0.120511554,0.000576489,0.00237707,12965.43945,0.37216112,0.12584874,0.000583915,0.002666726,13018.95996,0.387462318,0.116909899,0.000577582,0.00238865,12978.29004,0.376184732,0.00248133236027704,0.121095222323211,0.121070080864517,0.121120363781904,38962.68945
